Recipe Collection - Batch Cooking Staples
Angela Peterson

Recipe	Type	Yield	Prep Time	Cook Time	Total	Key Ingredients	Storage	Notes
Dashi Stock (Awase)	Broth/Base	2 liters	10 min	20 min	30 min	Kombu 30g; katsuobushi 40g; cold water 2.2L	Fridge 1 week; freeze 3 months	Soak kombu cold 30 min; bring to just under boil; remove kombu; add katsuobushi; steep 3 min; strain. Never boil kombu.
Shoyu Tare	Condiment	250 ml	5 min	15 min	20 min	Soy sauce 180ml; mirin 60ml; sake 30ml; sugar 1 tsp	Fridge indefinitely	Simmer all until slightly reduced; cool before storing. 1 tbsp per cup of dashi for ramen broth.
Kabocha Miso Soup Base	Soup	6 servings	15 min	25 min	40 min	Dashi 1.5L; kabocha 400g cubed; white miso 4 tbsp; tofu 200g; scallion	Fridge 4 days; do not freeze with tofu	Simmer kabocha in dashi until tender; add tofu; dissolve miso off heat; top with scallion. Reheat gently.
Genmai Gohan (Brown Rice)	Grain	6 cups cooked	5 min	50 min	55 min	Short grain brown rice 2 cups; water 3 cups; salt pinch	Fridge 5 days; freeze portioned	Rinse well; soak 1 hour (optional but worth it); bring to boil then 45 min covered low; rest 10 min. Do not stir.
Tamago Soboro	Protein topping	4 servings	5 min	10 min	15 min	Eggs 4; soy sauce 2 tsp; mirin 2 tsp; sugar 1 tsp; sake 1 tsp	Fridge 4 days	Whisk all in cold pan; low heat stirring constantly with 4 chopsticks; pull off heat before fully set. Freezes well.
Spinach Ohitashi	Vegetable	4 servings	5 min	5 min	10 min plus chill	Spinach 300g; dashi 60ml; soy 2 tbsp; mirin 1 tbsp	Fridge 3 days	Blanch spinach 30 sec; shock cold; squeeze dry; cut 5cm lengths; soak in dashi-soy mixture 15 min minimum.
Chicken Soboro	Protein	4 servings	5 min	12 min	17 min	Ground chicken 300g; soy 2 tbsp; mirin 2 tbsp; sake 2 tbsp; ginger 1 tsp; sugar 1 tsp	Fridge 5 days; freezes well	Cook all in pan from cold; stir constantly; finish dry with some caramelization. Serve over rice.
Pickled Cucumber (Asazuke)	Vegetable	4 servings	10 min	0 min	10 min plus 30 min	Japanese cucumber 2; salt 1 tsp; rice vinegar 2 tbsp; sugar 1 tsp; sesame oil 1 tsp	Fridge 4 days; do not freeze	Slice thin; salt and rest 10 min; squeeze dry; dress with vinegar mixture; sesame seeds optional.
Sweet Potato Nimono	Vegetable	4 servings	10 min	25 min	35 min	Japanese sweet potato 400g; dashi 300ml; soy 2 tbsp; mirin 2 tbsp; sake 1 tbsp; sugar 1 tsp	Fridge 4 days	Cut in rounds; simmer covered until tender; uncover last 5 min to reduce sauce. Serve room temp.
Gomae (Sesame Spinach)	Vegetable	4 servings	10 min	5 min	15 min	Spinach 300g; white sesame paste 3 tbsp; soy 1.5 tbsp; mirin 1 tbsp; sugar 1 tsp; dashi 2 tbsp	Fridge 3 days	Blanch and squeeze spinach same as ohitashi; toast sesame if using whole seeds; dress and mix well. Rich flavor; goes with anything.
Miso-Glazed Salmon	Protein	4 servings	10 min plus 2 hr marinate	12 min	2.5 hr	Salmon fillets 600g; white miso 4 tbsp; mirin 3 tbsp; sake 2 tbsp; soy 1 tbsp	Marinate in fridge; cook day of; 2 days cooked	Mix miso glaze; marinate fillets 2 hrs minimum; broil 5 min per side watching carefully. Watch glaze; sugars burn fast.
Chicken Karaage Prep	Protein	4 servings	10 min plus 2 hr marinate	n/a (cook day of)	2.5 hr prep	Thighs 600g; soy 3 tbsp; sake 2 tbsp; ginger 2 tsp; garlic 2 tsp; potato starch; oil for frying	Marinate fridge 2 hrs to overnight; fry day of	Double-fry for best texture: 160C for 4 min; rest 3 min; 180C for 2 min. Do not batch too large; oil temp drops.
Overnight Dashi Cold Brew	Broth/Base	1 liter	5 min	0 min (overnight)	8 hours	Kombu 20g; cold water 1L	Fridge 3 days; use as is or warm	Cold kombu dashi only (no katsuobushi). Gentler flavor; good for ohitashi and light soups. No heat needed.
