id,guild_id,name,type,position,topic,nsfw
ch-lk-001,g-lantern-01,bug-reports,0,0,bug-reports channel for Lantern Keeper Playtest.,false
ch-lk-002,g-lantern-01,feedback,0,1,feedback channel for Lantern Keeper Playtest.,false
ch-lk-003,g-lantern-01,builds,0,2,builds channel for Lantern Keeper Playtest.,false
ch-lk-004,g-lantern-01,general,0,3,general channel for Lantern Keeper Playtest.,false
ch-ind-004,g-indie-01,announcements,0,0,announcements channel for Portland Indie Dev.,false
ch-pdx-005,g-lantern-01,tips,0,4,tips channel for Lantern Keeper Playtest.,false
ch-pdx-006,g-jam-01,art,0,0,art channel for Game Jam Feedback.,false
ch-ind-007,g-indie-01,music,0,1,music channel for Portland Indie Dev.,false
ch-ind-008,g-lantern-01,polls,0,5,polls channel for Lantern Keeper Playtest.,false
ch-lk-009,g-jam-01,music,0,1,music channel for Game Jam Feedback.,false
ch-lk-010,g-jam-01,bug-reports,0,2,bug-reports channel for Game Jam Feedback.,false
ch-ind-011,g-indie-01,bug-reports,0,2,bug-reports channel for Portland Indie Dev.,false
ch-jam-012,g-lantern-01,art,0,6,art channel for Lantern Keeper Playtest.,false
ch-lk-013,g-kendo-01,builds,0,0,builds channel for Level Design Community.,false
ch-lk-014,g-lantern-01,tips,0,7,tips channel for Lantern Keeper Playtest.,false
ch-jam-015,g-lantern-01,feedback,0,8,feedback channel for Lantern Keeper Playtest.,false
ch-jam-016,g-lantern-01,showcase,0,9,showcase channel for Lantern Keeper Playtest.,false
ch-lk-017,g-indie-01,tips,0,3,tips channel for Portland Indie Dev.,false
ch-pdx-018,g-kendo-01,showcase,0,1,showcase channel for Level Design Community.,false
ch-lk-019,g-indie-01,offtopic,0,4,offtopic channel for Portland Indie Dev.,false
ch-pdx-020,g-jam-01,help,0,3,help channel for Game Jam Feedback.,false
ch-pdx-021,g-jam-01,feedback,0,4,feedback channel for Game Jam Feedback.,false
ch-pdx-022,g-jam-01,tips,0,5,tips channel for Game Jam Feedback.,false
ch-jam-023,g-lantern-01,polls,0,10,polls channel for Lantern Keeper Playtest.,false
ch-pdx-024,g-lantern-01,level-design,0,11,level-design channel for Lantern Keeper Playtest.,false
ch-pdx-025,g-indie-01,bug-reports,0,5,bug-reports channel for Portland Indie Dev.,false
ch-jam-026,g-lantern-01,music,0,12,music channel for Lantern Keeper Playtest.,false
ch-jam-027,g-jam-01,polls,0,6,polls channel for Game Jam Feedback.,false
ch-ind-028,g-kendo-01,polls,0,2,polls channel for Level Design Community.,false
ch-ind-029,g-jam-01,tips,0,7,tips channel for Game Jam Feedback.,false
ch-lk-030,g-lantern-01,tips,0,13,tips channel for Lantern Keeper Playtest.,false
ch-ind-031,g-indie-01,offtopic,0,6,offtopic channel for Portland Indie Dev.,false
ch-pdx-032,g-indie-01,help,0,7,help channel for Portland Indie Dev.,false
ch-pdx-033,g-jam-01,general,0,8,general channel for Game Jam Feedback.,false
ch-lk-034,g-jam-01,tips,0,9,tips channel for Game Jam Feedback.,false
ch-pdx-035,g-indie-01,bug-reports,0,8,bug-reports channel for Portland Indie Dev.,false
ch-jam-036,g-indie-01,tips,0,9,tips channel for Portland Indie Dev.,false
ch-lk-037,g-indie-01,builds,0,10,builds channel for Portland Indie Dev.,false
ch-jam-038,g-lantern-01,help,0,14,help channel for Lantern Keeper Playtest.,false
ch-pdx-039,g-lantern-01,polls,0,15,polls channel for Lantern Keeper Playtest.,false
ch-ind-040,g-lantern-01,announcements,0,16,announcements channel for Lantern Keeper Playtest.,false
ch-jam-041,g-indie-01,showcase,0,11,showcase channel for Portland Indie Dev.,false
ch-lk-042,g-jam-01,music,0,10,music channel for Game Jam Feedback.,false
ch-pdx-043,g-jam-01,feedback,0,11,feedback channel for Game Jam Feedback.,false
ch-pdx-044,g-lantern-01,feedback,0,17,feedback channel for Lantern Keeper Playtest.,false
ch-lk-045,g-jam-01,art,0,12,art channel for Game Jam Feedback.,false
ch-jam-046,g-jam-01,feedback,0,13,feedback channel for Game Jam Feedback.,false
ch-lk-047,g-lantern-01,general,0,18,general channel for Lantern Keeper Playtest.,false
ch-jam-048,g-jam-01,tips,0,14,tips channel for Game Jam Feedback.,false
ch-lk-049,g-indie-01,feedback,0,12,feedback channel for Portland Indie Dev.,false
ch-ind-050,g-kendo-01,announcements,0,3,announcements channel for Level Design Community.,false
ch-pdx-051,g-indie-01,tips,0,13,tips channel for Portland Indie Dev.,false
ch-jam-052,g-indie-01,help,0,14,help channel for Portland Indie Dev.,false
ch-ind-053,g-indie-01,help,0,15,help channel for Portland Indie Dev.,false
ch-pdx-054,g-indie-01,feedback,0,16,feedback channel for Portland Indie Dev.,false
ch-ind-055,g-indie-01,offtopic,0,17,offtopic channel for Portland Indie Dev.,false
ch-ind-056,g-kendo-01,offtopic,0,4,offtopic channel for Level Design Community.,false
ch-pdx-057,g-indie-01,help,0,18,help channel for Portland Indie Dev.,false
ch-lk-058,g-lantern-01,help,0,19,help channel for Lantern Keeper Playtest.,false
ch-lk-059,g-lantern-01,level-design,0,20,level-design channel for Lantern Keeper Playtest.,false
ch-ind-060,g-jam-01,level-design,0,15,level-design channel for Game Jam Feedback.,false
ch-lk-061,g-lantern-01,builds,0,21,builds channel for Lantern Keeper Playtest.,false
ch-ind-062,g-lantern-01,announcements,0,22,announcements channel for Lantern Keeper Playtest.,false
ch-ind-063,g-kendo-01,polls,0,5,polls channel for Level Design Community.,false
ch-ind-064,g-kendo-01,music,0,6,music channel for Level Design Community.,false
ch-pdx-065,g-indie-01,level-design,0,19,level-design channel for Portland Indie Dev.,false
ch-ind-066,g-jam-01,announcements,0,16,announcements channel for Game Jam Feedback.,false
ch-lk-067,g-indie-01,level-design,0,20,level-design channel for Portland Indie Dev.,false
ch-pdx-068,g-lantern-01,music,0,23,music channel for Lantern Keeper Playtest.,false
ch-pdx-069,g-kendo-01,showcase,0,7,showcase channel for Level Design Community.,false
ch-pdx-070,g-kendo-01,level-design,0,8,level-design channel for Level Design Community.,false
ch-pdx-071,g-indie-01,art,0,21,art channel for Portland Indie Dev.,false
ch-lk-072,g-indie-01,builds,0,22,builds channel for Portland Indie Dev.,false
ch-pdx-073,g-indie-01,feedback,0,23,feedback channel for Portland Indie Dev.,false
ch-jam-074,g-indie-01,help,0,24,help channel for Portland Indie Dev.,false
ch-ind-075,g-lantern-01,bug-reports,0,24,bug-reports channel for Lantern Keeper Playtest.,false
ch-jam-076,g-indie-01,tips,0,25,tips channel for Portland Indie Dev.,false
ch-jam-077,g-jam-01,polls,0,17,polls channel for Game Jam Feedback.,false
ch-ind-078,g-indie-01,art,0,26,art channel for Portland Indie Dev.,false
ch-lk-079,g-kendo-01,feedback,0,9,feedback channel for Level Design Community.,false
ch-pdx-080,g-kendo-01,tips,0,10,tips channel for Level Design Community.,false
ch-jam-081,g-kendo-01,help,0,11,help channel for Level Design Community.,false
ch-lk-082,g-kendo-01,tips,0,12,tips channel for Level Design Community.,false
ch-pdx-083,g-lantern-01,showcase,0,25,showcase channel for Lantern Keeper Playtest.,false
ch-jam-084,g-indie-01,offtopic,0,27,offtopic channel for Portland Indie Dev.,false
ch-jam-085,g-lantern-01,general,0,26,general channel for Lantern Keeper Playtest.,false
ch-jam-086,g-indie-01,level-design,0,28,level-design channel for Portland Indie Dev.,false
ch-lk-087,g-lantern-01,builds,0,27,builds channel for Lantern Keeper Playtest.,false
ch-jam-088,g-indie-01,polls,0,29,polls channel for Portland Indie Dev.,false
ch-lk-089,g-jam-01,offtopic,0,18,offtopic channel for Game Jam Feedback.,false
ch-jam-090,g-indie-01,tips,0,30,tips channel for Portland Indie Dev.,false
ch-lk-091,g-jam-01,help,0,19,help channel for Game Jam Feedback.,false
ch-ind-092,g-kendo-01,builds,0,13,builds channel for Level Design Community.,false
ch-jam-093,g-jam-01,tips,0,20,tips channel for Game Jam Feedback.,false
ch-ind-094,g-lantern-01,offtopic,0,28,offtopic channel for Lantern Keeper Playtest.,false
ch-pdx-095,g-jam-01,music,0,21,music channel for Game Jam Feedback.,false
ch-ind-096,g-kendo-01,tips,0,14,tips channel for Level Design Community.,false
ch-pdx-097,g-indie-01,tips,0,31,tips channel for Portland Indie Dev.,false
ch-jam-098,g-lantern-01,music,0,29,music channel for Lantern Keeper Playtest.,false
ch-pdx-099,g-jam-01,music,0,22,music channel for Game Jam Feedback.,false
ch-lk-100,g-lantern-01,polls,0,30,polls channel for Lantern Keeper Playtest.,false
ch-lk-101,g-jam-01,tips,0,23,tips channel for Game Jam Feedback.,false
ch-pdx-102,g-jam-01,feedback,0,24,feedback channel for Game Jam Feedback.,false
ch-pdx-103,g-kendo-01,art,0,15,art channel for Level Design Community.,false
ch-pdx-104,g-kendo-01,art,0,16,art channel for Level Design Community.,false
