id,name,type,messages_total,messages_unread,threads_total,threads_unread
GMAI_74e9c39b,Carlos Whitfield,Office Supplies,11,11,11,11
GMAI_9051be96,June (68),Software,28,28,28,28
GMAI_5fdd3268,Karen (1983),Consulting,45,45,45,45
GMAI_f653d782,David (1981),Marketing,62,62,62,62
GMAI_4ae41adf,Ethan (2014),Travel,79,79,79,79
GMAI_ecc2d91d,Maya (2016),Equipment,96,96,96,96
GMAI_9b97f092,Kevin (1986),Training,113,113,113,113
GMAI_1c78d306,Robert (1998),Subscriptions,130,130,130,130
GMAI_c0b39b7c,Helen (2007),Shipping,147,147,147,147
GMAI_69d01e81,Linda (1957),Utilities,164,164,164,164
GMAI_86cc20eb,Frank (1958),Professional Services,181,181,181,181
GMAI_5406d6c3,Connie (1960),Insurance,198,198,198,198
GMAI_556cc69a,Doug (1954),Maintenance,14,14,14,14
GMAI_c6d3b23d,Elena (1960),Legal,31,31,31,31
GMAI_b31e5f18,The family),Advertising,48,48,48,48
