Date	Competition	Opponent	Kickoff ET	Venue
2026-10-03	Premier League	vs Brighton	10:00 AM	Brewhouse Cafe
2026-10-18	Premier League	at Liverpool	11:30 AM	Brewhouse Cafe
2026-10-21	Champions League	vs Bayern Munich	3:00 PM	Home
2026-10-25	Premier League	vs Crystal Palace	9:00 AM	Brewhouse Cafe
2026-11-01	Premier League	at Newcastle	11:30 AM	Brewhouse Cafe
2026-11-04	Champions League	at Real Madrid	3:00 PM	Home
2026-11-08	Premier League	vs Tottenham	11:30 AM	Brewhouse Cafe
2026-11-22	Premier League	at Chelsea	9:00 AM	Brewhouse Cafe
2026-11-29	Premier League	vs Aston Villa	10:00 AM	Brewhouse Cafe
2026-12-06	Premier League	at Manchester City	11:30 AM	Brewhouse Cafe
2026-12-09	Champions League	vs Inter Milan	3:00 PM	Home
2026-12-13	Premier League	vs Everton	10:00 AM	Brewhouse Cafe
