event_date,event_time,event_name,venue,section_watched,cheapest_ticket_usd,fees_usd,total_usd,my_action,notes
2026-10-24,19:30,Atlanta Hawks vs Miami Heat,State Farm Arena,upper 400s,32.00,11.50,43.50,PASS,over 40 not happening
2026-10-31,19:30,Atlanta Hawks vs Boston Celtics,State Farm Arena,upper 400s,58.00,14.75,72.75,PASS,red line 50 plus
2026-11-14,19:30,Atlanta Hawks vs Chicago Bulls,State Farm Arena,upper 400s,28.00,10.25,38.25,PASS,day after Health Assess practical need rest
2026-11-21,19:30,Atlanta Hawks vs Denver Nuggets,State Farm Arena,upper 400s,44.00,13.50,57.50,PASS,over 50
2026-11-28,19:30,Atlanta Hawks vs Sacramento Kings,State Farm Arena,upper 400s,26.00,10.00,36.00,PASS,Thanksgiving weekend home visit still
2026-12-05,19:30,Atlanta Hawks vs New Orleans Pelicans,State Farm Arena,upper 400s,24.00,9.75,33.75,PASS,service hour catch up window
2026-12-12,19:30,Atlanta Hawks vs Orlando Magic,State Farm Arena,upper 400s,22.00,9.50,31.50,PASS,finals starts next day
2026-12-19,19:30,Atlanta Hawks vs Cleveland Cavaliers,State Farm Arena,upper 400s,30.00,10.50,40.50,PASS,move home day
2026-12-26,19:30,Atlanta Hawks vs Charlotte Hornets,State Farm Arena,upper 400s,20.00,9.25,29.25,MAYBE,cheapest yet but still 29 plus MARTA no
2027-01-02,19:30,Atlanta Hawks vs Detroit Pistons,State Farm Arena,upper 400s,22.00,9.50,31.50,PASS,winter break tight budget
2027-01-09,19:30,Atlanta Hawks vs Milwaukee Bucks,State Farm Arena,upper 400s,38.00,12.25,50.25,PASS,50 plus red line and spring starts next week
NOTE,I am not spending on Hawks games this window,,,,,,,,,budget rules apply
NOTE,when Marcus wants to go he can go alone or I owe him one after aid renewal clears,,,,,,,,,
NOTE,dream game Hawks vs Warriors any spring but not this window,,,,,,,,,
