sku,product_name,price_usd,stock,category,producer_tag,bpm,key,length_seconds,date_added,notes
BT-0001,Peach State Sunset,29.99,unlimited,trap soul,cousin Jamil,84,F minor,183,2026-01-14,cousin Jamil sells these I dont get a cut
BT-0002,Cascade Nights,24.99,unlimited,lofi hip hop,cousin Jamil,72,C minor,201,2026-02-03,
BT-0003,MARTA Blue Line,34.99,unlimited,drill,cousin Jamil,140,G minor,167,2026-03-10,
BT-0004,Sunday Morning,19.99,unlimited,gospel adjacent,cousin Jamil,90,D major,224,2026-03-27,my favorite of his
BT-0005,West End Bounce,29.99,unlimited,atl bounce,cousin Jamil,132,A minor,158,2026-04-15,
BT-0006,Beckwith Freeway,24.99,unlimited,trap,cousin Jamil,144,F minor,171,2026-05-02,
BT-0007,Grady Waltz,19.99,unlimited,rnb ballad,cousin Jamil,68,E flat major,238,2026-05-19,for mama Grady vibes
BT-0008,Chick fila drive thru anthem,29.99,unlimited,trap,cousin Jamil,138,C minor,164,2026-06-04,jokes name real beat
BT-0009,Study Session,14.99,unlimited,lofi study,cousin Jamil,68,A minor,318,2026-06-21,I actually loop this while studying
BT-0010,Aid Deadline Panic,24.99,unlimited,dark trap,cousin Jamil,150,B flat minor,182,2026-07-08,he made this after I complained about my aid stuff LOL
BT-0011,Christmas at Mabels,19.99,unlimited,soul,cousin Jamil,74,G major,247,2026-11-15,scheduled release
STORE_INFO,Jamil Blanchard Beat Shop BigCommerce,,,,,,,,,contact jamil.b.atl on IG
STORE_INFO,not my store I just help him tag,,,,,,,,,revenue split 0 percent zero I get nothing
NOTE,I do not spend money on beats currently. I like his stuff but its not for me to buy right now.,,,,,,,,,budget rules apply
