recipe_id,recipe_title,tags,servings,prep_minutes,cook_minutes,est_cost_usd_per_serving,source,notes
RCP001,Grandma Mabel sweet potato pie,dessert holiday family,8,30,55,1.85,Mabel handwritten card scanned 2025-11,Thanksgiving lock
RCP002,Denise collard greens smoked turkey,side holiday family,10,20,120,2.10,Denise Sunday call recipe,do not offer to make Keisha claims it
RCP003,Dorm ramen upgrade with egg green onion,quick student cheap,1,3,7,1.20,internet,weeknight after shift
RCP004,Chicken thigh sheet pan sweet potato,dinner batch cheap,4,10,40,2.75,internet,Sunday meal prep
RCP005,Overnight oats banana peanut butter,breakfast cheap,1,5,0,0.85,internet,Tue Thu class morning
RCP006,Publix rotisserie chicken 3 meals plan,dinner batch cheap,3,5,0,3.10,internet,leverages 6.99 rotisserie
RCP007,Rice and beans black bean,dinner cheap,4,10,25,0.95,internet,pantry staple
RCP008,Turkey chili crockpot,dinner batch cheap,6,15,240,1.85,cousin Aisha,winter batch
RCP009,Aisha smothered chicken thighs,dinner family,4,15,45,2.90,Aisha DM 2026-08-14,too heavy for weeknight
RCP010,Study snack peanut butter apple,snack cheap,1,2,0,0.55,internet,study session
RCP011,MoTown baked mac and cheese,side holiday,10,20,45,1.65,Denise,Thanksgiving assist
RCP012,Salmon patties canned pink,dinner cheap,3,10,10,1.75,Mabel,rotates
RCP013,Southern cornbread cast iron,side family,8,10,25,0.65,Mabel,Thanksgiving lock
RCP014,Roasted vegetables sheet pan,side cheap,4,10,35,1.10,internet,fast side
RCP015,Egg salad sandwich lunch,lunch cheap,2,10,10,1.05,internet,between shift lunch
RCP016,Yellow rice with peas Mabel,side cheap,4,5,20,0.75,Mabel,rotates
RCP017,Instant coffee Cafe Bustelo trick,drink cheap,1,3,0,0.15,cousin Jamil,study fuel
RCP018,Homemade sweet tea,drink cheap,8,5,10,0.10,Denise,Sunday call staple
RCP019,Skillet cornbread pancakes,breakfast weekend,4,10,15,0.55,Mabel,Saturday sometimes
RCP020,Salmon rice bowl broccoli,dinner cheap,1,10,15,3.25,internet,solo dinner
NOTE,I mostly eat dining hall not home cooking,,,,,,,,but I keep these on file to make more at home during breaks
NOTE,Thanksgiving I only bring the sweet potato pie ingredients not the whole pie,,,,,,,,Denise assembles I chop and stir
