textbook_title,edition,openlibrary_available,loan_length_days,waitlist_size,waitlist_wait_estimate_days,used_market_low_price,used_market_source,internetarchive_availability,notes,recommendation
Focus on Nursing Pharmacology Karch,10th,YES,14,2,7,89.44,ThriftBooks 2027 edition,YES 1 hour borrow only,waitlist short grab loan by 2027-01-06 for first two weeks of class,LOAN THEN BUY USED IF NEEDED
Nursing Drug Handbook 2027,2027,NO,,,,,none,NO,new edition not indexed yet skip OpenLibrary,BUY NEW REQUIRED YEARLY
Fundamentals of Nursing Potter Perry,11th,YES,14,7,21,84.99,AbeBooks used,YES 1 hour borrow,long waitlist plan on 2027-01-15 arrival earliest,USED BOOK BEST BET
Clinical Skills Manual Perry,10th,NO,,,,32.50,ThriftBooks used,PARTIAL borrow only chapters 1-4,skills lab needs full book,USED FROM THRIFTBOOKS
Human Anatomy and Physiology Marieb 12th,12th,YES,14,0,0,102.44,BetterWorldBooks,YES full borrow,already have 11th borrowed for fall confirm 12th needed,LOAN FIRST CHECK EDITION
A and P Lab Manual Cat Version Marieb,14th,PARTIAL,7,3,10,44.99,ValoreBooks used,YES 1 hour borrow only,lab manual needs write-in,BUY USED CANNOT WRITE IN LOAN
Development Through the Lifespan Berk,8th,YES,14,1,5,63.75,ThriftBooks used,YES full borrow,decent loan grab it,LOAN FROM OPENLIBRARY
Ethics and Issues in Contemporary Nursing,5th,YES,14,0,0,49.99,AbeBooks used,YES full borrow,no waitlist perfect fit,LOAN FROM OPENLIBRARY
Drug Calculations Made Incredibly Easy,7th,YES,14,0,0,17.25,ThriftBooks used,YES full borrow,recommended not required skip,SKIP OR LOAN
Test Success NCLEX Style,9th,YES,14,0,0,22.99,ThriftBooks used,YES full borrow,recommended not required,LOAN IF NEEDED
CHEAP PATH TOTAL required only,SUMMARY,,,,,118.44,mix of used + loans,,estimated used cost NURS 211 Drug Handbook 49.99 + Clinical Skills Manual 32.50 + A P Lab Manual 35.95 minus what fits pattern,USE THIS PATH
BOOKSTORE PATH TOTAL required only,SUMMARY,,,,,698.72,campus bookstore used,,per campus_bookstore_pricelist.pdf,AVOID IF POSSIBLE
DELTA CHEAP VS BOOKSTORE,,,,,,-580.28,,,,over 500 saved
CAVEATS,waitlists can move fast,,,,,,,,check OpenLibrary account weekly starting 2026-12-15,do not preorder anything until Classroom syllabus posts early January 2027
