transaction_id,posted_date,description,merchant,category,amount,balance,account
TX100001,2026-10-01,Sprint wireless autopay,Sprint,Bills,-80.00,304.21,Peach State CU Checking ****4471
TX100002,2026-10-01,Publix groceries,Publix,Groceries,-18.42,285.79,Peach State CU Checking ****4471
TX100003,2026-10-02,Kroger grocery run,Kroger,Groceries,-12.87,272.92,Peach State CU Checking ****4471
TX100004,2026-10-02,MARTA Breeze reload,MARTA,Transit,-30.00,242.92,Peach State CU Checking ****4471
TX100005,2026-10-02,Gusto Payroll Cedarbrook Dining,Cedarbrook Dining Svcs,Payroll,287.5,530.42,Peach State CU Checking ****4471
TX100006,2026-10-03,Chick fil A drive thru,Chick-fil-A,Food,-9.84,520.58,Peach State CU Checking ****4471
TX100007,2026-10-04,Cash App to Marcus utilities split,Cash App,P2P,-22.00,498.58,Peach State CU Checking ****4471
TX100008,2026-10-05,Publix snacks,Publix,Groceries,-6.19,492.39,Peach State CU Checking ****4471
TX100009,2026-10-06,Amazon nursing pen light,Amazon,School,-14.99,477.4,Peach State CU Checking ****4471
TX100010,2026-10-07,Waffle House late night,Waffle House,Food,-11.20,466.2,Peach State CU Checking ****4471
TX100011,2026-10-08,Zelle to Aunt Keisha Mabel care Oct,Zelle,Family,-75.00,391.2,Peach State CU Checking ****4471
TX100012,2026-10-09,Publix groceries,Publix,Groceries,-21.34,369.86,Peach State CU Checking ****4471
TX100013,2026-10-10,Barnes Noble supplemental Pharm,Barnes and Noble,School,-18.75,351.11,Peach State CU Checking ****4471
TX100014,2026-10-11,MARTA Breeze reload,MARTA,Transit,-10.00,341.11,Peach State CU Checking ****4471
TX100015,2026-10-12,Cheesecake Factory bday Aisha,Cheesecake Factory,Food,-24.66,316.45,Peach State CU Checking ****4471
TX100016,2026-10-13,Kroger produce,Kroger,Groceries,-8.42,308.03,Peach State CU Checking ****4471
TX100017,2026-10-14,Target dorm supplies,Target,Personal,-13.50,294.53,Peach State CU Checking ****4471
TX100018,2026-10-15,Spotify Premium student,Spotify,Subscriptions,-5.99,288.54,Peach State CU Checking ****4471
TX100019,2026-10-16,Gusto Payroll Cedarbrook Dining,Cedarbrook Dining Svcs,Payroll,301.19,589.73,Peach State CU Checking ****4471
TX100020,2026-10-16,Chipotle student night,Chipotle,Food,-11.42,578.31,Peach State CU Checking ****4471
TX100021,2026-10-17,Publix groceries,Publix,Groceries,-19.88,558.43,Peach State CU Checking ****4471
TX100022,2026-10-18,CVS toothpaste soap,CVS,Personal,-12.14,546.29,Peach State CU Checking ****4471
