repo_name,owner,visibility,primary_language,last_commit_date,stars,forks,description,my_involvement
dorm-lights-arduino,marcusthom-atl,public,C++,2026-09-22,4,1,Arduino sketch to control dorm room LED strip via BLE,none I just watched him build it
dining-hall-menu-scraper,marcusthom-atl,public,Python,2026-09-14,12,3,Scrapes Wexler dining menu and pushes to Discord webhook,I gave him one bug report about Sat menu
cs-101-final-project,marcusthom-atl,private,JavaScript,2026-08-30,0,0,His Fall 2025 CS 101 final,none not my class
atl-marta-tracker,marcusthom-atl,public,TypeScript,2026-09-05,27,6,Real time MARTA train arrivals with alerts,use it sometimes
crypto-portfolio-tracker,marcusthom-atl,public,Python,2026-07-11,3,0,Basic Coinbase API pull he did with Devon,none Devon world
notion-shift-swap-bot,marcusthom-atl,private,TypeScript,2026-08-19,0,0,Slackbot to auto-DM Ray about swaps he never finished it,I said he should ship it
personal-website,marcusthom-atl,public,HTML,2026-06-02,1,0,Static site portfolio,none
dotfiles,marcusthom-atl,public,Shell,2026-09-27,2,0,His terminal config,none
music-recommender,marcusthom-atl,public,Python,2026-04-14,8,2,Spotify API side project last spring,none
cs102-notes,marcusthom-atl,public,Markdown,2026-09-30,0,0,His current CS 102 lecture notes,I skim them if he takes better notes than my prof gives
NOTE,I don't code much yet mostly nursing focus,,,,,,,I might learn later after nursing school
NOTE,Marcus is CS major not nursing so his stuff not my priority,,,,,,,he shows me cool stuff at dinner
