drop_date,brand,model,colorway,retail_price_usd,sku,size_us,platform,notes,action
2026-10-11,Nike,Air Jordan 1 Retro Low,University Blue,110.00,DC0774-114,10.5,SNKRS,fire but 110 is over red line,PASS
2026-10-18,New Balance,990v6,Grey,209.99,M990GR6,10.5,Foot Locker,too pricey,PASS
2026-10-25,Adidas,Samba OG,Cloud White Core Black,100.00,B75806,10.5,Adidas app,close to line but still 50 plus,PASS
2026-11-01,Nike,Dunk Low,Panda,115.00,DD1391-100,10.5,SNKRS,restock rumor,PASS
2026-11-08,Nike,Air Force 1 Low,Triple White,115.00,CW2288-111,10.5,Nike.com,workhorse but I already got a pair,PASS
2026-11-15,Jordan,Air Jordan 4,Bred,215.00,308497-060,10.5,SNKRS raffle,dream shoe never gonna happen,PASS
2026-11-22,New Balance,574,Navy,89.99,ML574EGN,10.5,New Balance,under 90 could work if I need trainers not now,PASS
2026-11-29,Nike,Air Max 90,Infrared,140.00,CT1685-100,10.5,SNKRS,skip,PASS
2026-12-06,Adidas,Gazelle Bold,Green,120.00,IE0430,10.5,Adidas app,skip,PASS
2026-12-13,Jordan,Air Jordan 1 Mid,Chicago,125.00,554724-173,10.5,SNKRS,skip,PASS
2026-12-20,Nike,Cortez Basic Leather,White,80.00,819719-100,10.5,Nike.com,under 50 hell no still 80,PASS
2026-12-27,Puma,Suede Classic,Black,75.00,352634-04,10.5,Puma app,under 80 pass anyway,PASS
2027-01-03,New Balance,530,White Silver,109.99,MR530SG,10.5,New Balance,pass,PASS
2027-01-10,Nike,Killshot 2,Sail Medium Grey,85.00,432997-107,10.5,J Crew,pass,PASS
NOTE,none of these are getting bought this window,,,,,,,,GPA and aid renewal first
RULE,no discretionary sneaker spend over 49.99 without confirming with self and revisiting budget,,,,,,,,red line stays on
