listing_id,shop_name,product_name,price_usd,category,tags,date_added,my_action,notes
ET-1001,PeachStatePrints,Nursing student weekly planner PDF printable,4.99,printable,nursing student planner,2026-08-14,BOUGHT,already using it
ET-1002,PeachStatePrints,Pharmacology cheat sheet ADME PDF,3.49,printable,nursing pharmacology,2026-08-21,BOUGHT,paired with Karch
ET-1003,PeachStatePrints,Vital signs reference card PDF,2.99,printable,nursing assessment,2026-08-28,BOUGHT,pocket sized
ET-1004,PeachStatePrints,SBAR handoff template PDF,3.99,printable,nursing clinical,2026-09-04,SAVED FAVORITE,for next spring when clinicals start
ET-1005,StudentBudgetShop,Simple monthly budget printable,2.49,printable,personal finance student,2026-08-30,BOUGHT,I use this
ET-1006,StudentBudgetShop,Cash envelope system PDF pack,4.99,printable,personal finance,2026-09-01,SAVED,considered but I do everything digital
ET-1007,NursingSchoolAtlanta,NCLEX ready flashcards ATL edition digital pack,12.99,printable,nursing NCLEX,2026-09-15,SAVED,expensive skip until aid clears
ET-1008,FirstGenGrad,First gen college student journal prompts,3.99,printable,student wellness,2026-09-18,SAVED,felt seen but not now
ET-1009,SundayFundayATL,Sunday sermon note template,2.49,printable,faith journal,2026-09-22,BOUGHT,using at St Paul AME
ET-1010,DormRoomDesign,Dorm room organization checklist,1.99,printable,student living,2026-08-05,BOUGHT,used it move in
ET-1011,MotherlandDesigns,Adinkra symbol art print digital,4.99,art printable,art culture,2026-09-11,SAVED,for spring when I decorate more
ET-1012,PeachStatePrints,Health Assessment head to toe checklist,3.99,printable,nursing assessment,2026-09-25,BOUGHT,using for practical prep
NOTE,every printable purchase under 5 dollars I approve myself,,,,,,,,red line rule intact
NOTE,I do not sell on Etsy this is buyer profile only,,,,,,,,
TOTAL_SPENT_2026_08_TO_2026_10,about 22.44,,,,,,,,,
