course_code,course_name,textbook_title,author,edition,isbn,required_optional,bookstore_new_price,bookstore_used_price,notes
NURS 211,Pharmacology II,Focus on Nursing Pharmacology,Karch,10th,9781975187840,required,178.50,131.99,carryover from NURS 210 possible if instructor keeps 9th but syllabus lists 10th
NURS 211,Pharmacology II,Nursing Drug Handbook 2027,Kluwer Lippincott,2027,9781975222118,required,64.99,49.99,updated yearly
NURS 206,Fundamentals of Nursing Practice,Fundamentals of Nursing,Potter Perry,11th,9780323810340,required,152.75,114.50,heavy book
NURS 206,Fundamentals of Nursing Practice,Clinical Skills Manual,Perry Potter Ostendorf,10th,9780323756747,required,58.25,43.99,skills lab
BIOL 211,Human Anatomy and Physiology II,Human Anatomy and Physiology,Marieb Hoehn,12th,9780137534197,required,189.99,142.50,same as A P I so may already own
BIOL 211L,Human A and P II Lab,Human A and P Laboratory Manual Cat Version,Marieb Smith,14th,9780137840595,required,84.50,63.25,
PSYC 232,Lifespan Development,Development Through the Lifespan,Berk,8th,9780137442584,required,132.99,99.75,
NURS 220,Nursing Ethics and Professional Practice,Ethics and Issues in Contemporary Nursing,Burkhardt Nathaniel Walton,5th,9780357376010,required,98.50,73.75,short semester text
NURS 211,Pharmacology II,Drug Calculations Made Incredibly Easy,Kluwer,7th,9781975165444,recommended,38.99,29.25,optional could skip
NURS 206,Fundamentals of Nursing Practice,Test Success NCLEX Style,Nugent Vitale,9th,9780803689589,recommended,44.50,33.25,optional NCLEX prep
BIOL 211L,Human A and P II Lab,Kaplan A P Study Cards,Kaplan,3rd,9781506282671,recommended,29.99,22.50,optional
BUNDLE FALL 2026 REFERENCE,already owned Karch 9th and Jarvis 9th from Fall 2026,carry to spring,,,carryover,0.00,0.00,already paid
TOTALS bookstore path new required only,sum,,,,,932.47,,do not include recommended
TOTALS bookstore path used required only,sum,,,,,698.72,,
NOTES,spring 2027 course draft in Notion is not authoritative confirm every ISBN against Classroom syllabus once posted early January 2027,,,,,,,do not preorder before Classroom posts syllabus PDFs
