Item	Category	Quantity	Est Price	Store
Rolled oats	Pantry	1 canister	4.49	Mariano's
Unsweetened almond milk	Dairy alt	2 cartons	5.98	Mariano's
Greek yogurt, plain	Dairy	32 oz	5.79	Mariano's
Frozen blueberries	Produce	2 bags	7.98	Mariano's
Bananas	Produce	6 count	2.10	Mariano's
Chicken breast	Protein	2.5 lb	11.23	Mariano's
Salmon fillets	Protein	4 count	16.40	Mariano's
Mixed salad greens	Produce	2 tubs	7.98	Mariano's
Cherry tomatoes	Produce	2 pints	5.98	Mariano's
Brown rice	Pantry	2 lb	3.69	Mariano's
Broccoli	Produce	2 crowns	3.40	Mariano's
Bell peppers	Produce	4 count	4.76	Mariano's
Peanut butter	Pantry	1 jar	4.29	Mariano's
Apples, Honeycrisp	Produce	6 count	6.54	Mariano's
Kind bars, variety	Snacks	1 box	9.49	Mariano's
Trail mix	Snacks	1 bag	6.99	Mariano's
Olive oil	Pantry	1 bottle	8.99	Mariano's
Eggs	Dairy	1 dozen	3.79	Mariano's
TOTAL			119.87	
