zpid,event_date,event,price,price_per_sqft,source
85000000,2026-02-24,Listed for sale,621449,507,County
85000000,2025-01-06,Price change,687963,562,MLS
85000000,2023-06-30,Sold,655154,535,MLS
85000001,2025-11-08,Price change,515589,601,County
85000002,2022-06-18,Listed for sale,395398,422,County
85000002,2022-09-25,Sold,421895,450,County
85000002,2023-01-11,Price change,424925,453,MLS
85000003,2021-03-22,Listed for sale,371674,267,MLS
85000004,2020-01-22,Listed for sale,658134,837,County
85000005,2021-08-21,Price change,484450,351,County
85000005,2025-02-10,Sold,429305,311,MLS
85000005,2021-08-01,Sold,490653,356,Zillow
85000006,2021-05-23,Listed for rent,719768,687,County
85000007,2023-03-24,Listed for rent,638055,774,MLS
85000007,2023-04-28,Price change,649687,788,Zillow
85000007,2020-03-14,Sold,630122,764,Zillow
85000008,2024-09-19,Listed for rent,545039,580,MLS
85000009,2022-09-23,Listed for rent,613111,893,MLS
85000009,2023-03-16,Listed for sale,614546,895,Zillow
85000010,2025-11-28,Sold,443949,677,County
85000010,2025-03-22,Listed for sale,457466,698,MLS
85000010,2026-01-03,Sold,448180,684,Zillow
85000011,2021-10-10,Listed for rent,684784,1023,Zillow
85000011,2025-12-12,Price change,673512,1006,MLS
85000012,2022-03-01,Listed for rent,329149,462,Zillow
85000012,2022-11-13,Listed for rent,358703,504,Zillow
85000012,2026-03-31,Sold,314843,442,County
85000013,2022-05-23,Listed for sale,589971,671,County
85000014,2021-05-25,Listed for sale,602975,442,MLS
85000014,2022-06-05,Sold,592867,434,County
85000014,2024-06-20,Price change,588889,431,MLS
85000015,2025-12-25,Sold,493959,720,County
85000015,2025-01-19,Price change,453160,660,County
85000016,2020-03-11,Sold,527036,473,Zillow
85000017,2025-11-03,Sold,476791,408,MLS
85000017,2026-05-07,Price change,455820,390,Zillow
85000017,2025-04-17,Listed for sale,448571,384,County
85000018,2020-02-17,Listed for sale,525258,594,County
85000019,2024-01-26,Price change,340022,316,County
85000020,2020-02-02,Sold,552706,400,Zillow
85000020,2025-10-14,Sold,557875,404,MLS
85000021,2025-08-21,Listed for sale,641005,751,County
85000021,2025-06-23,Listed for sale,606330,710,County
85000022,2023-07-15,Listed for rent,391126,578,County
85000022,2022-09-07,Listed for sale,404320,598,County
85000022,2023-08-31,Price change,408124,603,MLS
85000023,2023-05-08,Listed for rent,470313,419,County
85000023,2020-10-30,Sold,447901,399,MLS
85000023,2020-05-19,Listed for rent,437835,390,County
85000024,2021-04-18,Sold,626490,780,MLS
85000024,2025-11-10,Price change,657639,818,MLS
85000025,2022-09-11,Listed for rent,376911,420,MLS
85000026,2024-12-06,Listed for rent,480829,422,MLS
85000026,2025-03-22,Listed for rent,475025,417,County
85000027,2022-01-28,Listed for rent,689309,755,Zillow
85000027,2021-12-19,Sold,627700,688,County
85000027,2020-10-01,Price change,682750,748,Zillow
85000028,2022-06-14,Price change,508643,749,Zillow
85000028,2025-12-19,Sold,481532,709,MLS
85000029,2021-01-06,Listed for rent,386935,366,County
85000029,2023-04-24,Listed for sale,391966,371,Zillow
85000029,2021-06-19,Listed for rent,453031,429,County
85000030,2020-12-25,Listed for sale,558013,654,MLS
85000030,2022-03-22,Listed for sale,558648,654,Zillow
85000031,2026-05-20,Listed for sale,556715,636,MLS
85000032,2023-08-07,Sold,639984,657,Zillow
85000033,2024-08-22,Sold,503662,594,Zillow
85000034,2021-08-20,Listed for sale,390096,382,MLS
85000035,2022-12-31,Listed for sale,638492,572,MLS
85000035,2021-03-05,Sold,615235,551,Zillow
85000036,2025-06-08,Price change,449423,351,Zillow
85000037,2025-03-25,Listed for rent,709397,527,MLS
85000037,2022-05-03,Listed for rent,680984,506,County
85000038,2021-09-05,Listed for sale,408557,307,Zillow
85000039,2021-07-25,Price change,478804,343,Zillow
85000039,2021-07-08,Price change,505223,362,MLS
85000040,2023-10-31,Sold,383493,276,County
85000040,2026-05-20,Sold,379020,273,County
85000040,2020-05-28,Listed for sale,314608,226,MLS
85000041,2022-02-04,Price change,574521,562,MLS
85000042,2023-11-25,Listed for rent,547864,436,Zillow
85000042,2025-12-18,Price change,577149,459,Zillow
85000043,2022-04-22,Listed for rent,378597,407,MLS
85000043,2021-07-03,Listed for rent,371998,400,MLS
85000044,2020-07-24,Listed for rent,373655,344,County
85000044,2021-04-09,Sold,392478,362,MLS
85000045,2021-10-11,Listed for rent,646768,642,MLS
85000045,2023-04-20,Listed for rent,623739,620,MLS
85000045,2023-12-19,Listed for sale,662501,658,MLS
85000046,2024-07-28,Price change,718285,992,MLS
85000047,2020-05-10,Sold,577291,852,Zillow
85000047,2021-01-17,Listed for sale,580482,857,MLS
85000047,2021-06-10,Sold,597552,882,County
85000048,2020-10-01,Sold,568212,801,County
85000048,2023-12-07,Listed for sale,565956,798,Zillow
85000049,2021-12-22,Sold,520243,539,Zillow
85000050,2022-04-21,Sold,371927,273,Zillow
85000050,2025-09-20,Sold,364464,267,MLS
85000051,2024-01-27,Listed for sale,367447,414,MLS
85000051,2025-08-17,Listed for sale,421136,475,County
85000052,2024-04-28,Listed for rent,604145,639,Zillow
85000052,2025-02-16,Listed for rent,589782,624,County
85000053,2024-06-17,Listed for sale,340822,245,Zillow
85000053,2026-02-10,Sold,394506,284,MLS
85000054,2026-01-26,Sold,682025,919,MLS
85000054,2025-02-12,Sold,692746,933,County
85000055,2026-05-17,Listed for rent,373171,283,County
85000055,2023-11-26,Price change,428251,325,Zillow
85000055,2024-11-15,Listed for rent,424851,323,MLS
85000056,2021-02-27,Price change,452568,465,MLS
85000057,2021-02-10,Listed for rent,462070,330,County
85000058,2025-03-25,Listed for rent,703684,737,MLS
85000058,2020-05-06,Price change,685031,718,County
85000059,2026-05-23,Listed for sale,475987,370,MLS
85000059,2021-08-11,Sold,535418,416,County
85000059,2022-02-22,Price change,523563,407,County
85000060,2026-06-05,Price change,335128,507,County
85000061,2022-08-28,Sold,299432,291,MLS
85000061,2022-09-05,Listed for sale,316457,307,Zillow
85000062,2024-01-18,Sold,328579,383,County
85000062,2021-11-26,Sold,364902,426,MLS
85000062,2023-09-21,Listed for sale,374230,437,Zillow
85000063,2025-07-16,Sold,595113,430,Zillow
85000063,2023-01-15,Sold,601208,435,Zillow
85000064,2024-03-29,Listed for sale,633262,564,MLS
85000064,2021-11-28,Listed for rent,588012,524,County
85000064,2021-10-06,Price change,589713,525,MLS
85000065,2023-12-29,Listed for sale,696882,633,Zillow
85000065,2024-07-10,Sold,707321,643,MLS
85000065,2022-06-10,Price change,662892,602,Zillow
85000066,2024-05-24,Sold,694212,1047,MLS
85000066,2026-07-02,Listed for rent,694575,1047,Zillow
85000067,2024-02-21,Listed for rent,650277,480,Zillow
85000068,2023-11-24,Price change,460211,633,MLS
85000068,2021-09-26,Sold,457667,630,County
85000068,2021-09-26,Sold,412974,568,Zillow
85000069,2022-10-05,Sold,340962,468,County
85000069,2022-02-14,Listed for sale,346584,476,County
85000069,2022-02-11,Price change,377725,518,Zillow
85000070,2022-06-18,Listed for sale,421231,314,County
85000071,2025-11-10,Listed for sale,559567,741,County
85000071,2026-02-17,Listed for rent,574972,761,MLS
85000072,2022-03-17,Sold,463874,371,County
85000072,2023-12-02,Listed for rent,454335,364,County
85000072,2023-05-23,Price change,424353,340,County
85000073,2021-07-21,Sold,652094,786,Zillow
85000074,2022-10-26,Price change,443342,394,County
85000074,2020-09-08,Sold,453252,402,MLS
85000074,2025-06-09,Listed for rent,431157,383,Zillow
85000075,2021-05-20,Listed for rent,696126,647,MLS
85000076,2024-12-23,Listed for rent,414909,533,Zillow
85000076,2020-07-25,Sold,386753,497,Zillow
85000077,2025-10-26,Listed for sale,506335,463,MLS
85000077,2025-06-10,Sold,532220,487,MLS
85000077,2024-04-28,Listed for rent,541902,496,MLS
85000078,2025-02-21,Sold,493265,448,Zillow
85000079,2023-11-25,Listed for sale,632642,487,County
85000080,2021-05-28,Sold,525837,558,County
85000080,2023-10-27,Listed for rent,502004,532,Zillow
85000080,2021-03-09,Price change,503545,534,Zillow
85000081,2020-12-27,Listed for rent,510443,456,MLS
85000082,2025-10-16,Sold,364668,436,Zillow
85000082,2025-08-29,Price change,401986,481,MLS
85000083,2022-01-02,Price change,421906,336,Zillow
85000084,2021-06-06,Price change,461433,633,County
85000084,2023-05-18,Listed for sale,427041,586,County
85000084,2022-07-21,Listed for sale,450078,618,MLS
85000085,2026-06-30,Sold,521334,433,Zillow
85000085,2026-03-02,Listed for rent,547225,455,County
85000085,2022-09-10,Listed for sale,549111,456,Zillow
85000086,2026-04-22,Price change,414136,357,Zillow
85000086,2024-09-26,Listed for sale,433863,374,County
85000086,2025-08-02,Price change,465109,401,County
85000087,2023-05-18,Sold,573134,593,Zillow
85000087,2024-04-17,Listed for sale,569393,589,County
85000087,2023-07-21,Sold,537608,556,MLS
85000088,2023-02-16,Price change,631720,896,County
85000088,2020-06-16,Listed for sale,636505,902,Zillow
85000089,2023-07-12,Sold,466976,491,County
85000090,2020-04-13,Listed for sale,543498,488,MLS
85000090,2023-03-09,Listed for rent,546669,491,Zillow
85000090,2023-08-28,Price change,540604,485,Zillow
85000091,2022-08-14,Price change,527086,449,MLS
85000091,2023-07-25,Listed for sale,528129,450,County
85000091,2025-06-13,Sold,525611,448,Zillow
85000092,2021-05-23,Listed for sale,354320,397,Zillow
85000093,2023-03-19,Listed for sale,677242,1023,MLS
85000093,2022-01-31,Price change,688636,1040,Zillow
85000093,2025-07-08,Sold,706788,1067,MLS
85000094,2020-11-04,Price change,673658,568,MLS
85000095,2023-08-10,Listed for sale,689497,783,Zillow
85000095,2024-01-26,Listed for sale,675457,767,MLS
85000096,2024-02-20,Listed for rent,427012,313,MLS
85000097,2023-09-15,Sold,673455,482,Zillow
85000098,2024-05-07,Price change,573588,455,MLS
85000099,2024-01-02,Price change,553145,645,Zillow
85000099,2023-12-13,Sold,530682,619,MLS
85000099,2022-09-09,Listed for rent,519630,606,Zillow
85000100,2023-10-05,Listed for sale,364134,441,MLS
85000100,2025-10-01,Listed for rent,384232,465,Zillow
85000100,2025-12-19,Sold,343259,416,Zillow
85000101,2024-08-27,Sold,445003,361,Zillow
85000101,2022-10-23,Listed for sale,429098,348,Zillow
85000102,2023-09-05,Sold,405467,349,Zillow
85000102,2022-04-02,Listed for sale,412691,356,County
85000102,2026-04-03,Listed for rent,430372,371,Zillow
85000103,2025-08-19,Listed for sale,572907,421,MLS
85000103,2024-05-27,Price change,619491,456,MLS
85000103,2022-05-13,Listed for sale,557111,410,County
85000104,2021-06-04,Price change,586322,684,Zillow
85000104,2025-03-14,Listed for sale,628010,732,Zillow
85000105,2020-05-31,Listed for sale,585962,601,MLS
85000106,2023-04-08,Sold,611269,496,County
85000106,2023-12-24,Listed for rent,608055,493,Zillow
85000107,2020-04-27,Price change,477739,492,County
85000107,2024-08-14,Sold,491603,506,MLS
