zpid,address,city,state,zipcode,latitude,longitude,bedrooms,bathrooms,living_area_sqft,lot_size_sqft,year_built,home_type,list_price,zestimate,rent_zestimate,status,days_on_zillow,listing_agent_id
85000000,399 Ogden St,Denver,CO,80203,39.7389,-104.9758,3,1.5,1224,1751,1923,Condo,660145,654363,2597,OFF_MARKET,84,agent-0199
85000001,692 Clarkson St Unit 401,Denver,CO,80206,39.7319,-104.9783,2,1.5,857,2742,1929,Apartment,511886,496924,2560,FOR_SALE,28,agent-0197
85000002,996 Ogden St,Denver,CO,80218,39.7426,-104.9691,2,2.0,936,2532,1922,Apartment,429091,429237,2574,FOR_RENT,13,agent-0115
85000003,1397 Corona St Apt 3B,Denver,CO,80218,39.7229,-104.9845,2,2.0,1389,930,2015,MultiFamily,371091,384753,3114,OFF_MARKET,64,agent-0096
85000004,1099 Grant St Apt 3B,Denver,CO,80206,39.7353,-104.9762,2,2.0,786,1445,1985,Townhouse,668693,678559,2645,OFF_MARKET,62,agent-0142
85000005,1446 Pearl St,Denver,CO,80203,39.7331,-104.9777,2,1.0,1377,65,1923,Apartment,464598,461707,2882,FOR_RENT,53,agent-0128
85000006,482 Clarkson St,Denver,CO,80218,39.7309,-104.9641,3,1.5,1047,2511,2001,Townhouse,692143,712086,2203,OFF_MARKET,35,agent-0136
85000007,711 Pearl St Apt 3B,Denver,CO,80203,39.7455,-104.9758,1,1.5,824,103,1969,MultiFamily,634353,619569,1882,OFF_MARKET,41,agent-0090
85000008,978 Logan St Unit 2,Denver,CO,80203,39.7396,-104.9830,1,1.5,939,1745,1942,Apartment,538332,550004,3572,OFF_MARKET,43,agent-0132
85000009,1380 Ogden St Unit 2,Denver,CO,80203,39.7221,-104.9887,2,2.0,686,2417,1946,Apartment,605717,600677,2038,FOR_RENT,33,agent-0049
85000010,829 Clarkson St,Denver,CO,80203,39.7258,-104.9743,1,1.0,655,2887,1927,MultiFamily,455316,446567,2467,FOR_SALE,45,agent-0117
85000011,1476 Ogden St,Denver,CO,80206,39.7268,-104.9702,2,1.5,669,1647,1991,Townhouse,658015,677425,3174,FOR_SALE,47,agent-0117
85000012,805 Logan St,Denver,CO,80206,39.7394,-104.9819,2,1.0,711,1401,2000,Townhouse,331834,346766,2758,OFF_MARKET,40,agent-0168
85000013,567 Pearl St Apt 3B,Denver,CO,80218,39.7247,-104.9843,2,1.5,878,1751,1944,Townhouse,615573,634899,2184,FOR_RENT,4,agent-0187
85000014,831 Downing St,Denver,CO,80203,39.7347,-104.9891,1,2.0,1364,2052,1967,MultiFamily,580509,573462,1532,FOR_RENT,51,agent-0170
85000015,842 Clarkson St Apt 3B,Denver,CO,80218,39.7386,-104.9728,2,1.0,686,442,1936,Apartment,464881,456976,2115,OFF_MARKET,34,agent-0159
