id,name,overview,first_air_date,vote_average,vote_count,genre_ids,popularity,number_of_seasons,number_of_episodes
201,Station Eleven Hours,An anthology set across one shift on a deep-space relay station.,2023-09-01,8.0,1240,878;18,95.2,2,16
202,The Diner Chronicles,Interwoven stories of regulars at a 24-hour roadside diner.,2022-04-12,7.4,860,18;35,52.6,3,30
1002,Orbit zephyr 3,kelp river summit note 3,2026-09-06T15:05:00Z,227,406,18;35,473,225,490
1003,Coral ember 4,umber delta river note 4,2026-02-03T20:17:00Z,855,423,18;35,459,151,627
1004,Umber kelp 5,harbor zephyr alpha note 5,2026-10-24T06:49:00Z,760,341,18;35,374,788,822
1005,Meadow quartz 6,cedar bravo tidal note 6,2026-10-11T16:04:00Z,4,522,18;35,621,106,46
1006,Haze alpha 7,zephyr bravo haze note 7,2026-03-15T19:23:00Z,374,99,18;35,720,222,629
1007,Kelp zephyr 8,violet tidal cedar note 8,2026-09-14T13:53:00Z,266,686,18;35,493,7,479
1008,Harbor alpha 9,kelp frost orbit note 9,2026-01-07T04:13:00Z,807,854,18;35,646,307,809
1009,Grove quartz 10,violet haze kelp note 10,2026-08-07T16:49:00Z,427,156,18;35,430,809,382
1010,Harbor river 11,pine cedar grove note 11,2026-02-12T07:26:00Z,631,720,18;35,842,682,716
1011,Bravo willow 12,river delta river note 12,2026-08-28T08:39:00Z,754,658,18;35,261,497,354
1012,Summit zephyr 13,violet orbit river note 13,2026-09-08T03:19:00Z,124,68,18;35,228,756,1
1013,Violet willow 14,coral alpha violet note 14,2026-10-21T16:31:00Z,860,666,18;35,44,107,340
1014,Coral frost 15,alpha ember summit note 15,2026-12-22T22:54:00Z,850,570,18;35,127,346,686
1015,Frost orbit 16,zephyr frost willow note 16,2026-09-24T16:22:00Z,477,732,18;35,115,858,890
1016,Meadow pine 17,ember cedar quartz note 17,2026-10-06T03:16:00Z,837,139,18;35,147,284,56
1017,Meadow river 18,jade frost river note 18,2026-08-12T10:04:00Z,21,327,18;35,899,629,358
1018,Summit cedar 19,ember river quartz note 19,2026-07-26T07:58:00Z,279,142,18;35,320,161,28
1019,Violet frost 20,tidal iris harbor note 20,2026-06-07T11:21:00Z,105,509,18;35,823,857,818
1020,Orbit pine 21,haze harbor haze note 21,2026-09-17T13:31:00Z,215,779,18;35,164,713,185
1021,Alpha zephyr 22,willow alpha tidal note 22,2026-11-15T15:34:00Z,567,509,18;35,657,706,335
1022,River violet 23,bravo summit zephyr note 23,2026-11-09T12:30:00Z,534,175,18;35,185,324,579
1023,Haze pine 24,orbit alpha zephyr note 24,2026-04-27T04:51:00Z,324,638,18;35,375,782,416
1024,Ember summit 25,quartz violet iris note 25,2026-12-23T20:41:00Z,225,704,18;35,408,13,461
1025,Kelp jade 26,delta pine summit note 26,2026-10-28T15:08:00Z,41,9,18;35,395,286,203
1026,Jade harbor 27,river orbit coral note 27,2026-11-27T08:48:00Z,372,42,18;35,40,611,695
1027,Cedar delta 28,iris alpha haze note 28,2026-04-27T05:16:00Z,74,29,18;35,445,302,745
1028,Haze haze 29,alpha pine summit note 29,2026-09-20T18:29:00Z,618,796,18;35,57,564,188
1029,Jade haze 30,haze frost quartz note 30,2026-12-01T19:38:00Z,559,400,18;35,551,144,816
1030,Zephyr summit 31,summit coral coral note 31,2026-12-18T05:22:00Z,687,606,18;35,387,658,630
1031,River frost 32,willow delta pine note 32,2026-01-23T09:09:00Z,162,822,18;35,135,704,292
1032,Quartz alpha 33,harbor summit umber note 33,2026-04-03T09:32:00Z,237,76,18;35,525,293,305
1033,Jade meadow 34,meadow harbor cedar note 34,2026-09-10T20:34:00Z,104,778,18;35,287,512,188
1034,Alpha pine 35,alpha grove river note 35,2026-11-19T06:37:00Z,64,752,18;35,589,617,64
1035,Coral harbor 36,violet summit iris note 36,2026-07-21T14:15:00Z,115,526,18;35,735,278,651
1036,Meadow ember 37,iris quartz grove note 37,2026-07-22T22:37:00Z,838,630,18;35,863,463,455
1037,Jade kelp 38,iris coral bravo note 38,2026-12-13T03:34:00Z,791,134,18;35,171,132,881
1038,Pine zephyr 39,grove violet harbor note 39,2026-11-18T18:45:00Z,9,506,18;35,444,738,495
1039,Frost frost 40,river zephyr iris note 40,2026-08-19T12:13:00Z,271,866,18;35,548,255,238
1040,Violet iris 41,zephyr pine river note 41,2026-08-13T23:58:00Z,645,646,18;35,748,741,525
1041,Violet delta 42,coral grove quartz note 42,2026-06-08T17:41:00Z,773,825,18;35,564,128,832
1042,Alpha bravo 43,haze umber tidal note 43,2026-01-06T12:41:00Z,586,216,18;35,417,835,28
1043,Meadow zephyr 44,haze zephyr quartz note 44,2026-02-16T20:42:00Z,459,861,18;35,381,644,792
1044,Quartz summit 45,jade haze summit note 45,2026-09-09T07:18:00Z,301,366,18;35,160,199,454
1045,Jade ember 46,jade zephyr grove note 46,2026-07-23T18:55:00Z,480,768,18;35,339,143,736
1046,Coral meadow 47,grove cedar river note 47,2026-09-26T07:13:00Z,645,201,18;35,770,500,735
1047,Zephyr violet 48,ember frost river note 48,2026-12-09T21:13:00Z,900,467,18;35,591,613,533
1048,Coral quartz 49,ember frost iris note 49,2026-04-01T04:04:00Z,412,105,18;35,14,44,784
1049,Grove zephyr 50,tidal quartz summit note 50,2026-06-13T13:21:00Z,789,19,18;35,294,352,658
1050,Orbit violet 51,delta jade river note 51,2026-02-06T00:03:00Z,142,296,18;35,76,61,310
1051,Ember alpha 52,quartz umber alpha note 52,2026-05-08T18:41:00Z,850,27,18;35,252,364,816
1052,Grove kelp 53,cedar alpha delta note 53,2026-06-26T08:51:00Z,762,264,18;35,760,493,613
1053,Alpha jade 54,quartz grove ember note 54,2026-01-08T16:30:00Z,442,613,18;35,482,893,132
1054,Tidal orbit 55,umber haze harbor note 55,2026-07-01T18:17:00Z,763,483,18;35,559,72,685
1055,Zephyr iris 56,jade tidal pine note 56,2026-04-19T07:55:00Z,169,170,18;35,511,317,63
1056,Alpha summit 57,grove cedar tidal note 57,2026-10-18T17:11:00Z,357,732,18;35,466,209,59
1057,Frost tidal 58,quartz delta river note 58,2026-01-23T13:24:00Z,347,481,18;35,357,683,870
1058,Delta willow 59,grove alpha haze note 59,2026-10-15T19:48:00Z,425,40,18;35,218,507,164
1059,Orbit violet 60,willow summit frost note 60,2026-06-18T02:45:00Z,834,811,18;35,660,411,365
1060,Iris river 61,quartz alpha river note 61,2026-12-16T06:51:00Z,114,77,18;35,680,587,741
1061,Jade delta 62,jade grove pine note 62,2026-06-28T23:06:00Z,891,181,18;35,666,654,805
1062,Grove ember 63,quartz delta frost note 63,2026-01-23T07:15:00Z,58,413,18;35,739,532,155
1063,Haze frost 64,coral iris delta note 64,2026-10-25T07:40:00Z,304,301,18;35,264,578,886
1064,Kelp meadow 65,coral alpha cedar note 65,2026-10-03T04:04:00Z,574,511,18;35,885,701,801
1065,Kelp pine 66,summit meadow kelp note 66,2026-12-23T23:28:00Z,787,774,18;35,450,758,480
1066,Coral haze 67,haze coral haze note 67,2026-10-28T20:26:00Z,588,446,18;35,56,14,308
1067,Quartz iris 68,summit willow jade note 68,2026-12-10T20:42:00Z,261,650,18;35,326,604,685
1068,Coral delta 69,coral pine coral note 69,2026-04-04T12:57:00Z,291,573,18;35,456,585,172
1069,Jade willow 70,orbit river river note 70,2026-01-10T18:14:00Z,39,194,18;35,873,26,740
1070,Kelp harbor 71,iris iris zephyr note 71,2026-06-07T14:56:00Z,283,552,18;35,636,674,463
1071,Orbit coral 72,zephyr tidal quartz note 72,2026-01-01T20:31:00Z,860,851,18;35,150,46,587
1072,Quartz zephyr 73,jade kelp grove note 73,2026-04-21T21:35:00Z,662,308,18;35,26,357,899
1073,Ember kelp 74,tidal zephyr iris note 74,2026-05-02T00:19:00Z,382,538,18;35,401,138,360
1074,Umber tidal 75,cedar grove alpha note 75,2026-01-13T16:11:00Z,313,271,18;35,386,333,410
1075,Willow delta 76,jade meadow haze note 76,2026-12-17T19:04:00Z,756,454,18;35,256,708,404
1076,Summit kelp 77,iris river meadow note 77,2026-08-28T21:30:00Z,682,767,18;35,581,262,172
1077,Haze harbor 78,pine pine violet note 78,2026-05-27T06:46:00Z,689,575,18;35,566,837,662
1078,Frost willow 79,river alpha river note 79,2026-04-18T15:10:00Z,63,755,18;35,805,310,67
1079,Meadow river 80,frost delta iris note 80,2026-05-28T15:55:00Z,221,786,18;35,866,288,204
1080,Frost pine 81,cedar delta haze note 81,2026-07-13T07:02:00Z,742,409,18;35,555,277,305
1081,Meadow umber 82,river pine quartz note 82,2026-09-11T23:56:00Z,630,845,18;35,546,750,800
1082,Umber iris 83,harbor delta tidal note 83,2026-11-26T08:44:00Z,862,411,18;35,184,868,593
1083,Jade iris 84,ember river coral note 84,2026-11-23T13:47:00Z,705,232,18;35,801,400,256
1084,Ember alpha 85,alpha zephyr cedar note 85,2026-02-27T08:03:00Z,786,208,18;35,110,672,872
1085,Kelp ember 86,meadow harbor ember note 86,2026-03-27T08:38:00Z,675,775,18;35,157,736,878
1086,Cedar iris 87,orbit umber ember note 87,2026-05-26T18:10:00Z,280,249,18;35,695,265,511
1087,Iris summit 88,frost ember tidal note 88,2026-03-16T11:19:00Z,267,663,18;35,248,302,246
1088,Willow ember 89,summit kelp quartz note 89,2026-07-22T15:28:00Z,731,199,18;35,481,569,480
1089,Iris orbit 90,cedar pine cedar note 90,2026-01-11T07:29:00Z,495,854,18;35,403,581,715
1090,Delta pine 91,umber kelp jade note 91,2026-07-12T18:22:00Z,198,453,18;35,531,415,7
1091,Jade delta 92,summit iris ember note 92,2026-12-03T18:10:00Z,225,535,18;35,363,194,510
1092,Grove quartz 93,frost iris willow note 93,2026-11-06T07:14:00Z,520,589,18;35,535,583,646
1093,Grove alpha 94,violet jade willow note 94,2026-01-27T20:34:00Z,357,303,18;35,486,487,348
1094,Iris coral 95,haze bravo orbit note 95,2026-11-23T13:12:00Z,71,496,18;35,210,805,90
1095,Willow umber 96,summit ember quartz note 96,2026-12-15T10:28:00Z,68,786,18;35,33,433,738
1096,Orbit iris 97,zephyr coral cedar note 97,2026-05-05T01:38:00Z,472,333,18;35,454,576,34
1097,Summit zephyr 98,quartz kelp harbor note 98,2026-07-17T04:44:00Z,803,443,18;35,862,602,637
1098,Ember orbit 99,alpha cedar river note 99,2026-05-15T21:07:00Z,864,217,18;35,790,604,833
1099,Summit frost 100,umber umber violet note 100,2026-01-09T14:10:00Z,651,649,18;35,860,876,774
