id,name
28,Action
12,Adventure
16,Animation
35,Comedy
18,Drama
27,Horror
878,Science Fiction
10749,Romance
53,Thriller
9648,Mystery
1010,Summit tidal 11
1011,Meadow kelp 12
1012,Coral willow 13
1013,Cedar frost 14
1014,Jade zephyr 15
1015,Orbit delta 16
1016,Alpha summit 17
1017,Cedar umber 18
1018,Meadow cedar 19
1019,Ember frost 20
1020,Delta ember 21
1021,Coral haze 22
1022,Orbit umber 23
1023,Alpha haze 24
1024,Orbit pine 25
1025,Orbit river 26
1026,Orbit tidal 27
1027,Meadow haze 28
1028,Willow haze 29
1029,Umber delta 30
1030,Ember kelp 31
1031,Pine haze 32
1032,Harbor bravo 33
1033,Summit ember 34
1034,Zephyr bravo 35
1035,Harbor harbor 36
1036,Umber pine 37
1037,Coral quartz 38
1038,Tidal jade 39
1039,Kelp frost 40
1040,Iris orbit 41
1041,Pine iris 42
1042,Haze haze 43
1043,Quartz umber 44
1044,Tidal orbit 45
1045,Pine ember 46
1046,Coral alpha 47
1047,Frost ember 48
1048,Delta delta 49
1049,Bravo quartz 50
1050,Tidal river 51
1051,Grove quartz 52
1052,Jade umber 53
1053,Bravo quartz 54
1054,Alpha pine 55
1055,Bravo iris 56
1056,Pine violet 57
1057,Haze violet 58
1058,Bravo umber 59
1059,Summit meadow 60
1060,Jade haze 61
1061,Zephyr zephyr 62
1062,Coral zephyr 63
1063,Willow zephyr 64
1064,Ember summit 65
1065,Pine river 66
1066,Orbit alpha 67
1067,Meadow bravo 68
1068,Haze pine 69
1069,Frost meadow 70
1070,Jade quartz 71
1071,Kelp cedar 72
1072,Tidal coral 73
1073,Delta delta 74
1074,Frost willow 75
1075,Harbor harbor 76
1076,Iris willow 77
1077,Orbit violet 78
1078,Orbit umber 79
1079,Pine haze 80
1080,Tidal bravo 81
1081,Kelp grove 82
1082,River meadow 83
1083,Kelp willow 84
1084,Coral summit 85
1085,Coral kelp 86
1086,Quartz kelp 87
1087,Frost orbit 88
1088,Coral coral 89
1089,Kelp harbor 90
1090,Haze tidal 91
1091,Delta tidal 92
1092,Harbor violet 93
1093,Summit coral 94
1094,Delta violet 95
1095,Orbit ember 96
1096,Frost alpha 97
1097,Summit violet 98
1098,Jade river 99
1099,Kelp cedar 100
