symbol,interval,open_time,open,high,low,close,volume,close_time
BTCUSDT,1h,1700000000,61294.76,44705.67,30422.13,62044.05,178.639,1700003599
BTCUSDT,1h,1700003600,27788.37,61239.11,41575.84,45904.52,30.309,1700007199
BTCUSDT,1h,1700007200,57794.89,21733.73,66285.95,20453.98,450.074,1700010799
BTCUSDT,1h,1700010800,42290.41,33380.87,58031.96,44564.67,81.081,1700014399
BTCUSDT,1h,1700014400,27531.08,40131.76,20736.34,36335.1,275.531,1700017999
BTCUSDT,1h,1700018000,43043.08,63485.79,30213.69,41021.19,306.932,1700021599
BTCUSDT,1h,1700021600,28075.75,62856.93,62117.83,45821.14,458.745,1700025199
BTCUSDT,1h,1700025200,68778.01,49502.45,46322.72,62891.56,7.195,1700028799
BTCUSDT,1h,1700028800,51354.74,37121.81,46751.04,41791.35,349.82,1700032399
BTCUSDT,1h,1700032400,29461.37,50941.28,52232.65,47354.66,292.554,1700035999
BTCUSDT,1h,1700036000,63160.7,30831.39,63331.14,30724.5,334.453,1700039599
BTCUSDT,1h,1700039600,50424.83,44942.61,36998.95,21932.33,9.848,1700043199
