symbol,price,priceChange,priceChangePercent,highPrice,lowPrice,volume
TOK0USDT,53905.77,2.83,-2.59,32870.99,55077.3,73600.85
TOK1USDT,7282.62,79.32,4.08,14690.37,37448.54,33217.47
TOK2USDT,54221.75,-1.42,-3.48,52121.72,4203.8,14428.14
TOK3USDT,63894.81,55.39,2.84,10561.66,56754.01,97751.08
TOK4USDT,65946.25,81.99,-0.61,610.27,56642.97,32131.01
TOK5USDT,63287.85,-4.6,1.87,48034.48,14231.91,51992.65
TOK6USDT,28554.9,-78.63,4.68,62635.11,48330.21,36764.38
TOK7USDT,30055.89,-11.84,4.67,13089.68,24022.62,84948.87
TOK8USDT,41134.29,96.29,-1.23,18114.85,33040.35,76546.63
TOK9USDT,26822.98,-64.17,3.58,24433.31,13699.59,54123.65
TOK10USDT,19081.89,-10.28,3.36,8961.7,66242.53,46178.01
TOK11USDT,42983.84,45.34,2.25,27512.21,34128.49,41472.82
