id,createdTime,Name,Status,Project,EstimateHours,Done
task_0000,2026-08-15T17:33:00Z,Task 0,Done,proj_0050,17,true
task_0001,2026-06-03T00:17:34Z,Task 1,Todo,proj_0049,9,false
task_0002,2026-02-06T21:25:22Z,Task 2,Todo,proj_0005,19,true
task_0003,2026-09-20T15:58:46Z,Task 3,In Progress,proj_0032,20,false
task_0004,2026-02-27T18:14:29Z,Task 4,Done,proj_0023,16,true
task_0005,2026-06-07T12:18:57Z,Task 5,In Progress,proj_0011,5,true
task_0006,2026-05-19T20:09:58Z,Task 6,Todo,proj_0008,9,true
task_0007,2026-01-16T12:42:45Z,Task 7,Todo,proj_0008,20,false
task_0008,2026-07-17T16:09:26Z,Task 8,In Progress,proj_0012,9,false
task_0009,2026-04-12T19:26:10Z,Task 9,Todo,proj_0043,2,true
task_0010,2026-05-02T10:58:17Z,Task 10,In Progress,proj_0042,8,false
task_0011,2026-03-13T17:34:02Z,Task 11,In Progress,proj_0016,13,true
task_0012,2026-07-30T03:30:05Z,Task 12,Done,proj_0045,12,false
task_0013,2026-08-02T15:17:54Z,Task 13,In Progress,proj_0014,2,true
task_0014,2026-01-26T09:46:44Z,Task 14,In Progress,proj_0034,13,false
task_0015,2026-09-21T07:55:11Z,Task 15,In Progress,proj_0029,13,true
task_0016,2026-07-28T19:50:28Z,Task 16,In Progress,proj_0017,5,true
task_0017,2026-09-10T14:12:41Z,Task 17,Done,proj_0001,8,true
task_0018,2026-09-06T00:24:51Z,Task 18,Done,proj_0043,11,false
task_0019,2026-09-29T13:09:16Z,Task 19,Todo,proj_0034,11,true
task_0020,2026-03-12T10:19:57Z,Task 20,Todo,proj_0026,19,true
task_0021,2026-06-27T04:41:53Z,Task 21,In Progress,proj_0015,5,true
task_0022,2026-07-26T18:21:12Z,Task 22,Todo,proj_0008,6,false
task_0023,2026-05-02T07:56:45Z,Task 23,Todo,proj_0023,15,true
task_0024,2026-09-20T12:28:57Z,Task 24,In Progress,proj_0013,20,true
task_0025,2026-09-08T04:37:20Z,Task 25,Todo,proj_0034,3,false
task_0026,2026-03-27T08:34:33Z,Task 26,Done,proj_0032,8,false
task_0027,2026-03-26T14:49:41Z,Task 27,In Progress,proj_0035,7,false
task_0028,2026-04-29T04:21:48Z,Task 28,In Progress,proj_0013,17,false
task_0029,2026-02-16T11:02:33Z,Task 29,In Progress,proj_0033,19,true
task_0030,2026-09-21T02:17:14Z,Task 30,In Progress,proj_0013,14,true
task_0031,2026-02-05T04:20:10Z,Task 31,Done,proj_0000,10,false
task_0032,2026-07-06T10:41:11Z,Task 32,Done,proj_0023,2,false
task_0033,2026-01-03T14:06:04Z,Task 33,In Progress,proj_0045,7,false
task_0034,2026-09-26T22:33:45Z,Task 34,In Progress,proj_0005,20,true
task_0035,2026-09-04T15:28:54Z,Task 35,Todo,proj_0048,18,false
task_0036,2026-08-05T23:14:46Z,Task 36,Todo,proj_0030,13,false
task_0037,2026-02-03T08:38:34Z,Task 37,In Progress,proj_0034,17,false
task_0038,2026-06-24T01:32:35Z,Task 38,Todo,proj_0036,7,true
task_0039,2026-01-24T14:04:14Z,Task 39,Done,proj_0041,6,true
task_0040,2026-09-27T05:38:07Z,Task 40,In Progress,proj_0013,1,false
task_0041,2026-04-10T00:25:31Z,Task 41,Todo,proj_0049,1,false
task_0042,2026-04-02T20:21:21Z,Task 42,Done,proj_0035,16,true
task_0043,2026-02-20T01:05:32Z,Task 43,In Progress,proj_0032,10,false
task_0044,2026-02-03T21:35:05Z,Task 44,Todo,proj_0028,4,false
task_0045,2026-09-27T10:21:43Z,Task 45,Todo,proj_0024,13,false
task_0046,2026-02-26T04:24:17Z,Task 46,In Progress,proj_0003,6,false
task_0047,2026-05-31T18:21:30Z,Task 47,Done,proj_0013,11,true
task_0048,2026-04-26T08:23:45Z,Task 48,In Progress,proj_0005,15,true
task_0049,2026-05-25T02:29:37Z,Task 49,Todo,proj_0042,9,false
task_0050,2026-02-11T23:56:57Z,Task 50,Done,proj_0003,19,true
task_0051,2026-07-17T05:38:47Z,Task 51,In Progress,proj_0021,18,true
task_0052,2026-05-15T02:14:29Z,Task 52,Done,proj_0026,18,false
task_0053,2026-06-07T22:57:37Z,Task 53,Todo,proj_0020,13,false
task_0054,2026-06-26T11:26:45Z,Task 54,Done,proj_0023,2,false
task_0055,2026-06-16T04:12:12Z,Task 55,In Progress,proj_0024,6,false
task_0056,2026-09-03T13:21:33Z,Task 56,Todo,proj_0046,15,true
