id,title,text,alert_type,priority,host,tags,date_happened
1,Klaviyo tracking script check,See dashboard dash_store_health for context.,info,normal,omw-store-web-02,service:storefront,1782977810
2,Cache warm complete,See dashboard dash_store_health for context.,info,normal,omw-store-cache-01,service:storefront,1782977763
3,Checkout p95 spike,See dashboard dash_store_health for context.,success,normal,omw-store-web-02,service:storefront,1782977796
4,DB CPU nudge,See dashboard dash_store_health for context.,info,low,omw-store-web-01,service:storefront,1782977745
5,CDN hit rate dip,See dashboard dash_store_health for context.,info,normal,omw-store-web-01,service:storefront,1782977807
6,Cache warm complete,See dashboard dash_store_health for context.,info,normal,omw-store-web-02,service:storefront,1782977549
7,Cache warm complete,See dashboard dash_store_health for context.,info,normal,omw-store-db-01,service:storefront,1782977578
8,Manual synth check,See dashboard dash_store_health for context.,success,normal,omw-store-web-01,service:storefront,1782977825
9,Cloudflare edge purge,See dashboard dash_store_health for context.,info,low,omw-store-cache-01,service:storefront,1782977613
10,Cloudflare edge purge,See dashboard dash_store_health for context.,info,normal,omw-store-cache-01,service:storefront,1782977669
11,Deploy: storefront patch,See dashboard dash_store_health for context.,info,normal,omw-store-web-02,service:storefront,1782977662
12,Order completed (drop window),See dashboard dash_store_health for context.,success,normal,omw-store-db-01,service:storefront,1782977658
13,Deploy: storefront patch,See dashboard dash_store_health for context.,info,low,omw-store-web-02,service:storefront,1782977686
14,Klaviyo tracking script check,See dashboard dash_store_health for context.,info,low,omw-store-db-01,service:storefront,1782977768
15,Deploy: storefront patch,See dashboard dash_store_health for context.,info,normal,omw-store-web-01,service:storefront,1782977850
16,DB CPU nudge,See dashboard dash_store_health for context.,success,low,omw-store-cache-01,service:storefront,1782977556
17,Order completed (drop window),See dashboard dash_store_health for context.,info,normal,omw-store-web-02,service:storefront,1782977703
18,Order failed at payment step,See dashboard dash_store_health for context.,success,normal,omw-store-db-01,service:storefront,1782977543
19,Cloudflare edge purge,See dashboard dash_store_health for context.,success,normal,omw-store-web-01,service:storefront,1782977534
20,Checkout p95 spike,See dashboard dash_store_health for context.,info,normal,omw-store-web-02,service:storefront,1782977664
21,Cache warm complete,See dashboard dash_store_health for context.,info,normal,omw-store-web-01,service:storefront,1782977562
22,Order completed (drop window),See dashboard dash_store_health for context.,info,normal,omw-store-cache-01,service:storefront,1782977721
23,Order failed at payment step,See dashboard dash_store_health for context.,info,normal,omw-store-db-01,service:storefront,1782977794
24,Klaviyo tracking script check,See dashboard dash_store_health for context.,warning,normal,omw-store-cache-01,service:storefront,1782977879
25,Order failed at payment step,See dashboard dash_store_health for context.,info,normal,omw-store-web-01,service:storefront,1782977767
26,Checkout p95 spike,See dashboard dash_store_health for context.,success,normal,omw-store-web-02,service:storefront,1782977638
27,Deploy: storefront patch,See dashboard dash_store_health for context.,success,normal,omw-store-db-01,service:storefront,1782977768
28,Deploy: storefront patch,See dashboard dash_store_health for context.,success,low,omw-store-web-02,service:storefront,1782977592
29,Deploy: storefront patch,See dashboard dash_store_health for context.,info,normal,omw-store-db-01,service:storefront,1782977611
30,Order completed (drop window),See dashboard dash_store_health for context.,success,normal,omw-store-web-02,service:storefront,1782977856
31,Cloudflare edge purge,See dashboard dash_store_health for context.,warning,normal,omw-store-web-01,service:storefront,1782977611
32,Manual synth check,See dashboard dash_store_health for context.,warning,normal,omw-store-db-01,service:storefront,1782977882
33,Deploy: storefront patch,See dashboard dash_store_health for context.,success,normal,omw-store-web-02,service:storefront,1782977552
34,Klaviyo tracking script check,See dashboard dash_store_health for context.,warning,normal,omw-store-web-02,service:storefront,1782977591
35,Order failed at payment step,See dashboard dash_store_health for context.,success,low,omw-store-web-02,service:storefront,1782977573
36,DB CPU nudge,See dashboard dash_store_health for context.,info,normal,omw-store-cache-01,service:storefront,1782977599
37,Order failed at payment step,See dashboard dash_store_health for context.,info,normal,omw-store-cache-01,service:storefront,1782977580
38,Klaviyo tracking script check,See dashboard dash_store_health for context.,info,normal,omw-store-cache-01,service:storefront,1782977850
39,Deploy: storefront patch,See dashboard dash_store_health for context.,success,low,omw-store-web-02,service:storefront,1782977644
40,Order failed at payment step,See dashboard dash_store_health for context.,success,normal,omw-store-db-01,service:storefront,1782977686
41,Cart abandon spike (evening),See dashboard dash_store_health for context.,warning,normal,omw-store-web-02,service:storefront,1782977831
42,Order completed (drop window),See dashboard dash_store_health for context.,info,low,omw-store-web-01,service:storefront,1782977824
43,Cart abandon spike (evening),See dashboard dash_store_health for context.,info,normal,omw-store-web-02,service:storefront,1782977556
44,Deploy: storefront patch,See dashboard dash_store_health for context.,info,normal,omw-store-db-01,service:storefront,1782977577
45,Manual synth check,See dashboard dash_store_health for context.,success,normal,omw-store-web-01,service:storefront,1782977750
46,Order failed at payment step,See dashboard dash_store_health for context.,success,normal,omw-store-web-01,service:storefront,1782977694
47,CDN hit rate dip,See dashboard dash_store_health for context.,info,normal,omw-store-cache-01,service:storefront,1782977748
48,Manual synth check,See dashboard dash_store_health for context.,info,normal,omw-store-web-01,service:storefront,1782977673
49,CDN hit rate dip,See dashboard dash_store_health for context.,success,normal,omw-store-cache-01,service:storefront,1782977640
50,Cache warm complete,See dashboard dash_store_health for context.,success,normal,omw-store-db-01,service:storefront,1782977795
51,Order completed (drop window),See dashboard dash_store_health for context.,success,low,omw-store-db-01,service:storefront,1782977816
52,Cache warm complete,See dashboard dash_store_health for context.,warning,normal,omw-store-db-01,service:storefront,1782977829
53,Cart abandon spike (evening),See dashboard dash_store_health for context.,info,low,omw-store-web-01,service:storefront,1782977719
54,Cache warm complete,See dashboard dash_store_health for context.,info,normal,omw-store-db-01,service:storefront,1782977862
55,Order completed (drop window),See dashboard dash_store_health for context.,warning,low,omw-store-web-02,service:storefront,1782977820
56,Cache warm complete,See dashboard dash_store_health for context.,info,normal,omw-store-web-01,service:storefront,1782977532
57,Cloudflare edge purge,See dashboard dash_store_health for context.,info,normal,omw-store-web-01,service:storefront,1782977745
58,Cart abandon spike (evening),See dashboard dash_store_health for context.,success,low,omw-store-web-02,service:storefront,1782977755
59,Order failed at payment step,See dashboard dash_store_health for context.,info,low,omw-store-web-02,service:storefront,1782977856
60,Order failed at payment step,See dashboard dash_store_health for context.,info,normal,omw-store-db-01,service:storefront,1782977780
61,Cart abandon spike (evening),See dashboard dash_store_health for context.,success,normal,omw-store-cache-01,service:storefront,1782977571
62,Deploy: storefront patch,See dashboard dash_store_health for context.,warning,normal,omw-store-cache-01,service:storefront,1782977741
63,Deploy: storefront patch,See dashboard dash_store_health for context.,info,low,omw-store-cache-01,service:storefront,1782977753
64,CDN hit rate dip,See dashboard dash_store_health for context.,success,normal,omw-store-web-01,service:storefront,1782977806
65,Deploy: storefront patch,See dashboard dash_store_health for context.,warning,low,omw-store-cache-01,service:storefront,1782977754
66,DB CPU nudge,See dashboard dash_store_health for context.,info,normal,omw-store-web-02,service:storefront,1782977872
67,Checkout p95 spike,See dashboard dash_store_health for context.,info,normal,omw-store-web-02,service:storefront,1782977619
68,CDN hit rate dip,See dashboard dash_store_health for context.,info,normal,omw-store-web-01,service:storefront,1782977824
69,Order failed at payment step,See dashboard dash_store_health for context.,info,normal,omw-store-db-01,service:storefront,1782977730
70,Manual synth check,See dashboard dash_store_health for context.,success,normal,omw-store-db-01,service:storefront,1782977692
71,Cache warm complete,See dashboard dash_store_health for context.,success,low,omw-store-db-01,service:storefront,1782977698
72,Cache warm complete,See dashboard dash_store_health for context.,info,normal,omw-store-web-01,service:storefront,1782977672
73,CDN hit rate dip,See dashboard dash_store_health for context.,success,normal,omw-store-db-01,service:storefront,1782977692
74,Klaviyo tracking script check,See dashboard dash_store_health for context.,info,normal,omw-store-web-01,service:storefront,1782977878
75,Cloudflare edge purge,See dashboard dash_store_health for context.,success,normal,omw-store-web-01,service:storefront,1782977757
76,Cache warm complete,See dashboard dash_store_health for context.,info,normal,omw-store-web-02,service:storefront,1782977536
77,Cart abandon spike (evening),See dashboard dash_store_health for context.,warning,normal,omw-store-cache-01,service:storefront,1782977860
78,Order failed at payment step,See dashboard dash_store_health for context.,info,normal,omw-store-db-01,service:storefront,1782977673
79,Cache warm complete,See dashboard dash_store_health for context.,info,normal,omw-store-cache-01,service:storefront,1782977707
80,Cloudflare edge purge,See dashboard dash_store_health for context.,success,normal,omw-store-cache-01,service:storefront,1782977586
81,Cart abandon spike (evening),See dashboard dash_store_health for context.,info,normal,omw-store-db-01,service:storefront,1782977783
82,Cart abandon spike (evening),See dashboard dash_store_health for context.,success,normal,omw-store-db-01,service:storefront,1782977722
83,Cloudflare edge purge,See dashboard dash_store_health for context.,info,normal,omw-store-cache-01,service:storefront,1782977566
84,Checkout p95 spike,See dashboard dash_store_health for context.,info,normal,omw-store-cache-01,service:storefront,1782977536
85,Manual synth check,See dashboard dash_store_health for context.,info,normal,omw-store-cache-01,service:storefront,1782977733
86,DB CPU nudge,See dashboard dash_store_health for context.,info,normal,omw-store-web-01,service:storefront,1782977652
87,Klaviyo tracking script check,See dashboard dash_store_health for context.,info,low,omw-store-web-02,service:storefront,1782977859
88,Order completed (drop window),See dashboard dash_store_health for context.,warning,low,omw-store-web-01,service:storefront,1782977740
89,Cache warm complete,See dashboard dash_store_health for context.,info,normal,omw-store-cache-01,service:storefront,1782977818
90,Cart abandon spike (evening),See dashboard dash_store_health for context.,info,normal,omw-store-web-01,service:storefront,1782977561
91,Order completed (drop window),See dashboard dash_store_health for context.,info,normal,omw-store-cache-01,service:storefront,1782977540
92,DB CPU nudge,See dashboard dash_store_health for context.,success,normal,omw-store-cache-01,service:storefront,1782977826
93,Cache warm complete,See dashboard dash_store_health for context.,info,low,omw-store-web-01,service:storefront,1782977657
94,Deploy: storefront patch,See dashboard dash_store_health for context.,info,normal,omw-store-db-01,service:storefront,1782977685
95,Cloudflare edge purge,See dashboard dash_store_health for context.,info,normal,omw-store-cache-01,service:storefront,1782977853
96,Cloudflare edge purge,See dashboard dash_store_health for context.,success,normal,omw-store-cache-01,service:storefront,1782977857
97,Manual synth check,See dashboard dash_store_health for context.,success,normal,omw-store-web-01,service:storefront,1782977783
98,Deploy: storefront patch,See dashboard dash_store_health for context.,success,normal,omw-store-web-02,service:storefront,1782977719
99,Order completed (drop window),See dashboard dash_store_health for context.,success,normal,omw-store-db-01,service:storefront,1782977542
100,Manual synth check,See dashboard dash_store_health for context.,warning,normal,omw-store-cache-01,service:storefront,1782977695
101,DB CPU nudge,See dashboard dash_store_health for context.,info,normal,omw-store-web-02,service:storefront,1782977544
102,Checkout p95 spike,See dashboard dash_store_health for context.,info,normal,omw-store-web-02,service:storefront,1782977889
103,DB CPU nudge,See dashboard dash_store_health for context.,success,normal,omw-store-web-02,service:storefront,1782977859
104,Cart abandon spike (evening),See dashboard dash_store_health for context.,warning,normal,omw-store-web-02,service:storefront,1782977717
105,Checkout p95 spike,See dashboard dash_store_health for context.,info,normal,omw-store-db-01,service:storefront,1782977871
106,Order completed (drop window),See dashboard dash_store_health for context.,info,normal,omw-store-web-02,service:storefront,1782977773
107,Cart abandon spike (evening),See dashboard dash_store_health for context.,success,normal,omw-store-web-02,service:storefront,1782977866
108,Cache warm complete,See dashboard dash_store_health for context.,success,normal,omw-store-cache-01,service:storefront,1782977715
109,Manual synth check,See dashboard dash_store_health for context.,info,normal,omw-store-cache-01,service:storefront,1782977563
110,Cache warm complete,See dashboard dash_store_health for context.,warning,low,omw-store-web-01,service:storefront,1782977727
111,Cloudflare edge purge,See dashboard dash_store_health for context.,warning,normal,omw-store-cache-01,service:storefront,1782977875
112,Deploy: storefront patch,See dashboard dash_store_health for context.,warning,normal,omw-store-db-01,service:storefront,1782977878
113,Manual synth check,See dashboard dash_store_health for context.,warning,low,omw-store-web-01,service:storefront,1782977726
114,Klaviyo tracking script check,See dashboard dash_store_health for context.,info,normal,omw-store-web-01,service:storefront,1782977881
115,CDN hit rate dip,See dashboard dash_store_health for context.,info,normal,omw-store-web-02,service:storefront,1782977537
116,Checkout p95 spike,See dashboard dash_store_health for context.,info,normal,omw-store-web-01,service:storefront,1782977692
117,Cache warm complete,See dashboard dash_store_health for context.,info,normal,omw-store-web-02,service:storefront,1782977878
118,Order completed (drop window),See dashboard dash_store_health for context.,info,normal,omw-store-cache-01,service:storefront,1782977546
119,Cloudflare edge purge,See dashboard dash_store_health for context.,success,normal,omw-store-web-01,service:storefront,1782977551
120,Checkout p95 spike,See dashboard dash_store_health for context.,info,low,omw-store-web-02,service:storefront,1782977752
