workspace_id,name,kind,description
ws_delivery,Delivery Ward,open,Department cross-team coordination.
ws_wbp,Water Birth Working Group,closed,Working group internal board.
ws_extra_00,Ward operations,closed,Departmental workspace.
ws_extra_01,HR admin,closed,Departmental workspace.
ws_extra_02,Facilities,closed,Departmental workspace.
ws_extra_03,Continuing education,closed,Departmental workspace.
ws_extra_04,Quality and audit,closed,Departmental workspace.
ws_extra_05,Communications,closed,Departmental workspace.
ws_extra_06,IT self-service,closed,Departmental workspace.
ws_extra_07,Wellbeing,closed,Departmental workspace.
