Date	Home Team	Away Team	Home Score	Away Score	Location	Result (Kim's team)	Notes
Jan 11, 2025	North Side FC	Schiller Park Select	2	3	Schiller Park Field 2	Win	Jason scored 1, assist by Ryan
Jan 18, 2025	Eastside United	North Side FC	1	1	Eastside Turf	Draw	
Jan 25, 2025	North Side FC	Westlake Wanderers	3	1	Schiller Park Field 2	Win	Hat-trick attempt fell short
Feb 1, 2025	Columbus Veterans	North Side FC	0	2	Veterans Park	Win	Clean sheet
Feb 8, 2025	North Side FC	Grandview Rovers	2	0	Schiller Park Field 2	Win	Dominant first half
Feb 15, 2025	Short North Athletic	North Side FC	1	2	Short North Turf	Win	Rain game; good conditions
Feb 22, 2025	North Side FC	Dublin Old Boys	1	1	Schiller Park Field 2	Draw	Late equalizer conceded
Mar 1, 2025	North Side FC	Eastside United	3	2	Schiller Park Field 2	Win	Best game of season so far
Mar 8, 2025	Westlake Wanderers	North Side FC	2	1	Westlake Park	Loss	Down two at half; one back
Mar 15, 2025	North Side FC	Columbus Veterans	4	0	Schiller Park Field 2	Win	
Mar 22, 2025	Grandview Rovers	North Side FC	1	2	Grandview Field	Win	
Mar 29, 2025	North Side FC	Short North Athletic	2	2	Schiller Park Field 2	Draw	
Apr 5, 2025	Dublin Old Boys	North Side FC	0	3	Dublin Rec Center	Win	Season best away performance
Apr 12, 2025	North Side FC	Schiller Park Select	1	2	Schiller Park Field 2	Loss	Conceded late; frustrating
Apr 19, 2025	Season Wrap						End of Spring 2025 season
Jan 10, 2026	North Side FC	Eastside United	3	0	Schiller Park Field 2	Win	Strong opening to new season
Jan 17, 2026	Westlake Wanderers	North Side FC	1	2	Westlake Park	Win	Good road performance
Jan 24, 2026	North Side FC	Columbus Veterans	2	1	Schiller Park Field 2	Win	
Jan 31, 2026	Short North Athletic	North Side FC	2	2	Short North Turf	Draw	
Feb 7, 2026	North Side FC	Dublin Old Boys	1	0	Schiller Park Field 2	Win	
Feb 14, 2026	Grandview Rovers	North Side FC	0	1	Grandview Field	Win	Valentine's Day game; Sarah came to watch
Feb 21, 2026	North Side FC	Schiller Park Select	2	3	Schiller Park Field 2	Loss	
Oct 4, 2026	North Side FC	Eastside United	TBD	TBD	Schiller Park Field 2	Scheduled	Fall 2026 season opener
Oct 11, 2026	Westlake Wanderers	North Side FC	TBD	TBD	Westlake Park	Scheduled	
Oct 18, 2026	North Side FC	Columbus Veterans	TBD	TBD	Schiller Park Field 2	Scheduled	
Oct 25, 2026	Short North Athletic	North Side FC	TBD	TBD	Short North Turf	Scheduled	
Nov 1, 2026	North Side FC	Grandview Rovers	TBD	TBD	Schiller Park Field 2	Scheduled	
Nov 8, 2026	Dublin Old Boys	North Side FC	TBD	TBD	Dublin Rec Center	Scheduled	Conflicts with fishing trip - check availability
Nov 15, 2026	North Side FC	Schiller Park Select	TBD	TBD	Schiller Park Field 2	Scheduled	
NOTE	Schedule coordinated with season ticket calendar in p12.pdf.							
