id,name,is_private,is_archived,topic,purpose,creator,created,num_members
C01CREW,crew-general,false,false,Daily crew check ins,All hands channel for Porter and Koval crew,U01EMILY,1672531200,6
C02JOBS,jobs-board,false,false,Active jobs and scheduling,Job tickets dispatch and status,U02KEVIN,1672531200,5
C03BOOKS,books-and-ledger,true,false,Ledger reconciliation and invoices,Private channel for partners on bookkeeping,U02KEVIN,1672531200,2
C04GARDEN,kensington-garden,false,false,Kensington Community Garden coordination,Volunteer and build coord with Carlos,U01EMILY,1696118400,4
C05SAFETY,safety-and-tools,false,false,Tool care and safety briefs,Toolbox talks and safety alerts,U01EMILY,1672531200,6
C06DM_EMILY_KEVIN,dm-emily-kevin,true,false,,Direct messages Emily and Kevin,U01EMILY,1672531200,2
C07RANDOM,random,false,false,Off topic,Off topic chatter,U02KEVIN,1672531200,6
C-KCDC-COORD-001,kcdc-coord,true,false,Kensington CDC volunteer coord with Carlos,Direct coord channel between Emily and Carlos Mendez for volunteer cancellations and logistics,U06CARLOS,1729269000,2
C09FAM,porter-family,false,false,Family logistics,Tom Emily Sophie Max scheduling,U01EMILY,1696118400,4
C10GARDEN,fishtown-garden,false,false,Fishtown Garden Society chatter,Garden Society shared coord,U01EMILY,1696204800,5
C11APPRENT,apprentice-corner,false,false,Apprentice training and timesheet,Jake Miguel Phil check ins,U02KEVIN,1696291200,4
C12BEES,fishtown-bees,false,false,Beekeeping coordination,Hive checks honey extraction,U01EMILY,1696377600,3
C13WOOD,woodshop,false,false,Basement workshop projects,Raised beds hive boxes benches,U01EMILY,1696464000,3
C14CHESS,chess-club,false,false,Fishtown Social Club chess,Sunday ladder pairings,U01EMILY,1696550400,4
C15FIELDOPS,field-ops,false,false,Pre-workday field briefings,Ops briefing channel for crew dispatch and gate timing,U01EMILY,1696636800,4
