id,name,type,project_key
b10001,TI Scrum Board,scrum,TI
b10002,DE Scrum Board,scrum,DE
b10003,IR Scrum Board,kanban,IR
b10004,PLAT Scrum Board,scrum,PLAT
b10005,TW Scrum Board,scrum,TW
b20005,PRJ005 Scrum Board,kanban,PRJ005
b20006,PRJ006 Scrum Board,scrum,PRJ006
b20007,PRJ007 Scrum Board,scrum,PRJ007
b20008,PRJ008 Scrum Board,kanban,PRJ008
b20009,PRJ009 Scrum Board,kanban,PRJ009
b20010,PRJ010 Scrum Board,kanban,PRJ010
b20011,PRJ011 Scrum Board,kanban,PRJ011
b20012,PRJ012 Scrum Board,scrum,PRJ012
b20013,PRJ013 Scrum Board,scrum,PRJ013
b20014,PRJ014 Scrum Board,kanban,PRJ014
b20015,PRJ015 Scrum Board,kanban,PRJ015
b20016,PRJ016 Scrum Board,scrum,PRJ016
b20017,PRJ017 Scrum Board,kanban,PRJ017
b20018,PRJ018 Scrum Board,kanban,PRJ018
b20019,PRJ019 Scrum Board,kanban,PRJ019
b20020,PRJ020 Scrum Board,scrum,PRJ020
b20021,PRJ021 Scrum Board,scrum,PRJ021
b20022,PRJ022 Scrum Board,scrum,PRJ022
b20023,PRJ023 Scrum Board,scrum,PRJ023
b20024,PRJ024 Scrum Board,kanban,PRJ024
b20025,PRJ025 Scrum Board,scrum,PRJ025
b20026,PRJ026 Scrum Board,scrum,PRJ026
b20027,PRJ027 Scrum Board,scrum,PRJ027
b20028,PRJ028 Scrum Board,kanban,PRJ028
b20029,PRJ029 Scrum Board,scrum,PRJ029
b20030,PRJ030 Scrum Board,scrum,PRJ030
b20031,PRJ031 Scrum Board,kanban,PRJ031
b20032,PRJ032 Scrum Board,scrum,PRJ032
b20033,PRJ033 Scrum Board,scrum,PRJ033
b20034,PRJ034 Scrum Board,scrum,PRJ034
b20035,PRJ035 Scrum Board,scrum,PRJ035
b20036,PRJ036 Scrum Board,kanban,PRJ036
b20037,PRJ037 Scrum Board,scrum,PRJ037
b20038,PRJ038 Scrum Board,kanban,PRJ038
b20039,PRJ039 Scrum Board,kanban,PRJ039
b20040,PRJ040 Scrum Board,kanban,PRJ040
b20041,PRJ041 Scrum Board,scrum,PRJ041
b20042,PRJ042 Scrum Board,kanban,PRJ042
