Code	System	Description	Common Cause	Typical Labor Hours
P0300	Ignition	Random or multiple cylinder misfire	Worn plugs or coils	1.0
P0171	Fuel	System too lean bank 1	Vacuum leak or dirty MAF sensor	1.2
P0420	Emissions	Catalyst efficiency below threshold	Aging catalytic converter	1.5
P0128	Cooling	Coolant temp below thermostat target	Stuck open thermostat	0.8
P0455	Evap	Large evaporative leak detected	Loose or failed fuel cap	0.5
P0442	Evap	Small evaporative leak detected	Cracked evap hose	1.0
P0301	Ignition	Cylinder 1 misfire detected	Coil or injector fault	1.0
P0113	Intake	Intake air temp sensor high input	Failed IAT sensor	0.6
P0507	Idle	Idle speed higher than expected	Dirty throttle body	0.7
P0011	Timing	Camshaft timing over advanced bank 1	Oil flow or VVT solenoid	1.4
C0035	ABS	Left front wheel speed sensor	Damaged sensor or wiring	0.9
B1318	Electrical	Battery voltage low	Weak battery or charging fault	0.5
