id,name,type,messages_total,messages_unread,threads_total,threads_unread
INBOX,INBOX,system,4327,22,2970,17
SENT,SENT,system,3129,0,2440,0
DRAFT,DRAFT,system,4,0,4,0
STARRED,STARRED,system,182,3,142,3
LBL_BAKERY,Bakery Orders,user,616,6,392,5
LBL_WHOLESALE,Wholesale Cafes,user,284,1,185,1
LBL_STUDIO,Studio Parents,user,395,5,211,5
LBL_LICENSE,Home Kitchen License,user,19,2,10,2
LBL_SUPPLIER,Suppliers,user,253,2,189,2
LBL_PERSONAL,Personal,user,342,5,201,4
LBL_FAMILY,Family,user,128,1,64,1
LBL_NEWSLETTER,Newsletters,user,540,0,410,0
