id,name,activity_type,distance,average_grade,maximum_grade,elevation_high,elevation_low,climb_category,city,state
seg-000,St Johns River east bank sprint,Run,6535.6,5.53,7.19,225,56,5,Jacksonville,FL
seg-001,Riverside Riverwalk full,Ride,1708.8,-1.98,6.5,22,14,4,Jacksonville,FL
seg-002,Baldwin Rd hill climb,Run,2560.8,13.66,9.94,41,8,0,Jacksonville,FL
seg-003,Southbank bridge repeats,Run,8691.7,9.7,0.99,92,82,2,Jacksonville,FL
seg-004,Beach boardwalk sprint,Run,7498.1,11.49,14.5,219,91,5,Jacksonville,FL
seg-005,San Jose Blvd fast mile,Run,6950.5,14.0,1.31,1,89,4,Jacksonville,FL
seg-006,Ponte Vedra dune loop,Ride,2518.3,-1.61,10.98,32,14,4,Jacksonville,FL
seg-007,Riverside Arts sprint,Run,7247.2,-2.89,2.47,40,6,3,Jacksonville,FL
seg-008,Duval County Fair sprint,Run,3789.9,0.13,12.39,115,69,2,Jacksonville,FL
seg-009,Tennis club perimeter loop,Run,1933.4,9.46,16.7,102,33,2,Jacksonville,FL
seg-010,Country club driveway,Run,3394.3,1.2,4.35,140,6,2,Jacksonville,FL
seg-011,Riverfront tempo section,Ride,9464.3,-0.81,1.45,211,18,1,Jacksonville,FL
seg-012,Fort Caroline hill,Ride,6118.6,5.4,5.31,91,32,2,Jacksonville,FL
seg-013,Kernan Boulevard flat,Ride,8994.6,13.56,17.41,82,89,4,Jacksonville,FL
seg-014,Baymeadows 5K route,Ride,3134.8,-0.47,3.96,228,83,4,Jacksonville,FL
seg-015,Jacksonville Beach main pier,Ride,7279.5,9.21,1.05,126,14,1,Jacksonville,FL
seg-016,Alta Beach path,Ride,4357.6,-0.47,18.84,134,6,5,Jacksonville,FL
seg-017,St Johns Riverfront morning,Ride,1646.9,-1.35,16.03,45,69,5,Jacksonville,FL
seg-018,Downtown Jax overpass,Ride,1896.6,14.81,10.68,74,61,2,Jacksonville,FL
seg-019,Riverside neighborhood tempo,Ride,1301.2,-4.48,19.96,229,99,0,Jacksonville,FL
seg-020,St Johns River east bank sprint,Run,5739.8,5.07,15.86,71,73,5,Jacksonville,FL
