Household	Jeff Peterson and Cody Brewer
Inventory	Chest freezer, garage shed
Stocked	2025-10-05
Note	Half elk and quarter bison bought each fall, plus Kyle's salmon

Item	Source	Cut	Quantity_lbs	Packages_left	Notes
Elk	Local rancher, half animal	Ground	48	19	For chili and burgers
Elk	Local rancher, half animal	Backstrap	9	6	Special occasions
Elk	Local rancher, half animal	Steak	22	11	Sear in cast iron
Elk	Local rancher, half animal	Roast	18	5	
Bison	Local rancher, quarter animal	Ground	26	12	High protein staple
Bison	Local rancher, quarter animal	Short rib	8	4	Slow braise
Wild salmon	Kyle, Snake River trips	Fillet	14	9	Vacuum sealed
Trout	Kyle, Snake River trips	Whole	6	3	Smoke or pan fry

Total_lbs_stocked	151
Approx_packages_remaining	69
Estimated_value_USD	1180
