country,deviceCategory,unifiedScreenName,activeUsers,eventCount
US,devicecategory-00000,unifiedscreenname-00000,activeusers-00000,eventcount-00000
US-69d0,devicecategory-00001,unifiedscreenname-00001,activeusers-00001,eventcount-00001
US-9a20,devicecategory-00002,unifiedscreenname-00002,activeusers-00002,eventcount-00002
US-87bc,devicecategory-00003,unifiedscreenname-00003,activeusers-00003,eventcount-00003
US-f7f9,devicecategory-00004,unifiedscreenname-00004,activeusers-00004,eventcount-00004
US-0bc7,devicecategory-00005,unifiedscreenname-00005,activeusers-00005,eventcount-00005
US-0531,devicecategory-00006,unifiedscreenname-00006,activeusers-00006,eventcount-00006
US-bd9a,devicecategory-00007,unifiedscreenname-00007,activeusers-00007,eventcount-00007
US-5a4d,devicecategory-00008,unifiedscreenname-00008,activeusers-00008,eventcount-00008
US-daa0,devicecategory-00009,unifiedscreenname-00009,activeusers-00009,eventcount-00009
US-af6c,devicecategory-00010,unifiedscreenname-00010,activeusers-00010,eventcount-00010
US-0ef7,devicecategory-00011,unifiedscreenname-00011,activeusers-00011,eventcount-00011
US-f7fd,devicecategory-00012,unifiedscreenname-00012,activeusers-00012,eventcount-00012
US-36b7,devicecategory-00013,unifiedscreenname-00013,activeusers-00013,eventcount-00013
US-f921,devicecategory-00014,unifiedscreenname-00014,activeusers-00014,eventcount-00014
US-b225,devicecategory-00015,unifiedscreenname-00015,activeusers-00015,eventcount-00015
US-8a1f,devicecategory-00016,unifiedscreenname-00016,activeusers-00016,eventcount-00016
US-5ad4,devicecategory-00017,unifiedscreenname-00017,activeusers-00017,eventcount-00017
US-0c2e,devicecategory-00018,unifiedscreenname-00018,activeusers-00018,eventcount-00018
US-0724,devicecategory-00019,unifiedscreenname-00019,activeusers-00019,eventcount-00019
US-4255,devicecategory-00020,unifiedscreenname-00020,activeusers-00020,eventcount-00020
US-7431,devicecategory-00021,unifiedscreenname-00021,activeusers-00021,eventcount-00021
US-bbe2,devicecategory-00022,unifiedscreenname-00022,activeusers-00022,eventcount-00022
US-e5e4,devicecategory-00023,unifiedscreenname-00023,activeusers-00023,eventcount-00023
US-d14b,devicecategory-00024,unifiedscreenname-00024,activeusers-00024,eventcount-00024
US-1d8e,devicecategory-00025,unifiedscreenname-00025,activeusers-00025,eventcount-00025
US-1255,devicecategory-00026,unifiedscreenname-00026,activeusers-00026,eventcount-00026
US-ebab,devicecategory-00027,unifiedscreenname-00027,activeusers-00027,eventcount-00027
US-dd5a,devicecategory-00028,unifiedscreenname-00028,activeusers-00028,eventcount-00028
US-ac79,devicecategory-00029,unifiedscreenname-00029,activeusers-00029,eventcount-00029
US-6f13,devicecategory-00030,unifiedscreenname-00030,activeusers-00030,eventcount-00030
US-7091,devicecategory-00031,unifiedscreenname-00031,activeusers-00031,eventcount-00031
US-b8cf,devicecategory-00032,unifiedscreenname-00032,activeusers-00032,eventcount-00032
US-068d,devicecategory-00033,unifiedscreenname-00033,activeusers-00033,eventcount-00033
US-c602,devicecategory-00034,unifiedscreenname-00034,activeusers-00034,eventcount-00034
US-73a0,devicecategory-00035,unifiedscreenname-00035,activeusers-00035,eventcount-00035
US-cdb5,devicecategory-00036,unifiedscreenname-00036,activeusers-00036,eventcount-00036
US-e0e8,devicecategory-00037,unifiedscreenname-00037,activeusers-00037,eventcount-00037
US-9268,devicecategory-00038,unifiedscreenname-00038,activeusers-00038,eventcount-00038
US-6374,devicecategory-00039,unifiedscreenname-00039,activeusers-00039,eventcount-00039
US-5491,devicecategory-00040,unifiedscreenname-00040,activeusers-00040,eventcount-00040
US-7177,devicecategory-00041,unifiedscreenname-00041,activeusers-00041,eventcount-00041
US-91bf,devicecategory-00042,unifiedscreenname-00042,activeusers-00042,eventcount-00042
US-c7bf,devicecategory-00043,unifiedscreenname-00043,activeusers-00043,eventcount-00043
US-36e6,devicecategory-00044,unifiedscreenname-00044,activeusers-00044,eventcount-00044
US-4586,devicecategory-00045,unifiedscreenname-00045,activeusers-00045,eventcount-00045
US-195e,devicecategory-00046,unifiedscreenname-00046,activeusers-00046,eventcount-00046
US-a336,devicecategory-00047,unifiedscreenname-00047,activeusers-00047,eventcount-00047
US-d1d8,devicecategory-00048,unifiedscreenname-00048,activeusers-00048,eventcount-00048
US-03aa,devicecategory-00049,unifiedscreenname-00049,activeusers-00049,eventcount-00049
US-5289,devicecategory-00050,unifiedscreenname-00050,activeusers-00050,eventcount-00050
US-119b,devicecategory-00051,unifiedscreenname-00051,activeusers-00051,eventcount-00051
US-98bc,devicecategory-00052,unifiedscreenname-00052,activeusers-00052,eventcount-00052
US-6112,devicecategory-00053,unifiedscreenname-00053,activeusers-00053,eventcount-00053
US-77c1,devicecategory-00054,unifiedscreenname-00054,activeusers-00054,eventcount-00054
US-215a,devicecategory-00055,unifiedscreenname-00055,activeusers-00055,eventcount-00055
US-f20c,devicecategory-00056,unifiedscreenname-00056,activeusers-00056,eventcount-00056
US-1a38,devicecategory-00057,unifiedscreenname-00057,activeusers-00057,eventcount-00057
US-ec86,devicecategory-00058,unifiedscreenname-00058,activeusers-00058,eventcount-00058
US-3e01,devicecategory-00059,unifiedscreenname-00059,activeusers-00059,eventcount-00059
US-7bfb,devicecategory-00060,unifiedscreenname-00060,activeusers-00060,eventcount-00060
US-f98b,devicecategory-00061,unifiedscreenname-00061,activeusers-00061,eventcount-00061
US-761c,devicecategory-00062,unifiedscreenname-00062,activeusers-00062,eventcount-00062
US-ca66,devicecategory-00063,unifiedscreenname-00063,activeusers-00063,eventcount-00063
US-0b5c,devicecategory-00064,unifiedscreenname-00064,activeusers-00064,eventcount-00064
US-7d97,devicecategory-00065,unifiedscreenname-00065,activeusers-00065,eventcount-00065
US-1f00,devicecategory-00066,unifiedscreenname-00066,activeusers-00066,eventcount-00066
US-3219,devicecategory-00067,unifiedscreenname-00067,activeusers-00067,eventcount-00067
US-95d9,devicecategory-00068,unifiedscreenname-00068,activeusers-00068,eventcount-00068
US-a4e0,devicecategory-00069,unifiedscreenname-00069,activeusers-00069,eventcount-00069
US-264c,devicecategory-00070,unifiedscreenname-00070,activeusers-00070,eventcount-00070
US-c892,devicecategory-00071,unifiedscreenname-00071,activeusers-00071,eventcount-00071
US-17b3,devicecategory-00072,unifiedscreenname-00072,activeusers-00072,eventcount-00072
US-c485,devicecategory-00073,unifiedscreenname-00073,activeusers-00073,eventcount-00073
US-89b9,devicecategory-00074,unifiedscreenname-00074,activeusers-00074,eventcount-00074
US-de43,devicecategory-00075,unifiedscreenname-00075,activeusers-00075,eventcount-00075
US-6d3b,devicecategory-00076,unifiedscreenname-00076,activeusers-00076,eventcount-00076
US-1506,devicecategory-00077,unifiedscreenname-00077,activeusers-00077,eventcount-00077
US-55f9,devicecategory-00078,unifiedscreenname-00078,activeusers-00078,eventcount-00078
US-6ff6,devicecategory-00079,unifiedscreenname-00079,activeusers-00079,eventcount-00079
US-c186,devicecategory-00080,unifiedscreenname-00080,activeusers-00080,eventcount-00080
US-0b40,devicecategory-00081,unifiedscreenname-00081,activeusers-00081,eventcount-00081
US-69d9,devicecategory-00082,unifiedscreenname-00082,activeusers-00082,eventcount-00082
US-5b96,devicecategory-00083,unifiedscreenname-00083,activeusers-00083,eventcount-00083
US-d068,devicecategory-00084,unifiedscreenname-00084,activeusers-00084,eventcount-00084
US-f883,devicecategory-00085,unifiedscreenname-00085,activeusers-00085,eventcount-00085
US-2c98,devicecategory-00086,unifiedscreenname-00086,activeusers-00086,eventcount-00086
US-3c69,devicecategory-00087,unifiedscreenname-00087,activeusers-00087,eventcount-00087
US-7811,devicecategory-00088,unifiedscreenname-00088,activeusers-00088,eventcount-00088
US-35a9,devicecategory-00089,unifiedscreenname-00089,activeusers-00089,eventcount-00089
US-381a,devicecategory-00090,unifiedscreenname-00090,activeusers-00090,eventcount-00090
