date,country,pagePath,deviceCategory,sessions,activeUsers,screenPageViews,eventCount
2025-09-30T06:23:00Z,US,/2019/02/lamar-valley-wolves,desktop,159,126,311,605
2026-10-29T22:27:00Z,US,/2019/06/hayden-valley-bison,desktop,146,121,328,715
2026-02-26T20:33:00Z,US,/2018/09/mount-washburn-fire-lookout,tablet,260,226,333,657
2026-07-12T02:13:00Z,US,/2019/08/beartooth-highway-passes,tablet,374,340,579,681
2025-12-18T00:01:00Z,US,/2018/12/old-faithful-cold-morning,tablet,8,6,45,60
2025-11-13T04:39:00Z,US,/2019/04/trout-lake-thaw,tablet,475,366,540,564
2024-12-12T11:55:00Z,US,/2019/10/fall-elk-rut-mammoth,mobile,109,88,132,167
2025-10-11T00:25:00Z,US,/2018/07/grand-prismatic-overlook,mobile,223,190,286,347
2026-04-23T15:52:00Z,US,/2019/07/avalanche-lake-glacier,mobile,337,226,458,887
2025-07-15T02:56:00Z,US,/2019/09/highline-trail-report,mobile,451,320,546,863
2025-02-23T05:51:00Z,US,/2018/10/dark-sky-astronomy-night,desktop,438,328,913,1503
2025-12-19T13:09:00Z,US,/2018/11/geyser-basin-in-winter,desktop,72,57,77,195
2026-06-20T13:47:00Z,US,/2019/02/lamar-valley-wolves,desktop,186,113,205,318
2025-02-03T21:19:00Z,US,/2019/06/hayden-valley-bison,desktop,300,195,353,472
2025-06-04T22:18:00Z,US,/2018/09/mount-washburn-fire-lookout,tablet,287,198,330,556
2025-08-18T08:25:00Z,US,/2019/08/beartooth-highway-passes,tablet,401,293,540,963
2026-05-28T20:34:00Z,US,/2018/12/old-faithful-cold-morning,tablet,35,31,63,102
2025-03-17T15:39:00Z,US,/2019/04/trout-lake-thaw,tablet,149,140,156,231
2026-05-16T21:06:00Z,US,/2019/10/fall-elk-rut-mammoth,tablet,136,86,140,305
2026-05-15T07:35:00Z,US,/2018/07/grand-prismatic-overlook,mobile,250,167,413,515
2026-10-06T18:48:00Z,US,/2019/07/avalanche-lake-glacier,mobile,364,258,517,1078
2026-05-07T10:28:00Z,US,/2019/09/highline-trail-report,mobile,478,421,731,1251
2026-02-28T06:16:00Z,US,/2018/10/dark-sky-astronomy-night,mobile,465,428,590,714
2026-10-08T15:05:00Z,US,/2018/11/geyser-basin-in-winter,desktop,99,60,177,328
2026-06-30T16:34:00Z,US,/2019/02/lamar-valley-wolves,desktop,213,138,335,515
2026-06-30T15:17:00Z,US,/2019/06/hayden-valley-bison,desktop,327,268,387,490
2025-10-08T18:55:00Z,US,/2018/09/mount-washburn-fire-lookout,desktop,441,379,578,819
2025-02-17T16:55:00Z,US,/2019/08/beartooth-highway-passes,tablet,428,385,717,1161
2026-10-16T00:27:00Z,US,/2018/12/old-faithful-cold-morning,tablet,62,58,63,90
2025-09-19T15:08:00Z,US,/2019/04/trout-lake-thaw,tablet,176,134,333,387
2025-12-09T04:41:00Z,US,/2019/10/fall-elk-rut-mammoth,tablet,290,232,333,579
2025-02-26T00:48:00Z,US,/2018/07/grand-prismatic-overlook,mobile,277,233,573,906
2026-07-25T05:40:00Z,US,/2019/07/avalanche-lake-glacier,mobile,391,344,447,731
2026-07-09T08:30:00Z,US,/2019/09/highline-trail-report,mobile,25,18,28,99
2025-11-28T17:25:00Z,US,/2018/10/dark-sky-astronomy-night,mobile,139,103,221,397
2025-10-26T02:57:00Z,US,/2018/11/geyser-basin-in-winter,mobile,126,98,152,335
2025-12-24T15:15:00Z,US,/2019/02/lamar-valley-wolves,desktop,240,197,493,712
2026-07-14T05:02:00Z,US,/2019/06/hayden-valley-bison,desktop,354,304,609,751
