Hoffman Quilting, Supply and Materials Inventory
As of October 1, 2026. Tracked by Lisa Hoffman.

Category	Item	Brand / Source	Qty on Hand	Unit	Notes
Fabric	Moda fat quarter bundle, autumn jewels	Moda / Prairie Star	1	bundle	Just received, for wall hangings
Fabric	Backing muslin, cream	Prairie Star	3	yards	From Oct order, use for table runners first
Fabric	Red cotton solid	Local fabric store	2	yards	Center squares for log cabin blocks
Fabric	Assorted light prints	Mixed	4	yards	Log cabin light logs, class and personal
Fabric	Assorted dark prints	Mixed	4.5	yards	Log cabin dark logs
Fabric	Holiday pine cotton	Joann Fabrics, Rapid City	2	yards	Holiday table runners, start November
Fabric	Chokecherry and raspberry freezer scraps	Home	1	bag	For next custom quilt backing
Thread	Cotton thread, cream (2 spools)	Coats / Prairie Star	2	spools	From Oct order
Thread	Cotton thread, navy	Coats	1	spool	For log cabin class handouts
Thread	Cotton thread, red	Coats	1	spool	For center squares
Batting	Cotton batting, packaged, twin size	Hobby Lobby, Rapid City	1	package	For lap quilt commission CQ-501
Batting	Polyester batting scraps	Mixed	2	pounds	For smaller table runner interiors
Notions	Hand applique needles	Prairie Star	1	pack	From Oct order
Notions	Quilting pins, glass head	Dritz	1	box	Half full
Notions	Seam ripper	Dritz	2	each	One in the craft room, one at the class kit
Notions	Rotary cutter blades, 45mm	Olfa	3	each	Two spare, replace current blade before class
Notions	Basting spray	Krylon	1	can	Low, order before next lap quilt
Notions	Binding clips, small	Mixed	1	bag	Used for class demos
Rulers	Square ruler, 12.5 in	Louann's Quilt Tools	1	each	On the craft table
Rulers	Long ruler, 6 in x 24 in	Louann's Quilt Tools	1	each	On the craft table
