Bird Sighting Log, Lisa Hoffman, Cedar Hollow Road

Date	Time	Species	Count	Location	Notes
12/02/2025	7:10 AM	Northern Cardinal	2	Kitchen window feeder	Pair, male bright
12/19/2025	8:30 AM	Rough-legged Hawk	1	Fence line, west field	Hovering, winter visitor
01/15/2026	9:00 AM	Great Horned Owl	1	Shelterbelt	Heard at dusk, seen at dawn
10/02/2026	6:50 AM	Northern Cardinal	3	Window feeder	Before sunrise as usual
10/06/2026	7:40 AM	Red-tailed Hawk	1	Power pole, county road	On the dawn walk
10/09/2026	10:20 PM	Great Horned Owl	2	Shelterbelt	Calling pair, recorded
10/14/2026	8:05 AM	American Kestrel	1	Garden fence post	Smallest falcon, rust back
10/18/2026	7:25 AM	Bald Eagle	1	High, heading to the river	Adult, white head
10/21/2026	6:45 AM	Northern Cardinal	2	Window feeder	
10/27/2026	4:50 PM	Northern Harrier	1	Low over the stubble	White rump patch
11/03/2026	7:15 AM	Rough-legged Hawk	1	Fence line	Back for the winter
11/12/2026	8:40 AM	Sharp-shinned Hawk	1	By the feeder	After the small birds
