asset_id,symbol,qty,avg_entry_price,current_price,side,market_value,cost_basis,unrealized_pl
asset-aapl,AAPL,12,433.08,167.24,long,8871.12,12200.58,1846.85
asset-msft,MSFT,45,468.35,129.97,long,8633.70,9298.84,-891.71
asset-googl,GOOGL,9,686.53,239.94,long,2876.26,13461.83,682.37
asset-amzn,AMZN,18,481.63,515.16,long,9766.42,6429.21,-750.19
asset-tsla,TSLA,37,115.86,144.64,long,6777.53,15661.51,-165.07
asset-nvda,NVDA,49,300.83,507.72,long,2649.64,14157.59,514.91
asset-shop,SHOP,47,402.38,235.57,long,13824.80,16615.09,-649.97
asset-bns,BNS,37,640.61,451.50,long,15710.79,2196.07,1752.51
pos-00008,SYM8,61,348.5,277.79,long,331.32,15835.93,214.65
pos-00009,SYM9,406,168.61,190.89,long,13712.92,8612.02,-241.17
pos-00010,SYM10,167,211.25,154.88,long,8712.1,16026.72,-841.04
pos-00011,SYM11,42,78.2,152.34,long,12275.25,16463.72,1175.63
pos-00012,SYM12,400,50.27,174.69,long,9927.56,6830.23,1349.39
pos-00013,SYM13,332,333.67,259.91,long,16443.01,4332.06,210.81
pos-00014,SYM14,159,348.65,72.88,long,19251.71,19099.02,416.7
pos-00015,SYM15,2,103.11,360.07,long,4750.03,3668.75,1906.76
pos-00016,SYM16,213,152.5,271.81,long,19036.79,2412.74,1942.03
pos-00017,SYM17,24,157.09,227.1,long,8242.23,10685.07,-1289.51
pos-00018,SYM18,214,353.3,392.91,long,6707.69,12805.53,944.19
pos-00019,SYM19,182,308.52,365.38,long,13260.14,12731.05,1227.32
pos-00020,SYM20,226,114.01,377.36,long,15731.35,279.11,-1178.17
pos-00021,SYM21,489,50.36,208.01,long,2501.05,17371.22,26.22
pos-00022,SYM22,424,143.68,171.6,long,9064.78,2739.22,1901.68
pos-00023,SYM23,358,192.74,199.63,long,2888.97,17591.57,-515.11
pos-00024,SYM24,490,275.03,153.25,long,10213.35,5000.68,-13.08
pos-00025,SYM25,475,326.63,102.16,long,11041.39,15065.72,822.93
pos-00026,SYM26,226,199.74,278.65,long,15864.21,5369.0,-786.82
pos-00027,SYM27,334,21.78,14.47,long,3036.52,16854.8,507.0
pos-00028,SYM28,463,318.99,372.24,long,9181.4,10205.93,1664.19
pos-00029,SYM29,317,249.69,182.38,long,7854.4,12698.92,-1218.44
pos-00030,SYM30,404,317.31,150.76,long,606.67,3286.8,1002.63
pos-00031,SYM31,232,123.24,45.64,long,11351.8,15690.1,-296.47
pos-00032,SYM32,346,145.96,273.04,long,12347.51,7055.18,1485.2
pos-00033,SYM33,150,172.68,215.47,long,3142.65,5600.46,-1150.1
pos-00034,SYM34,434,352.3,294.4,long,12093.42,5422.51,-567.45
pos-00035,SYM35,349,283.4,90.5,long,3845.1,14194.84,-665.25
pos-00036,SYM36,187,288.77,386.82,long,8201.04,2247.18,-1634.28
pos-00037,SYM37,219,39.69,256.54,long,19842.72,6218.4,-965.41
pos-00038,SYM38,110,144.7,90.31,long,1216.94,17788.77,-842.3
