symbol,bid_price,bid_size,ask_price,ask_size,timestamp
AAPL,73.43,99,269.48,30,2026-12-16T20:00:00Z
MSFT,68.03,86,578.31,10,2026-12-16T20:00:00Z
GOOGL,600.67,39,362.12,88,2026-12-16T20:00:00Z
AMZN,67.47,56,77.21,28,2026-12-16T20:00:00Z
TSLA,534.67,94,205.42,70,2026-12-16T20:00:00Z
NVDA,488.09,2,106.12,86,2026-12-16T20:00:00Z
SHOP,612.17,72,230.24,65,2026-12-16T20:00:00Z
BNS,284.29,89,262.72,69,2026-12-16T20:00:00Z
SYMQ8,52.7,59,261.63,59,2026-12-01T00:08:00Z
SYMQ9,344.76,35,318.24,100,2026-12-01T00:09:00Z
SYMQ10,241.78,97,366.97,85,2026-12-01T00:10:00Z
SYMQ11,42.88,21,252.04,10,2026-12-01T00:11:00Z
SYMQ12,306.66,68,131.13,90,2026-12-01T00:12:00Z
SYMQ13,153.27,22,375.22,93,2026-12-01T00:13:00Z
SYMQ14,194.58,69,205.1,2,2026-12-01T00:14:00Z
SYMQ15,289.92,66,84.06,88,2026-12-01T00:15:00Z
SYMQ16,371.37,97,209.84,94,2026-12-01T00:16:00Z
SYMQ17,106.63,77,25.06,9,2026-12-01T00:17:00Z
SYMQ18,242.52,49,123.43,86,2026-12-01T00:18:00Z
SYMQ19,360.32,79,149.3,15,2026-12-01T00:19:00Z
SYMQ20,74.31,93,295.84,35,2026-12-01T00:20:00Z
SYMQ21,55.94,32,55.96,20,2026-12-01T00:21:00Z
SYMQ22,67.19,54,82.15,93,2026-12-01T00:22:00Z
SYMQ23,153.64,71,280.22,24,2026-12-01T00:23:00Z
SYMQ24,296.23,41,257.68,50,2026-12-01T00:24:00Z
SYMQ25,278.84,4,248.62,19,2026-12-01T00:25:00Z
SYMQ26,173.33,37,243.36,6,2026-12-01T00:26:00Z
SYMQ27,45.14,33,80.74,33,2026-12-01T00:27:00Z
SYMQ28,361.47,44,341.02,15,2026-12-01T00:28:00Z
SYMQ29,325.54,9,251.81,34,2026-12-01T00:29:00Z
SYMQ30,115.87,92,237.53,32,2026-12-01T00:30:00Z
SYMQ31,122.98,8,134.78,71,2026-12-01T00:31:00Z
SYMQ32,49.67,20,255.75,36,2026-12-01T00:32:00Z
SYMQ33,395.84,61,384.73,9,2026-12-01T00:33:00Z
SYMQ34,104.63,90,342.64,95,2026-12-01T00:34:00Z
SYMQ35,149.1,25,66.44,75,2026-12-01T00:35:00Z
SYMQ36,97.48,33,381.54,92,2026-12-01T00:36:00Z
SYMQ37,264.4,61,20.48,64,2026-12-01T00:37:00Z
SYMQ38,323.75,8,342.26,64,2026-12-01T00:38:00Z
SYMQ39,225.44,36,156.95,85,2026-12-01T00:39:00Z
SYMQ40,274.3,74,186.24,19,2026-12-01T00:40:00Z
SYMQ41,364.84,39,163.11,28,2026-12-01T00:41:00Z
SYMQ42,78.59,61,59.61,84,2026-12-01T00:42:00Z
SYMQ43,225.14,94,54.81,89,2026-12-01T00:43:00Z
SYMQ44,173.05,17,315.15,20,2026-12-01T00:44:00Z
SYMQ45,89.76,45,268.77,89,2026-12-01T00:45:00Z
SYMQ46,64.97,34,58.45,79,2026-12-01T00:46:00Z
SYMQ47,208.0,10,88.42,82,2026-12-01T00:47:00Z
SYMQ48,149.22,34,203.13,8,2026-12-01T00:48:00Z
SYMQ49,329.16,10,84.01,38,2026-12-01T00:49:00Z
SYMQ50,52.31,69,318.25,74,2026-12-01T00:50:00Z
SYMQ51,231.1,86,46.02,33,2026-12-01T00:51:00Z
SYMQ52,64.58,69,223.23,91,2026-12-01T00:52:00Z
SYMQ53,303.06,77,90.86,69,2026-12-01T00:53:00Z
SYMQ54,329.59,81,43.58,11,2026-12-01T00:54:00Z
SYMQ55,257.27,22,283.62,21,2026-12-01T00:55:00Z
SYMQ56,80.15,57,60.06,34,2026-12-01T00:56:00Z
SYMQ57,399.13,32,216.92,7,2026-12-01T00:57:00Z
SYMQ58,222.49,6,314.07,78,2026-12-01T00:58:00Z
