id,client_order_id,symbol,qty,filled_qty,side,type,time_in_force,limit_price,status,filled_avg_price,submitted_at,filled_at
ord-00000,co-00000,AAPL,7,5,sell,market,day,,new,138.64,2026-06-01T00:00:00Z,2026-06-01T00:02:00Z
ord-00001,co-00001,MSFT,20,13,sell,market,day,,new,222.60,2026-06-02T00:00:00Z,2026-06-02T00:02:00Z
ord-00002,co-00002,GOOGL,2,18,sell,market,day,,new,256.38,2026-06-03T00:00:00Z,2026-06-03T00:02:00Z
ord-00003,co-00003,AMZN,3,4,buy,market,day,,new,253.37,2026-06-04T00:00:00Z,2026-06-04T00:02:00Z
ord-00004,co-00004,TSLA,4,1,buy,market,day,,canceled,73.95,2026-06-05T00:00:00Z,2026-06-05T00:02:00Z
ord-00005,co-00005,NVDA,9,4,buy,market,day,,new,520.69,2026-06-06T00:00:00Z,2026-06-06T00:02:00Z
ord-00006,co-00006,SHOP,15,20,sell,market,day,,canceled,192.79,2026-06-07T00:00:00Z,2026-06-07T00:02:00Z
ord-00007,co-00007,BNS,5,7,sell,market,day,,filled,594.44,2026-06-08T00:00:00Z,2026-06-08T00:02:00Z
ord-00008,co-00008,AAPL,16,3,buy,market,day,,filled,137.79,2026-06-09T00:00:00Z,2026-06-09T00:02:00Z
ord-00009,co-00009,MSFT,14,17,buy,market,day,,filled,539.08,2026-06-10T00:00:00Z,2026-06-10T00:02:00Z
ord-00010,co-00010,GOOGL,12,20,sell,market,day,,canceled,458.75,2026-06-11T00:00:00Z,2026-06-11T00:02:00Z
ord-00011,co-00011,AMZN,3,1,buy,market,day,,filled,635.34,2026-06-12T00:00:00Z,2026-06-12T00:02:00Z
ord-00012,co-00012,TSLA,17,12,buy,market,day,,canceled,244.76,2026-06-13T00:00:00Z,2026-06-13T00:02:00Z
ord-00013,co-00013,NVDA,19,17,buy,market,day,,new,337.16,2026-06-14T00:00:00Z,2026-06-14T00:02:00Z
ord-00014,co-00014,SHOP,15,4,sell,market,day,,canceled,247.91,2026-06-15T00:00:00Z,2026-06-15T00:02:00Z
ord-00015,co-00015,BNS,20,3,buy,market,day,,filled,279.31,2026-06-16T00:00:00Z,2026-06-16T00:02:00Z
ord-00016,co-00016,AAPL,13,8,buy,market,day,,new,657.22,2026-06-17T00:00:00Z,2026-06-17T00:02:00Z
ord-00017,co-00017,MSFT,5,0,buy,market,day,,canceled,590.98,2026-06-18T00:00:00Z,2026-06-18T00:02:00Z
ord-00018,co-00018,GOOGL,4,8,buy,market,day,,filled,423.12,2026-06-19T00:00:00Z,2026-06-19T00:02:00Z
ord-00019,co-00019,AMZN,13,16,sell,market,day,,canceled,609.51,2026-06-20T00:00:00Z,2026-06-20T00:02:00Z
ord-00020,co-00020,TSLA,2,11,sell,market,day,,filled,578.71,2026-06-21T00:00:00Z,2026-06-21T00:02:00Z
ord-00021,co-00021,NVDA,4,1,sell,market,day,,new,111.06,2026-06-22T00:00:00Z,2026-06-22T00:02:00Z
ord-00022,co-00022,SHOP,9,16,sell,market,day,,new,560.81,2026-06-23T00:00:00Z,2026-06-23T00:02:00Z
ord-00023,co-00023,BNS,16,13,sell,market,day,,filled,253.33,2026-06-24T00:00:00Z,2026-06-24T00:02:00Z
ord-00024,co-00024,AAPL,5,11,sell,market,day,,filled,372.36,2026-06-25T00:00:00Z,2026-06-25T00:02:00Z
ord-00025,co-00025,MSFT,13,10,buy,market,day,,canceled,413.58,2026-06-26T00:00:00Z,2026-06-26T00:02:00Z
ord-00026,co-00026,GOOGL,15,1,buy,market,day,,canceled,570.83,2026-06-27T00:00:00Z,2026-06-27T00:02:00Z
ord-00027,co-00027,AMZN,2,18,sell,market,day,,new,386.06,2026-06-28T00:00:00Z,2026-06-28T00:02:00Z
ord-00028,co-00028,TSLA,6,2,buy,market,day,,new,231.32,2026-06-29T00:00:00Z,2026-06-29T00:02:00Z
ord-00029,co-00029,NVDA,18,10,sell,market,day,,canceled,89.45,2026-06-30T00:00:00Z,2026-06-30T00:02:00Z
ord-00030,co-00030,SHOP,8,12,sell,market,day,,canceled,593.75,2026-07-01T00:00:00Z,2026-07-01T00:02:00Z
ord-00031,co-00031,BNS,1,14,sell,market,day,,canceled,189.89,2026-07-02T00:00:00Z,2026-07-02T00:02:00Z
ord-00032,co-00032,AAPL,9,14,sell,market,day,,filled,73.31,2026-07-03T00:00:00Z,2026-07-03T00:02:00Z
ord-00033,co-00033,MSFT,9,4,sell,market,day,,canceled,615.86,2026-07-04T00:00:00Z,2026-07-04T00:02:00Z
ord-00034,co-00034,GOOGL,2,16,sell,market,day,,canceled,371.65,2026-07-05T00:00:00Z,2026-07-05T00:02:00Z
ord-00035,co-00035,AMZN,6,10,sell,market,day,,canceled,331.28,2026-07-06T00:00:00Z,2026-07-06T00:02:00Z
ord-00036,co-00036,TSLA,20,3,sell,market,day,,new,92.04,2026-07-07T00:00:00Z,2026-07-07T00:02:00Z
ord-00037,co-00037,NVDA,6,11,sell,market,day,,new,331.35,2026-07-08T00:00:00Z,2026-07-08T00:02:00Z
ord-00038,co-00038,SHOP,2,15,buy,market,day,,canceled,552.97,2026-07-09T00:00:00Z,2026-07-09T00:02:00Z
ord-00039,co-00039,BNS,2,18,buy,market,day,,filled,616.37,2026-07-10T00:00:00Z,2026-07-10T00:02:00Z
ord-00040,co-00040,AAPL,9,13,buy,market,day,,filled,99.89,2026-07-11T00:00:00Z,2026-07-11T00:02:00Z
ord-00041,co-00041,MSFT,20,5,sell,market,day,,canceled,663.71,2026-07-12T00:00:00Z,2026-07-12T00:02:00Z
ord-00042,co-00042,GOOGL,14,13,sell,market,day,,canceled,62.68,2026-07-13T00:00:00Z,2026-07-13T00:02:00Z
ord-00043,co-00043,AMZN,11,7,buy,market,day,,canceled,531.60,2026-07-14T00:00:00Z,2026-07-14T00:02:00Z
ord-00044,co-00044,TSLA,1,15,sell,market,day,,filled,547.83,2026-07-15T00:00:00Z,2026-07-15T00:02:00Z
ord-00045,co-00045,NVDA,15,2,sell,market,day,,canceled,508.20,2026-07-16T00:00:00Z,2026-07-16T00:02:00Z
ord-00046,co-00046,SHOP,5,3,sell,market,day,,canceled,220.28,2026-07-17T00:00:00Z,2026-07-17T00:02:00Z
ord-00047,co-00047,BNS,5,14,buy,market,day,,canceled,296.62,2026-07-18T00:00:00Z,2026-07-18T00:02:00Z
ord-00048,co-00048,AAPL,19,16,buy,market,day,,filled,121.73,2026-07-19T00:00:00Z,2026-07-19T00:02:00Z
ord-00049,co-00049,MSFT,14,2,buy,market,day,,filled,302.18,2026-07-20T00:00:00Z,2026-07-20T00:02:00Z
ord-00050,co-00050,GOOGL,13,12,buy,market,day,,new,556.52,2026-07-21T00:00:00Z,2026-07-21T00:02:00Z
ord-00051,co-00051,AMZN,18,15,sell,market,day,,new,435.55,2026-07-22T00:00:00Z,2026-07-22T00:02:00Z
ord-00052,co-00052,TSLA,9,9,sell,market,day,,new,95.93,2026-07-23T00:00:00Z,2026-07-23T00:02:00Z
ord-00053,co-00053,NVDA,2,16,sell,market,day,,new,180.88,2026-07-24T00:00:00Z,2026-07-24T00:02:00Z
ord-00054,co-00054,SHOP,9,17,sell,market,day,,canceled,61.16,2026-07-25T00:00:00Z,2026-07-25T00:02:00Z
ord-00055,co-00055,BNS,19,18,buy,market,day,,canceled,175.53,2026-07-26T00:00:00Z,2026-07-26T00:02:00Z
ord-00056,co-00056,AAPL,2,2,sell,market,day,,filled,609.45,2026-07-27T00:00:00Z,2026-07-27T00:02:00Z
ord-00057,co-00057,MSFT,1,11,sell,market,day,,canceled,340.75,2026-07-28T00:00:00Z,2026-07-28T00:02:00Z
ord-00058,co-00058,GOOGL,18,4,sell,market,day,,filled,655.79,2026-07-29T00:00:00Z,2026-07-29T00:02:00Z
ord-00059,co-00059,AMZN,13,4,buy,market,day,,canceled,621.25,2026-07-30T00:00:00Z,2026-07-30T00:02:00Z
ord-00060,co-00060,TSLA,5,20,sell,market,day,,filled,586.20,2026-07-31T00:00:00Z,2026-07-31T00:02:00Z
ord-00061,co-00061,NVDA,13,20,sell,market,day,,canceled,267.64,2026-08-01T00:00:00Z,2026-08-01T00:02:00Z
ord-00062,co-00062,SHOP,19,18,buy,market,day,,canceled,334.55,2026-08-02T00:00:00Z,2026-08-02T00:02:00Z
ord-00063,co-00063,BNS,14,3,sell,market,day,,canceled,578.50,2026-08-03T00:00:00Z,2026-08-03T00:02:00Z
