id,symbol,name,exchange,asset_class,tradable,fractionable
asset-aapl,AAPL,Apple Inc,NASDAQ,us_equity,true,true
asset-msft,MSFT,Microsoft,NASDAQ,us_equity,true,true
asset-googl,GOOGL,Alphabet,NASDAQ,us_equity,true,true
asset-amzn,AMZN,Amazon,NASDAQ,us_equity,true,true
asset-tsla,TSLA,Tesla,NASDAQ,us_equity,true,true
asset-nvda,NVDA,Nvidia,NASDAQ,us_equity,true,true
asset-shop,SHOP,Shopify,NASDAQ,us_equity,true,true
asset-bns,BNS,Bank of Nova Scotia,NASDAQ,us_equity,true,true
asset-00008,SYM8,Holding Company 8 Inc,NYSE,us_equity,true,false
asset-00009,SYM9,Holding Company 9 Inc,ARCA,us_equity,true,false
asset-00010,SYM10,Holding Company 10 Inc,NASDAQ,us_equity,true,true
asset-00011,SYM11,Holding Company 11 Inc,ARCA,us_equity,true,true
asset-00012,SYM12,Holding Company 12 Inc,ARCA,us_equity,true,true
asset-00013,SYM13,Holding Company 13 Inc,ARCA,us_equity,true,false
asset-00014,SYM14,Holding Company 14 Inc,ARCA,us_equity,true,true
asset-00015,SYM15,Holding Company 15 Inc,NYSE,us_equity,true,true
asset-00016,SYM16,Holding Company 16 Inc,NASDAQ,us_equity,true,false
asset-00017,SYM17,Holding Company 17 Inc,NASDAQ,us_equity,true,false
asset-00018,SYM18,Holding Company 18 Inc,NASDAQ,us_equity,true,false
asset-00019,SYM19,Holding Company 19 Inc,NYSE,us_equity,true,true
asset-00020,SYM20,Holding Company 20 Inc,NASDAQ,us_equity,true,false
asset-00021,SYM21,Holding Company 21 Inc,ARCA,us_equity,true,true
asset-00022,SYM22,Holding Company 22 Inc,NYSE,us_equity,true,false
asset-00023,SYM23,Holding Company 23 Inc,NYSE,us_equity,true,false
asset-00024,SYM24,Holding Company 24 Inc,NASDAQ,us_equity,true,true
asset-00025,SYM25,Holding Company 25 Inc,NASDAQ,us_equity,true,false
asset-00026,SYM26,Holding Company 26 Inc,ARCA,us_equity,true,true
asset-00027,SYM27,Holding Company 27 Inc,NYSE,us_equity,true,true
asset-00028,SYM28,Holding Company 28 Inc,ARCA,us_equity,true,true
asset-00029,SYM29,Holding Company 29 Inc,NYSE,us_equity,true,false
asset-00030,SYM30,Holding Company 30 Inc,NYSE,us_equity,true,true
asset-00031,SYM31,Holding Company 31 Inc,NYSE,us_equity,true,false
asset-00032,SYM32,Holding Company 32 Inc,NYSE,us_equity,true,false
asset-00033,SYM33,Holding Company 33 Inc,ARCA,us_equity,true,true
asset-00034,SYM34,Holding Company 34 Inc,NASDAQ,us_equity,true,false
asset-00035,SYM35,Holding Company 35 Inc,NASDAQ,us_equity,true,false
asset-00036,SYM36,Holding Company 36 Inc,NYSE,us_equity,true,true
asset-00037,SYM37,Holding Company 37 Inc,ARCA,us_equity,true,false
asset-00038,SYM38,Holding Company 38 Inc,NYSE,us_equity,true,false
asset-00039,SYM39,Holding Company 39 Inc,ARCA,us_equity,true,false
asset-00040,SYM40,Holding Company 40 Inc,NASDAQ,us_equity,true,false
asset-00041,SYM41,Holding Company 41 Inc,ARCA,us_equity,true,false
asset-00042,SYM42,Holding Company 42 Inc,ARCA,us_equity,true,false
asset-00043,SYM43,Holding Company 43 Inc,ARCA,us_equity,true,true
asset-00044,SYM44,Holding Company 44 Inc,NYSE,us_equity,true,false
asset-00045,SYM45,Holding Company 45 Inc,ARCA,us_equity,true,true
asset-00046,SYM46,Holding Company 46 Inc,NASDAQ,us_equity,true,true
asset-00047,SYM47,Holding Company 47 Inc,NASDAQ,us_equity,true,false
asset-00048,SYM48,Holding Company 48 Inc,NASDAQ,us_equity,true,false
asset-00049,SYM49,Holding Company 49 Inc,ARCA,us_equity,true,true
asset-00050,SYM50,Holding Company 50 Inc,NASDAQ,us_equity,true,false
asset-00051,SYM51,Holding Company 51 Inc,NYSE,us_equity,true,true
asset-00052,SYM52,Holding Company 52 Inc,NYSE,us_equity,true,false
asset-00053,SYM53,Holding Company 53 Inc,ARCA,us_equity,true,false
asset-00054,SYM54,Holding Company 54 Inc,NYSE,us_equity,true,true
asset-00055,SYM55,Holding Company 55 Inc,NYSE,us_equity,true,false
asset-00056,SYM56,Holding Company 56 Inc,ARCA,us_equity,true,false
asset-00057,SYM57,Holding Company 57 Inc,NYSE,us_equity,true,true
asset-00058,SYM58,Holding Company 58 Inc,ARCA,us_equity,true,false
asset-00059,SYM59,Holding Company 59 Inc,NASDAQ,us_equity,true,true
asset-00060,SYM60,Holding Company 60 Inc,ARCA,us_equity,true,false
asset-00061,SYM61,Holding Company 61 Inc,ARCA,us_equity,true,false
asset-00062,SYM62,Holding Company 62 Inc,NYSE,us_equity,true,true
asset-00063,SYM63,Holding Company 63 Inc,NYSE,us_equity,true,false
asset-00064,SYM64,Holding Company 64 Inc,NYSE,us_equity,true,false
asset-00065,SYM65,Holding Company 65 Inc,NYSE,us_equity,true,true
asset-00066,SYM66,Holding Company 66 Inc,ARCA,us_equity,true,true
asset-00067,SYM67,Holding Company 67 Inc,NASDAQ,us_equity,true,true
asset-00068,SYM68,Holding Company 68 Inc,NASDAQ,us_equity,true,true
asset-00069,SYM69,Holding Company 69 Inc,NASDAQ,us_equity,true,true
asset-00070,SYM70,Holding Company 70 Inc,ARCA,us_equity,true,true
asset-00071,SYM71,Holding Company 71 Inc,NYSE,us_equity,true,false
asset-00072,SYM72,Holding Company 72 Inc,NYSE,us_equity,true,false
asset-00073,SYM73,Holding Company 73 Inc,NYSE,us_equity,true,false
asset-00074,SYM74,Holding Company 74 Inc,NASDAQ,us_equity,true,true
asset-00075,SYM75,Holding Company 75 Inc,NASDAQ,us_equity,true,true
asset-00076,SYM76,Holding Company 76 Inc,NYSE,us_equity,true,true
asset-00077,SYM77,Holding Company 77 Inc,NASDAQ,us_equity,true,true
asset-00078,SYM78,Holding Company 78 Inc,NYSE,us_equity,true,false
asset-00079,SYM79,Holding Company 79 Inc,ARCA,us_equity,true,false
asset-00080,SYM80,Holding Company 80 Inc,ARCA,us_equity,true,false
asset-00081,SYM81,Holding Company 81 Inc,ARCA,us_equity,true,true
asset-00082,SYM82,Holding Company 82 Inc,NASDAQ,us_equity,true,true
asset-00083,SYM83,Holding Company 83 Inc,NYSE,us_equity,true,false
asset-00084,SYM84,Holding Company 84 Inc,NYSE,us_equity,true,false
asset-00085,SYM85,Holding Company 85 Inc,NASDAQ,us_equity,true,true
asset-00086,SYM86,Holding Company 86 Inc,ARCA,us_equity,true,false
asset-00087,SYM87,Holding Company 87 Inc,NASDAQ,us_equity,true,false
asset-00088,SYM88,Holding Company 88 Inc,NYSE,us_equity,true,false
asset-00089,SYM89,Holding Company 89 Inc,ARCA,us_equity,true,false
asset-00090,SYM90,Holding Company 90 Inc,NYSE,us_equity,true,true
asset-00091,SYM91,Holding Company 91 Inc,ARCA,us_equity,true,true
asset-00092,SYM92,Holding Company 92 Inc,NYSE,us_equity,true,true
asset-00093,SYM93,Holding Company 93 Inc,NYSE,us_equity,true,false
asset-00094,SYM94,Holding Company 94 Inc,NASDAQ,us_equity,true,true
asset-00095,SYM95,Holding Company 95 Inc,NASDAQ,us_equity,true,true
asset-00096,SYM96,Holding Company 96 Inc,NASDAQ,us_equity,true,true
asset-00097,SYM97,Holding Company 97 Inc,ARCA,us_equity,true,true
asset-00098,SYM98,Holding Company 98 Inc,ARCA,us_equity,true,false
asset-00099,SYM99,Holding Company 99 Inc,ARCA,us_equity,true,true
asset-00100,SYM100,Holding Company 100 Inc,NASDAQ,us_equity,true,true
asset-00101,SYM101,Holding Company 101 Inc,NASDAQ,us_equity,true,false
asset-00102,SYM102,Holding Company 102 Inc,NYSE,us_equity,true,true
asset-00103,SYM103,Holding Company 103 Inc,NYSE,us_equity,true,true
asset-00104,SYM104,Holding Company 104 Inc,NYSE,us_equity,true,true
