form_id,title,workspace,language,is_public,response_count,created_time,last_updated_time
JXhV9ELu,Holiday 2026 Volunteer Signup,Grace Church Committee,en,true,40,2026-09-15T10:00:00Z,2026-11-28T18:00:00Z
Kf3aQzWp,Holiday 2026 Attendee Registration,Grace Church Committee,en,true,160,2026-09-20T10:00:00Z,2026-11-28T18:00:00Z
MnB4rSyT,Curandera Practice Intake,Matt Coleman Personal,en,false,42,2023-03-15T10:00:00Z,2026-11-30T14:00:00Z
PxL7vWzU,Diabetes Ed Group Signup,Eastside Community Clinic,en,true,58,2025-06-01T10:00:00Z,2026-11-30T09:00:00Z
QwE8yZaB,BP Screening Signup,Eastside Community Clinic,en,true,78,2025-06-01T10:00:00Z,2026-11-30T09:00:00Z
RsT9uAbC,Grief Support Sign-up,Grace Church,en,true,23,2022-06-01T10:00:00Z,2026-11-15T10:00:00Z
SvW0xBcD,Prayer Chain Sign-up,Grace Church,en,true,67,2018-05-20T10:00:00Z,2026-11-01T10:00:00Z
UyZ1zCdE,Youth Group Registration,Grace Church,en,true,48,2019-09-01T10:00:00Z,2026-09-01T10:00:00Z
VaB2AdFf,Choir Signup Fall 2026,Grace Church,en,true,22,2026-08-01T10:00:00Z,2026-08-30T10:00:00Z
WcD3BeGg,Guadalupe Feast RSVP,Grace Church Committee,en,true,65,2026-11-01T10:00:00Z,2026-12-08T10:00:00Z
XeF4CfHh,Christmas Eve Service RSVP,Grace Church,en,true,120,2026-11-15T10:00:00Z,2026-12-20T10:00:00Z
YgH5DgIi,Youth Christmas Program RSVP,Grace Church,en,true,35,2026-11-01T10:00:00Z,2026-12-10T10:00:00Z
ZiJ6EhJj,Church Directory Update Form,Grace Church,en,true,334,2019-01-15T10:00:00Z,2026-11-01T10:00:00Z
AkL7FiKk,Post-Event Feedback,Grace Church,en,false,0,2026-12-01T10:00:00Z,2026-12-01T10:00:00Z
BmN8GjLl,Council Nomination Form,Grace Church,en,true,9,2020-06-01T10:00:00Z,2025-12-01T10:00:00Z
