field_id,form_id,title,field_type,ref,required,choices,order
JXhV9ELu_fld_01,JXhV9ELu,Full Name,short_text,vol_name,true,,1
JXhV9ELu_fld_02,JXhV9ELu,Email,email,vol_email,true,,2
JXhV9ELu_fld_03,JXhV9ELu,Phone,phone_number,vol_phone,true,,3
JXhV9ELu_fld_04,JXhV9ELu,Preferred Role,multiple_choice,vol_role,true,Food Service|Setup|Children's Area|Parking|Registration|Cleanup|Wellness Booth|General Float|Photography,4
JXhV9ELu_fld_05,JXhV9ELu,Available Time,multiple_choice,vol_time,true,Morning|Afternoon|All Day|Cleanup Only,5
JXhV9ELu_fld_06,JXhV9ELu,T-Shirt Size,multiple_choice,vol_shirt,false,S|M|L|XL|2XL,6
Kf3aQzWp_fld_01,Kf3aQzWp,Full Name,short_text,att_name,true,,1
Kf3aQzWp_fld_02,Kf3aQzWp,Email,email,att_email,true,,2
Kf3aQzWp_fld_03,Kf3aQzWp,Party Size,number,att_size,true,,3
Kf3aQzWp_fld_04,Kf3aQzWp,Ticket Type,multiple_choice,att_type,true,General|Family Pass,4
Kf3aQzWp_fld_05,Kf3aQzWp,Special Needs,long_text,att_needs,false,,5
Kf3aQzWp_fld_06,Kf3aQzWp,Dietary,multiple_choice,att_diet,false,None|Vegetarian|Gluten-Free|Diabetic,6
MnB4rSyT_fld_01,MnB4rSyT,Full Name,short_text,cur_name,true,,1
MnB4rSyT_fld_02,MnB4rSyT,Age,number,cur_age,true,,2
MnB4rSyT_fld_03,MnB4rSyT,Phone,phone_number,cur_phone,true,,3
MnB4rSyT_fld_04,MnB4rSyT,Referred By,short_text,cur_ref,false,,4
MnB4rSyT_fld_05,MnB4rSyT,Primary Concern,long_text,cur_concern,true,,5
MnB4rSyT_fld_06,MnB4rSyT,Current Medications,long_text,cur_meds,true,,6
MnB4rSyT_fld_07,MnB4rSyT,Consent to Herbal Preps,yes_no,cur_consent,true,,7
PxL7vWzU_fld_01,PxL7vWzU,Full Name,short_text,de_name,true,,1
PxL7vWzU_fld_02,PxL7vWzU,A1C Latest,number,de_a1c,false,,2
PxL7vWzU_fld_03,PxL7vWzU,Medications,long_text,de_meds,false,,3
PxL7vWzU_fld_04,PxL7vWzU,Preferred Session,multiple_choice,de_sess,true,Tuesday|Thursday|Saturday,4
PxL7vWzU_fld_05,PxL7vWzU,Language,multiple_choice,de_lang,true,Spanish|English|Bilingual,5
QwE8yZaB_fld_01,QwE8yZaB,Full Name,short_text,bp_name,true,,1
QwE8yZaB_fld_02,QwE8yZaB,Age,number,bp_age,true,,2
QwE8yZaB_fld_03,QwE8yZaB,Preferred Session,multiple_choice,bp_sess,true,Thursday|Saturday,3
RsT9uAbC_fld_01,RsT9uAbC,Full Name,short_text,grief_name,true,,1
RsT9uAbC_fld_02,RsT9uAbC,Loss Type,multiple_choice,grief_type,false,Spouse|Parent|Child|Other,2
RsT9uAbC_fld_03,RsT9uAbC,Loss Date,date,grief_date,false,,3
RsT9uAbC_fld_04,RsT9uAbC,Contact Preference,multiple_choice,grief_contact,true,Phone|Email|WhatsApp,4
SvW0xBcD_fld_01,SvW0xBcD,Full Name,short_text,pc_name,true,,1
SvW0xBcD_fld_02,SvW0xBcD,Email,email,pc_email,true,,2
SvW0xBcD_fld_03,SvW0xBcD,Phone,phone_number,pc_phone,false,,3
SvW0xBcD_fld_04,SvW0xBcD,Preferred Frequency,multiple_choice,pc_freq,true,Weekly|Daily|As Needed,4
UyZ1zCdE_fld_01,UyZ1zCdE,Parent Name,short_text,yg_pname,true,,1
UyZ1zCdE_fld_02,UyZ1zCdE,Child Name,short_text,yg_cname,true,,2
UyZ1zCdE_fld_03,UyZ1zCdE,Child Age,number,yg_cage,true,,3
UyZ1zCdE_fld_04,UyZ1zCdE,Grade,multiple_choice,yg_grade,true,5|6|7|8|9|10|11|12,4
UyZ1zCdE_fld_05,UyZ1zCdE,Emergency Contact,short_text,yg_ec,true,,5
UyZ1zCdE_fld_06,UyZ1zCdE,Consent,yes_no,yg_consent,true,,6
VaB2AdFf_fld_01,VaB2AdFf,Name,short_text,ch_name,true,,1
VaB2AdFf_fld_02,VaB2AdFf,Voice Part,multiple_choice,ch_voice,true,Soprano|Alto|Tenor|Bass,2
VaB2AdFf_fld_03,VaB2AdFf,Experience,multiple_choice,ch_exp,true,None|Some|Extensive,3
WcD3BeGg_fld_01,WcD3BeGg,Family Name,short_text,gf_name,true,,1
WcD3BeGg_fld_02,WcD3BeGg,Party Size,number,gf_size,true,,2
WcD3BeGg_fld_03,WcD3BeGg,Bringing Dish,yes_no,gf_dish,false,,3
WcD3BeGg_fld_04,WcD3BeGg,Dish Description,short_text,gf_dishd,false,,4
XeF4CfHh_fld_01,XeF4CfHh,Family Name,short_text,ce_name,true,,1
XeF4CfHh_fld_02,XeF4CfHh,Party Size,number,ce_size,true,,2
XeF4CfHh_fld_03,XeF4CfHh,Candle Sponsor,yes_no,ce_candle,false,,3
YgH5DgIi_fld_01,YgH5DgIi,Parent Name,short_text,yc_pname,true,,1
YgH5DgIi_fld_02,YgH5DgIi,Child Names,long_text,yc_cnames,true,,2
YgH5DgIi_fld_03,YgH5DgIi,Party Size,number,yc_size,true,,3
ZiJ6EhJj_fld_01,ZiJ6EhJj,Household Name,short_text,dir_name,true,,1
ZiJ6EhJj_fld_02,ZiJ6EhJj,Address,long_text,dir_addr,true,,2
ZiJ6EhJj_fld_03,ZiJ6EhJj,Phone,phone_number,dir_phone,true,,3
ZiJ6EhJj_fld_04,ZiJ6EhJj,Email,email,dir_email,true,,4
ZiJ6EhJj_fld_05,ZiJ6EhJj,Photo Consent,yes_no,dir_photo,true,,5
ZiJ6EhJj_fld_06,ZiJ6EhJj,Ministries,multiple_choice,dir_min,false,Council|Choir|Youth|Prayer Chain|Grief|Ushers|Altar Guild,6
AkL7FiKk_fld_01,AkL7FiKk,Overall Rating,opinion_scale,pe_rating,true,,1
AkL7FiKk_fld_02,AkL7FiKk,Food Rating,opinion_scale,pe_food,true,,2
AkL7FiKk_fld_03,AkL7FiKk,Music Rating,opinion_scale,pe_music,true,,3
AkL7FiKk_fld_04,AkL7FiKk,Comments,long_text,pe_comments,false,,4
BmN8GjLl_fld_01,BmN8GjLl,Nominator Name,short_text,cn_name,true,,1
BmN8GjLl_fld_02,BmN8GjLl,Nominee Name,short_text,cn_nominee,true,,2
BmN8GjLl_fld_03,BmN8GjLl,Position,multiple_choice,cn_pos,true,Treasurer|Secretary|At-Large,3
BmN8GjLl_fld_04,BmN8GjLl,Statement,long_text,cn_stmt,true,,4
