vendor	product	unit	price_usd	delivery_days	min_order	region	contact	notes
Greenfield Farm Market	Heirloom carrots	lb	2.25	Tue, Fri	10 lb	Hudson Valley, NY	orders@greenfieldfarmmkt.com	Peak fall. Sweetest after first frost.
Greenfield Farm Market	Celery root	lb	1.80	Tue, Fri	10 lb	Hudson Valley, NY	orders@greenfieldfarmmkt.com	For the scallop puree.
Greenfield Farm Market	Honeycrisp apples	lb	2.40	Tue, Fri	10 lb	Hudson Valley, NY	orders@greenfieldfarmmkt.com	Brunoise garnish. Holds well.
Greenfield Farm Market	Mixed chicories	case	38.00	Tue, Fri	1 case	Hudson Valley, NY	orders@greenfieldfarmmkt.com	Radicchio, escarole, frisee mix.
Greenfield Farm Market	Fingerling potatoes	lb	1.95	Tue, Fri	15 lb	Hudson Valley, NY	orders@greenfieldfarmmkt.com	Roast whole.
Greenfield Farm Market	Heirloom tomatoes	lb	3.50	Tue, Fri	10 lb	Hudson Valley, NY	orders@greenfieldfarmmkt.com	Summer only. Worth the 45-minute drive.
Fontana Creamery	Cultured butter	lb	11.00	Wed	5 lb	Red Hook, NY	hello@fontanacreamery.com	The good butter. Non-negotiable.
Fontana Creamery	Fresh ricotta	lb	8.50	Wed	5 lb	Red Hook, NY	hello@fontanacreamery.com	Made to order, 48h notice.
Fontana Creamery	Cultured cream	qt	6.50	Wed	6 qt	Red Hook, NY	hello@fontanacreamery.com	For house butter tests.
Fontana Creamery	Aged provolone	lb	14.00	Wed	3 lb	Red Hook, NY	hello@fontanacreamery.com	18-month. Grate over pasta.
Fontana Creamery	Burrata	lb	12.50	Wed	5 lb	Red Hook, NY	hello@fontanacreamery.com	Order day-of service only.
Fulton Fish Market	Diver scallops U10	lb	24.00	Tue, Thu, Sat	5 lb	NYC (Bronx)	desk@fultonfishmkt.com	Dry-pack only. Call by 2 AM.
Fulton Fish Market	Day-boat cod	lb	13.50	Tue, Thu, Sat	8 lb	NYC (Bronx)	desk@fultonfishmkt.com	Ask what came in.
Fulton Fish Market	Black sea bass	lb	16.00	Tue, Thu, Sat	6 lb	NYC (Bronx)	desk@fultonfishmkt.com	Whole, scaled.
Fulton Fish Market	Littleneck clams	count	0.45	Tue, Thu, Sat	100 ct	NYC (Bronx)	desk@fultonfishmkt.com	For staff meal pasta.
