Round	Overall_Pick	Team	Player	Position	NFL_Team
1	1	Claremont Crushers	Christian McCaffrey	RB	SF
2	24	Claremont Crushers	CeeDee Lamb	WR	DAL
3	25	Claremont Crushers	Garrett Wilson	WR	NYJ
4	48	Claremont Crushers	Saquon Barkley	RB	PHI
5	49	Claremont Crushers	Mark Andrews	TE	BAL
6	72	Claremont Crushers	Jordan Love	QB	GB
7	73	Claremont Crushers	DeVonta Smith	WR	PHI
8	96	Claremont Crushers	James Cook	RB	BUF
9	97	Claremont Crushers	Jaylen Warren	RB	PIT
10	120	Claremont Crushers	Romeo Doubs	WR	GB
11	121	Claremont Crushers	Dallas Cowboys	DEF	DAL
12	144	Claremont Crushers	Jake Moody	K	SF
13	145	Claremont Crushers	Tyler Allgeier	RB	ATL
14	168	Claremont Crushers	Jameson Williams	WR	DET
15	169	Claremont Crushers	Gus Edwards	RB	LAC
16	192	Claremont Crushers	Dalton Schultz	TE	HOU
