Item	Category	Quantity	Unit	Location	Restock
00 flour (Caputo)	Baking	2	kg	Pantry	When below 1 kg
Semolina flour	Baking	1	kg	Pantry	Monthly
Canned San Marzano tomatoes	Italian	8	cans	Pantry	Costco run
Extra virgin olive oil	Oils	1.5	L	Pantry	Low
Garlic	Produce	2	heads	Counter	Weekly
Basmati rice	Indian	5	kg	Pantry	OK
Toor dal	Indian	1	kg	Pantry	Refill
Garam masala	Spices	1	jar	Spice rack	OK
Cumin seeds	Spices	1	jar	Spice rack	OK
Littleneck clams	Seafood	0	lb	Freezer	Buy fresh for vongole
Pancetta	Italian	0.5	lb	Fridge	Low
Parmigiano Reggiano	Cheese	1	wedge	Fridge	Note: aged, migraine trigger, Priya's
Mixed nuts	Snacks	2	bags	Pantry	Gym snack
Hummus	Snacks	1	tub	Fridge	Weekly
Protein bars	Snacks	12	bars	Pantry	Pre-gym
Coffee beans (medium roast)	Beverages	1	kg	Pantry	Weekly grind
IPA (local)	Beverages	6	cans	Fridge	Moderate, 2-3/wk
Magnesium glycinate	Supplements	1	bottle	Cabinet	Reorder at 1 wk left
