Artist	Album	Year	Format	Condition	Acquired	Notes
Bruce Springsteen	Born to Run	1975	LP, reissue	Near Mint	2024-03-11	Cornerstone of the shelf
Bruce Springsteen	Darkness on the Edge of Town	1978	LP, original	Very Good+	2024-05-02	Estate sale find
Bruce Springsteen	The River	1980	2xLP	Near Mint	2024-09-20	
Bruce Springsteen	Nebraska	1982	LP	Very Good+	2025-01-15	Quiet night record
Bruce Springsteen	Born in the U.S.A.	1984	LP	Mint	2024-12-25	Gift from Priya
Southside Johnny & the Asbury Jukes	Hearts of Stone	1978	LP	Very Good	2025-02-08	Jersey shore sound
The Gaslight Anthem	The '59 Sound	2008	LP, reissue	Near Mint	2025-04-19	
Patti Smith	Horses	1975	LP, reissue	Near Mint	2025-05-30	Jersey native
Frank Sinatra	In the Wee Small Hours	1955	LP	Good+	2024-11-02	Hoboken's own
The Roots	Things Fall Apart	1999	2xLP	Near Mint	2025-06-14	
Whitney Houston	Whitney Houston	1985	LP	Very Good	2025-07-22	Newark legend
Bon Jovi	Slippery When Wet	1986	LP	Very Good+	2025-08-10	
Miles Davis	Kind of Blue	1959	LP, reissue	Mint	2025-10-05	Sunday morning
Bruce Springsteen	The Wild, the Innocent & the E Street Shuffle	1973	LP	Very Good	2025-11-18	
Various	The Concert for New York City	2001	2xLP	Near Mint	2025-12-12	
