Title	Author	Genre	Started	Finished	Rating	Notes
The Lincoln Highway	Amor Towles	Fiction	2025-01-08	2025-01-26	4.5	Slow start, big payoff
The Power Broker	Robert Caro	History/Politics	2025-02-02	2025-03-30	5	Took two months, worth it
Defending Jacob	William Landay	Legal Thriller	2025-04-05	2025-04-19	4	Ending split the book club
The Splendid and the Vile	Erik Larson	History	2025-05-01	2025-05-21	4.5	Churchill, vivid
Presumed Innocent	Scott Turow	Legal Thriller	2025-06-10	2025-06-24	5	Re-read, still the best
Chip War	Chris Miller	Nonfiction	2025-07-15	2025-08-04	4	Priya recommended
The Guardians	John Grisham	Legal Thriller	2025-09-02	2025-09-12	3.5	Comfort read
Team of Rivals	Doris Kearns Goodwin	History/Politics	2025-10-01	2025-11-08	5	Long, excellent
The Lincoln Lawyer	Michael Connelly	Legal Thriller	2025-11-15	2025-11-27	4	Haller is fun
Empire of Pain	Patrick Radden Keefe	Nonfiction	2025-12-03	2025-12-29	4.5	Infuriating, well done
The Trial	Franz Kafka	Fiction	2026-01-05	2026-01-18	3.5	Hits different as a litigator
The Arbitration	Thomas Kessler	Legal Thriller	2026-02-09			Currently reading
