id,board_id,name,state,start_date,end_date,goal
501,1,FAC Sprint Dec,active,2026-12-01,2026-12-19,Room reallocation and freeze rollout
502,1,FAC Sprint Nov,closed,2026-11-10,2026-11-28,November facilities backlog
503,2,OPS Sprint Dec,active,2026-12-01,2026-12-19,Operations rollout
603,2,OPS Sprint 3,future,2025-09-22,2025-10-05,Operations backlog window 3
604,1,OPS Sprint 4,future,2025-09-29,2025-10-12,Operations backlog window 4
605,2,OPS Sprint 5,future,2025-10-06,2025-10-19,Operations backlog window 5
606,2,OPS Sprint 6,closed,2025-10-13,2025-10-26,Operations backlog window 6
607,1,OPS Sprint 7,future,2025-10-20,2025-11-02,Operations backlog window 7
608,1,OPS Sprint 8,closed,2025-10-27,2025-11-09,Operations backlog window 8
609,2,OPS Sprint 9,closed,2025-11-03,2025-11-16,Operations backlog window 9
610,2,OPS Sprint 10,closed,2025-11-10,2025-11-23,Operations backlog window 10
611,1,OPS Sprint 11,future,2025-11-17,2025-11-30,Operations backlog window 11
612,1,OPS Sprint 12,closed,2025-11-24,2025-12-07,Operations backlog window 12
613,2,OPS Sprint 13,closed,2025-12-01,2025-12-14,Operations backlog window 13
614,1,OPS Sprint 14,future,2025-12-08,2025-12-21,Operations backlog window 14
615,1,OPS Sprint 15,future,2025-12-15,2025-12-28,Operations backlog window 15
616,2,OPS Sprint 16,closed,2025-12-22,2026-01-04,Operations backlog window 16
617,2,OPS Sprint 17,future,2025-12-29,2026-01-11,Operations backlog window 17
618,2,OPS Sprint 18,future,2026-01-05,2026-01-18,Operations backlog window 18
619,2,OPS Sprint 19,future,2026-01-12,2026-01-25,Operations backlog window 19
620,1,OPS Sprint 20,future,2026-01-19,2026-02-01,Operations backlog window 20
621,1,OPS Sprint 21,future,2026-01-26,2026-02-08,Operations backlog window 21
622,2,OPS Sprint 22,closed,2026-02-02,2026-02-15,Operations backlog window 22
623,1,OPS Sprint 23,closed,2026-02-09,2026-02-22,Operations backlog window 23
624,2,OPS Sprint 24,future,2026-02-16,2026-03-01,Operations backlog window 24
625,2,OPS Sprint 25,closed,2026-02-23,2026-03-08,Operations backlog window 25
626,1,OPS Sprint 26,future,2026-03-02,2026-03-15,Operations backlog window 26
627,1,OPS Sprint 27,future,2026-03-09,2026-03-22,Operations backlog window 27
628,2,OPS Sprint 28,closed,2026-03-16,2026-03-29,Operations backlog window 28
629,2,OPS Sprint 29,closed,2026-03-23,2026-04-05,Operations backlog window 29
630,1,OPS Sprint 30,closed,2026-03-30,2026-04-12,Operations backlog window 30
631,1,OPS Sprint 31,closed,2026-04-06,2026-04-19,Operations backlog window 31
632,2,OPS Sprint 32,closed,2026-04-13,2026-04-26,Operations backlog window 32
633,2,OPS Sprint 33,closed,2026-04-20,2026-05-03,Operations backlog window 33
634,1,OPS Sprint 34,future,2026-04-27,2026-05-10,Operations backlog window 34
635,1,OPS Sprint 35,closed,2026-05-04,2026-05-17,Operations backlog window 35
636,2,OPS Sprint 36,closed,2026-05-11,2026-05-24,Operations backlog window 36
637,1,OPS Sprint 37,closed,2026-05-18,2026-05-31,Operations backlog window 37
