id,createdTime,Name,Status,Project,EstimateHours,Done
recTask0001,2026-09-15T08:00:00.000Z,Muck stalls,To Do,CBRA season travel budget,2.58,false
recTask0002,2026-09-15T08:00:00.000Z,Muck stalls,In Progress,Vaccine inventory audit,3.88,false
recTask0003,2026-09-15T08:00:00.000Z,Email Dr. Whitfield report,To Do,CBRA season travel budget,3.16,false
recTask0004,2026-09-15T08:00:00.000Z,Order joint supplement,Blocked,Vaccine inventory audit,0.88,false
recTask0005,2026-09-15T08:00:00.000Z,Restock vet kit in truck,Blocked,GRE March 2027 ramp,1.94,false
recTask0006,2026-09-15T08:00:00.000Z,GRE quant set,Done,Hikari conditioning block,3.91,true
recTask0007,2026-09-15T08:00:00.000Z,Draft bodywork invoice,To Do,Home maintenance,2.29,false
recTask0008,2026-09-15T08:00:00.000Z,Reconcile green notebook,Blocked,Home maintenance,0.37,false
recTask0009,2026-09-15T08:00:00.000Z,Tape race video for Kenji,To Do,Hikari conditioning block,3.0,false
recTask0010,2026-09-15T08:00:00.000Z,Trim Kaze's nails,To Do,CBRA season travel budget,2.96,false
recTask0011,2026-09-15T08:00:00.000Z,Submit CBRA entry,To Do,Vaccine inventory audit,3.12,false
recTask0012,2026-09-15T08:00:00.000Z,Call Kenji,Blocked,CBRA season travel budget,2.57,false
recTask0013,2026-09-15T08:00:00.000Z,Reconcile green notebook,In Progress,CBRA season travel budget,2.96,false
recTask0014,2026-09-15T08:00:00.000Z,Buy diesel,To Do,Hikari conditioning block,1.29,false
recTask0015,2026-09-15T08:00:00.000Z,Tape race video for Kenji,Done,Home maintenance,0.43,true
recTask0016,2026-09-15T08:00:00.000Z,Update vaccine PO tracker,Done,GRE March 2027 ramp,1.67,true
recTask0017,2026-09-15T08:00:00.000Z,Email Dr. Whitfield report,To Do,Vaccine inventory audit,2.23,false
recTask0018,2026-09-15T08:00:00.000Z,GRE quant set,To Do,CBRA season travel budget,1.81,false
recTask0019,2026-09-15T08:00:00.000Z,Restock vet kit in truck,Done,Vaccine inventory audit,3.17,true
recTask0020,2026-09-15T08:00:00.000Z,Update vaccine PO tracker,To Do,Hikari conditioning block,0.41,false
recTask0021,2026-09-15T08:00:00.000Z,Buy diesel,To Do,Home maintenance,1.16,false
recTask0022,2026-09-15T08:00:00.000Z,Trim Kaze's nails,Done,CBRA season travel budget,2.51,true
recTask0023,2026-09-15T08:00:00.000Z,GRE quant set,In Progress,Home maintenance,3.9,false
recTask0024,2026-09-15T08:00:00.000Z,Submit CBRA entry,Done,Home maintenance,2.65,true
recTask0025,2026-09-15T08:00:00.000Z,Log Hikari vitals,Blocked,GRE March 2027 ramp,3.82,false
recTask0026,2026-09-15T08:00:00.000Z,Buy diesel,To Do,CBRA season travel budget,1.92,false
recTask0027,2026-09-15T08:00:00.000Z,Submit CBRA entry,To Do,Hikari conditioning block,3.99,false
recTask0028,2026-09-15T08:00:00.000Z,Update vaccine PO tracker,Done,GRE March 2027 ramp,2.28,true
recTask0029,2026-09-15T08:00:00.000Z,Muck stalls,Blocked,Home maintenance,2.11,false
recTask0030,2026-09-15T08:00:00.000Z,Tape race video for Kenji,Done,Vaccine inventory audit,2.43,true
recTask0031,2026-09-15T08:00:00.000Z,Buy diesel,Done,Home maintenance,2.98,true
recTask0032,2026-09-15T08:00:00.000Z,Email Dr. Whitfield report,Done,Vaccine inventory audit,0.8,true
recTask0033,2026-09-15T08:00:00.000Z,Reconcile green notebook,Done,Hikari conditioning block,2.73,true
recTask0034,2026-09-15T08:00:00.000Z,Restock vet kit in truck,In Progress,CBRA season travel budget,1.41,false
recTask0035,2026-09-15T08:00:00.000Z,Buy diesel,Blocked,Vaccine inventory audit,3.32,false
recTask0036,2026-09-15T08:00:00.000Z,Pay truck note,To Do,Home maintenance,0.49,false
recTask0037,2026-09-15T08:00:00.000Z,Log Hikari vitals,Blocked,Hikari conditioning block,0.76,false
recTask0038,2026-09-15T08:00:00.000Z,Foam roll + PT shoulder,In Progress,Home maintenance,1.65,false
recTask0039,2026-09-15T08:00:00.000Z,Draft bodywork invoice,To Do,CBRA season travel budget,3.57,false
recTask0040,2026-09-15T08:00:00.000Z,Worm Sage,Blocked,Vaccine inventory audit,2.19,false
recTask0041,2026-09-15T08:00:00.000Z,Draft bodywork invoice,In Progress,Home maintenance,1.44,false
recTask0042,2026-09-15T08:00:00.000Z,Muck stalls,To Do,Hikari conditioning block,0.99,false
recTask0043,2026-09-15T08:00:00.000Z,Order joint supplement,Blocked,GRE March 2027 ramp,2.87,false
recTask0044,2026-09-15T08:00:00.000Z,Confirm farrier date,Done,Hikari conditioning block,1.07,true
recTask0045,2026-09-15T08:00:00.000Z,Buy diesel,Done,Hikari conditioning block,1.75,true
recTask0046,2026-09-15T08:00:00.000Z,Trim Kaze's nails,Done,Vaccine inventory audit,0.28,true
recTask0047,2026-09-15T08:00:00.000Z,Reconcile green notebook,To Do,Vaccine inventory audit,2.73,false
recTask0048,2026-09-15T08:00:00.000Z,Foam roll + PT shoulder,Blocked,CBRA season travel budget,0.37,false
recTask0049,2026-09-15T08:00:00.000Z,Restock vet kit in truck,In Progress,GRE March 2027 ramp,2.05,false
recTask0050,2026-09-15T08:00:00.000Z,Submit CBRA entry,Blocked,CBRA season travel budget,3.89,false
recTask0051,2026-09-15T08:00:00.000Z,Trim Kaze's nails,To Do,GRE March 2027 ramp,0.85,false
recTask0052,2026-09-15T08:00:00.000Z,Reconcile green notebook,To Do,Home maintenance,3.86,false
recTask0053,2026-09-15T08:00:00.000Z,Buy diesel,To Do,CBRA season travel budget,1.28,false
recTask0054,2026-09-15T08:00:00.000Z,Pack trailer,In Progress,GRE March 2027 ramp,0.7,false
recTask0055,2026-09-15T08:00:00.000Z,Call Kenji,Done,CBRA season travel budget,2.91,true
recTask0056,2026-09-15T08:00:00.000Z,Log Hikari vitals,In Progress,GRE March 2027 ramp,3.03,false
recTask0057,2026-09-15T08:00:00.000Z,Worm Sage,In Progress,Vaccine inventory audit,1.81,false
recTask0058,2026-09-15T08:00:00.000Z,Log Hikari vitals,Blocked,Hikari conditioning block,2.15,false
recTask0059,2026-09-15T08:00:00.000Z,Email Dr. Whitfield report,To Do,GRE March 2027 ramp,0.95,false
recTask0060,2026-09-15T08:00:00.000Z,Draft bodywork invoice,Done,Vaccine inventory audit,0.76,true
recTask0061,2026-09-15T08:00:00.000Z,Pay truck note,To Do,Home maintenance,1.39,false
recTask0062,2026-09-15T08:00:00.000Z,Buy diesel,In Progress,Vaccine inventory audit,3.75,false
recTask0063,2026-09-15T08:00:00.000Z,Pay truck note,Blocked,Hikari conditioning block,0.31,false
recTask0064,2026-09-15T08:00:00.000Z,Muck stalls,Blocked,CBRA season travel budget,3.76,false
recTask0065,2026-09-15T08:00:00.000Z,Trim Kaze's nails,Done,GRE March 2027 ramp,1.82,true
recTask0066,2026-09-15T08:00:00.000Z,Schedule oil change,Blocked,Hikari conditioning block,0.41,false
recTask0067,2026-09-15T08:00:00.000Z,Email Dr. Whitfield report,Blocked,Hikari conditioning block,1.81,false
recTask0068,2026-09-15T08:00:00.000Z,Schedule oil change,Blocked,CBRA season travel budget,3.81,false
recTask0069,2026-09-15T08:00:00.000Z,GRE quant set,To Do,Vaccine inventory audit,0.72,false
recTask0070,2026-09-15T08:00:00.000Z,Submit CBRA entry,Done,Hikari conditioning block,1.78,true
recTask0071,2026-09-15T08:00:00.000Z,Worm Sage,In Progress,CBRA season travel budget,2.35,false
recTask0072,2026-09-15T08:00:00.000Z,Muck stalls,Done,CBRA season travel budget,0.75,true
recTask0073,2026-09-15T08:00:00.000Z,Order joint supplement,Done,Home maintenance,0.35,true
recTask0074,2026-09-15T08:00:00.000Z,Tape race video for Kenji,To Do,GRE March 2027 ramp,1.8,false
recTask0075,2026-09-15T08:00:00.000Z,Email Dr. Whitfield report,In Progress,Vaccine inventory audit,3.28,false
recTask0076,2026-09-15T08:00:00.000Z,Foam roll + PT shoulder,Done,Hikari conditioning block,3.33,true
recTask0077,2026-09-15T08:00:00.000Z,Foam roll + PT shoulder,Done,Home maintenance,3.48,true
recTask0078,2026-09-15T08:00:00.000Z,Draft bodywork invoice,Done,GRE March 2027 ramp,3.78,true
recTask0079,2026-09-15T08:00:00.000Z,Update vaccine PO tracker,Done,Vaccine inventory audit,2.16,true
recTask0080,2026-09-15T08:00:00.000Z,Schedule oil change,In Progress,Home maintenance,2.03,false
recTask0081,2026-09-15T08:00:00.000Z,Pack trailer,Done,GRE March 2027 ramp,1.9,true
recTask0082,2026-09-15T08:00:00.000Z,Reconcile green notebook,Blocked,GRE March 2027 ramp,1.27,false
recTask0083,2026-09-15T08:00:00.000Z,Order joint supplement,In Progress,Home maintenance,3.42,false
recTask0084,2026-09-15T08:00:00.000Z,Worm Sage,Blocked,Home maintenance,0.26,false
recTask0085,2026-09-15T08:00:00.000Z,Call Kenji,In Progress,GRE March 2027 ramp,1.87,false
recTask0086,2026-09-15T08:00:00.000Z,Submit CBRA entry,Done,CBRA season travel budget,3.08,true
recTask0087,2026-09-15T08:00:00.000Z,Tape race video for Kenji,Blocked,Vaccine inventory audit,1.46,false
recTask0088,2026-09-15T08:00:00.000Z,Reconcile green notebook,Blocked,GRE March 2027 ramp,1.3,false
recTask0089,2026-09-15T08:00:00.000Z,Trim Kaze's nails,Done,Vaccine inventory audit,3.61,true
recTask0090,2026-09-15T08:00:00.000Z,Confirm farrier date,To Do,CBRA season travel budget,3.87,false
recTask0091,2026-09-15T08:00:00.000Z,Pay truck note,Blocked,GRE March 2027 ramp,3.42,false
recTask0092,2026-09-15T08:00:00.000Z,Log Hikari vitals,Done,CBRA season travel budget,0.64,true
recTask0093,2026-09-15T08:00:00.000Z,Buy diesel,To Do,Hikari conditioning block,1.18,false
recTask0094,2026-09-15T08:00:00.000Z,Muck stalls,To Do,Vaccine inventory audit,1.94,false
recTask0095,2026-09-15T08:00:00.000Z,Submit CBRA entry,Done,GRE March 2027 ramp,0.26,true
recTask0096,2026-09-15T08:00:00.000Z,GRE quant set,In Progress,Home maintenance,2.14,false
recTask0097,2026-09-15T08:00:00.000Z,Call Kenji,Done,Home maintenance,1.09,true
recTask0098,2026-09-15T08:00:00.000Z,Pay truck note,Done,Hikari conditioning block,2.41,true
recTask0099,2026-09-15T08:00:00.000Z,Restock vet kit in truck,To Do,GRE March 2027 ramp,1.2,false
recTask0100,2026-09-15T08:00:00.000Z,GRE quant set,Blocked,Home maintenance,2.13,false
recTask0101,2026-09-15T08:00:00.000Z,Call Kenji,In Progress,Vaccine inventory audit,1.64,false
recTask0102,2026-09-15T08:00:00.000Z,Update vaccine PO tracker,Done,Hikari conditioning block,2.82,true
recTask0103,2026-09-15T08:00:00.000Z,Pay truck note,Blocked,GRE March 2027 ramp,2.77,false
recTask0104,2026-09-15T08:00:00.000Z,Pay truck note,Done,Hikari conditioning block,0.61,true
recTask0105,2026-09-15T08:00:00.000Z,Worm Sage,Done,Home maintenance,3.33,true
recTask0106,2026-09-15T08:00:00.000Z,Restock vet kit in truck,To Do,Home maintenance,1.49,false
recTask0107,2026-09-15T08:00:00.000Z,Foam roll + PT shoulder,In Progress,Hikari conditioning block,1.81,false
recTask0108,2026-09-15T08:00:00.000Z,Trim Kaze's nails,To Do,Vaccine inventory audit,1.51,false
recTask0109,2026-09-15T08:00:00.000Z,Draft bodywork invoice,In Progress,Vaccine inventory audit,2.01,false
recTask0110,2026-09-15T08:00:00.000Z,Buy diesel,Done,Vaccine inventory audit,2.28,true
recTask0111,2026-09-15T08:00:00.000Z,Reconcile green notebook,Done,Hikari conditioning block,2.43,true
recTask0112,2026-09-15T08:00:00.000Z,Tape race video for Kenji,To Do,Home maintenance,3.2,false
recTask0113,2026-09-15T08:00:00.000Z,Foam roll + PT shoulder,Blocked,Vaccine inventory audit,2.16,false
recTask0114,2026-09-15T08:00:00.000Z,GRE quant set,Done,Vaccine inventory audit,3.82,true
recTask0115,2026-09-15T08:00:00.000Z,Email Dr. Whitfield report,Done,Hikari conditioning block,0.76,true
recTask0116,2026-09-15T08:00:00.000Z,GRE quant set,In Progress,GRE March 2027 ramp,0.41,false
recTask0117,2026-09-15T08:00:00.000Z,Confirm farrier date,Done,GRE March 2027 ramp,3.79,true
recTask0118,2026-09-15T08:00:00.000Z,Schedule oil change,In Progress,Vaccine inventory audit,3.64,false
recTask0119,2026-09-15T08:00:00.000Z,Email Dr. Whitfield report,Done,GRE March 2027 ramp,3.0,true
recTask0120,2026-09-15T08:00:00.000Z,Draft bodywork invoice,Blocked,GRE March 2027 ramp,3.68,false
recTask0121,2026-09-15T08:00:00.000Z,Confirm farrier date,Done,Vaccine inventory audit,3.89,true
recTask0122,2026-09-15T08:00:00.000Z,Foam roll + PT shoulder,In Progress,Hikari conditioning block,2.48,false
recTask0123,2026-09-15T08:00:00.000Z,Muck stalls,Done,CBRA season travel budget,3.26,true
recTask0124,2026-09-15T08:00:00.000Z,Foam roll + PT shoulder,Done,Home maintenance,2.96,true
recTask0125,2026-09-15T08:00:00.000Z,Update vaccine PO tracker,In Progress,Hikari conditioning block,2.77,false
recTask0126,2026-09-15T08:00:00.000Z,Tape race video for Kenji,In Progress,Vaccine inventory audit,3.21,false
