name,namespace,status,phase,node,pod_ip,image,container_name,restart_count,ready,created_time
web-cfcd2-cfcd2,default,Running,Running,node-1,10.10.1.1,registry.windbridge-partners.local/web:1.0.0,web,1,true,2025-03-15T10:30:00Z
api-d3d94-f8991,default,Running,Running,node-1,10.10.2.1,registry.windbridge-partners.local/api:1.0.1,api,1,true,2025-03-15T10:30:00Z
api-6512b-38b3e,default,Running,Running,node-2,10.10.2.2,registry.windbridge-partners.local/api:1.0.1,api,1,true,2025-03-15T10:30:00Z
api-c20ad-ec895,default,Running,Running,node-1,10.10.2.3,registry.windbridge-partners.local/api:1.0.1,api,1,true,2025-03-15T10:30:00Z
worker-98f13-3644a,platform,Running,Running,node-1,10.10.3.1,registry.windbridge-partners.local/worker:1.0.2,worker,3,true,2025-03-15T10:30:00Z
worker-3c59d-757b5,platform,Running,Running,node-2,10.10.3.2,registry.windbridge-partners.local/worker:1.0.2,worker,2,true,2025-03-15T10:30:00Z
scheduler-34173-94f6d,platform,Running,Running,node-1,10.10.4.1,registry.windbridge-partners.local/scheduler:1.0.3,scheduler,3,true,2025-03-15T10:30:00Z
scheduler-c16a5-34ed0,platform,Running,Running,node-2,10.10.4.2,registry.windbridge-partners.local/scheduler:1.0.3,scheduler,2,true,2025-03-15T10:30:00Z
billing-d6459-18d80,platform,Running,Running,node-1,10.10.5.1,registry.windbridge-partners.local/billing:1.0.4,billing,1,true,2025-03-15T10:30:00Z
billing-3416a-816b1,platform,Running,Running,node-2,10.10.5.2,registry.windbridge-partners.local/billing:1.0.4,billing,1,true,2025-03-15T10:30:00Z
search-c0c7c-cee63,platform,Running,Running,node-1,10.10.6.1,registry.windbridge-partners.local/search:1.0.5,search,0,true,2025-03-15T10:30:00Z
search-28380-5b69b,platform,Running,Running,node-2,10.10.6.2,registry.windbridge-partners.local/search:1.0.5,search,0,true,2025-03-15T10:30:00Z
notifications-072b0-d490d,platform,Running,Running,node-1,10.10.7.1,registry.windbridge-partners.local/notifications:1.0.6,notifications,2,true,2025-03-15T10:30:00Z
analytics-7cbbc-e5841,platform,Running,Running,node-1,10.10.8.1,registry.windbridge-partners.local/analytics:1.0.7,analytics,2,true,2025-03-15T10:30:00Z
analytics-e2c42-b4a52,platform,Running,Running,node-2,10.10.8.2,registry.windbridge-partners.local/analytics:1.0.7,analytics,0,true,2025-03-15T10:30:00Z
auth-f033a-7a539,platform,Running,Running,node-1,10.10.9.1,registry.windbridge-partners.local/auth:1.0.8,auth,0,true,2025-03-15T10:30:00Z
ingestor-86139-acf4b,platform,Running,Running,node-1,10.10.10.1,registry.windbridge-partners.local/ingestor:1.0.9,ingestor,2,true,2025-03-15T10:30:00Z
ingestor-54229-892c9,platform,Running,Running,node-2,10.10.10.2,registry.windbridge-partners.local/ingestor:1.0.9,ingestor,3,true,2025-03-15T10:30:00Z
ingestor-92cc2-b6a10,platform,Running,Running,node-1,10.10.10.3,registry.windbridge-partners.local/ingestor:1.0.9,ingestor,1,true,2025-03-15T10:30:00Z
db-pod-3deeb,mrna,Running,Running,node-19,10.244.176.193,node:20-alpine,db,1,true,2026-02-07T00:00:00Z
worker-pod-6a764,ivft,Running,Running,node-5,10.244.24.89,alpine:3.19,worker,0,true,2026-03-27T00:00:00Z
queue-pod-9d479,data,Running,Running,node-10,10.244.155.138,envoyproxy/envoy:v1.28,queue,3,true,2026-09-13T00:00:00Z
export-pod-ecfd2,platform,Running,Running,node-6,10.244.76.11,nginx:1.25,export,0,true,2026-10-05T00:00:00Z
queue-pod-c9d88,dataviz,Running,Running,node-15,10.244.124.249,alpine:3.19,queue,2,true,2026-01-21T00:00:00Z
gateway-pod-0f962,biostat,Running,Running,node-22,10.244.89.55,postgres:16,gateway,0,true,2026-09-04T00:00:00Z
metrics-pod-935b0,kube-system,Running,Running,node-4,10.244.177.77,nginx:1.25,metrics,1,true,2026-01-04T00:00:00Z
web-pod-40416,ml,Running,Running,node-1,10.244.122.185,postgres:16,web,3,true,2026-08-12T00:00:00Z
gateway-pod-3a7b5,kube-system,Running,Running,node-6,10.244.160.226,node:20-alpine,gateway,0,true,2026-07-08T00:00:00Z
etl-pod-44024,reporting,Running,Running,node-1,10.244.243.233,postgres:16,etl,1,true,2026-04-15T00:00:00Z
cache-pod-b9e4a,clinical,Running,Running,node-20,10.244.208.165,nginx:1.25,cache,2,true,2026-01-23T00:00:00Z
api-pod-651c8,kube-system,Running,Running,node-2,10.244.171.162,node:20-alpine,api,1,true,2026-06-13T00:00:00Z
viz-pod-a9508,default,Running,Running,node-12,10.244.245.180,nginx:1.25,viz,0,true,2026-07-04T00:00:00Z
worker-pod-7673f,vault,Running,Running,node-22,10.244.204.158,grafana/grafana:10.2,worker,3,true,2026-05-04T00:00:00Z
auth-pod-f4d13,argocd,Running,Running,node-10,10.244.80.166,node:20-alpine,auth,2,true,2026-09-15T00:00:00Z
queue-pod-66cee,tracing,Running,Running,node-18,10.244.44.70,node:20-alpine,queue,2,true,2026-05-26T00:00:00Z
web-pod-cb30e,vault,Running,Running,node-2,10.244.226.230,prom/prometheus:v2.48,web,1,true,2026-02-22T00:00:00Z
worker-pod-1ca27,bpan,Running,Running,node-5,10.244.220.226,postgres:16,worker,2,true,2026-03-21T00:00:00Z
ingest-pod-188cf,prod,Running,Running,node-12,10.244.109.118,prom/prometheus:v2.48,ingest,3,true,2026-06-10T00:00:00Z
ingest-pod-8d8b1,bpan,Running,Running,node-4,10.244.149.100,postgres:16,ingest,0,true,2026-04-25T00:00:00Z
queue-pod-d57a3,qa,Running,Running,node-13,10.244.97.152,postgres:16,queue,0,true,2026-05-20T00:00:00Z
auth-pod-634e3,dataviz,Running,Running,node-21,10.244.86.219,nginx:1.25,auth,0,true,2026-02-14T00:00:00Z
export-pod-f2b96,ingress-nginx,Running,Running,node-18,10.244.250.72,nginx:1.25,export,1,true,2026-10-05T00:00:00Z
worker-pod-7f89d,grants,Running,Running,node-23,10.244.31.35,postgres:16,worker,0,true,2026-05-14T00:00:00Z
report-pod-f970d,ml,Running,Running,node-9,10.244.219.155,node:20-alpine,report,0,true,2026-07-20T00:00:00Z
db-pod-3f934,clinical,Running,Running,node-13,10.244.88.148,postgres:16,db,1,true,2026-09-21T00:00:00Z
