name,status,role,cpu_capacity,memory_capacity,kubelet_version,os_image,internal_ip,created_time
node-1,Ready,control-plane,4,16Gi,v1.28.4,Ubuntu 22.04.3 LTS,10.0.0.10,2024-01-15T09:00:00Z
node-2,Ready,worker,4,16Gi,v1.28.4,Ubuntu 22.04.3 LTS,10.0.0.11,2024-01-15T09:00:00Z
node-3,Ready,worker,4,16Gi,v1.28.4,Ubuntu 22.04.3 LTS,10.0.0.12,2024-01-15T09:00:00Z
node-4,Ready,worker,4,16777216Ki,v1.29.3,Ubuntu 22.04.4 LTS,10.0.254.126,2026-01-26T00:00:00Z
node-5,Ready,worker,16,16777216Ki,v1.29.3,Ubuntu 22.04.4 LTS,10.0.246.155,2026-09-23T00:00:00Z
node-6,Ready,worker,4,67108864Ki,v1.29.3,Ubuntu 22.04.4 LTS,10.0.246.104,2026-05-19T00:00:00Z
node-7,Ready,worker,4,33554432Ki,v1.29.3,Ubuntu 22.04.4 LTS,10.0.165.56,2026-01-06T00:00:00Z
node-8,Ready,worker,16,16777216Ki,v1.29.3,Ubuntu 22.04.4 LTS,10.0.118.228,2026-05-13T00:00:00Z
node-9,Ready,worker,8,67108864Ki,v1.29.3,Ubuntu 22.04.4 LTS,10.0.140.49,2026-01-24T00:00:00Z
node-10,Ready,worker,16,33554432Ki,v1.29.3,Ubuntu 22.04.4 LTS,10.0.77.168,2026-09-27T00:00:00Z
node-11,Ready,worker,4,16777216Ki,v1.29.3,Ubuntu 22.04.4 LTS,10.0.95.169,2026-06-24T00:00:00Z
node-12,Ready,worker,4,33554432Ki,v1.29.3,Ubuntu 22.04.4 LTS,10.0.205.138,2026-05-02T00:00:00Z
node-13,Ready,worker,4,16777216Ki,v1.29.3,Ubuntu 22.04.4 LTS,10.0.17.204,2026-06-22T00:00:00Z
node-14,Ready,worker,8,67108864Ki,v1.29.3,Ubuntu 22.04.4 LTS,10.0.202.128,2026-02-05T00:00:00Z
node-15,Ready,worker,4,67108864Ki,v1.29.3,Ubuntu 22.04.4 LTS,10.0.163.23,2026-06-21T00:00:00Z
node-16,Ready,worker,8,33554432Ki,v1.29.3,Ubuntu 22.04.4 LTS,10.0.201.167,2026-01-25T00:00:00Z
node-17,Ready,worker,16,16777216Ki,v1.29.3,Ubuntu 22.04.4 LTS,10.0.174.155,2026-07-26T00:00:00Z
node-18,Ready,worker,8,67108864Ki,v1.29.3,Ubuntu 22.04.4 LTS,10.0.55.123,2026-10-02T00:00:00Z
node-19,Ready,worker,16,16777216Ki,v1.29.3,Ubuntu 22.04.4 LTS,10.0.30.127,2026-02-26T00:00:00Z
node-20,Ready,worker,4,67108864Ki,v1.29.3,Ubuntu 22.04.4 LTS,10.0.246.48,2026-04-17T00:00:00Z
node-21,Ready,worker,4,16777216Ki,v1.29.3,Ubuntu 22.04.4 LTS,10.0.242.8,2026-02-26T00:00:00Z
node-22,Ready,worker,4,33554432Ki,v1.29.3,Ubuntu 22.04.4 LTS,10.0.1.37,2026-10-08T00:00:00Z
node-23,Ready,worker,4,67108864Ki,v1.29.3,Ubuntu 22.04.4 LTS,10.0.65.216,2026-09-09T00:00:00Z
