name,namespace,replicas,available_replicas,ready_replicas,updated_replicas,image,strategy,created_time
web,default,1,1,1,1,registry.windbridge-partners.local/web:1.0.0,RollingUpdate,2025-03-15T10:00:00Z
api,default,3,3,3,3,registry.windbridge-partners.local/api:1.0.1,RollingUpdate,2025-03-15T10:00:00Z
worker,platform,2,2,2,2,registry.windbridge-partners.local/worker:1.0.2,RollingUpdate,2025-03-15T10:00:00Z
scheduler,platform,2,2,2,2,registry.windbridge-partners.local/scheduler:1.0.3,RollingUpdate,2025-03-15T10:00:00Z
billing,platform,2,2,2,2,registry.windbridge-partners.local/billing:1.0.4,RollingUpdate,2025-03-15T10:00:00Z
search,platform,2,2,2,2,registry.windbridge-partners.local/search:1.0.5,RollingUpdate,2025-03-15T10:00:00Z
notifications,platform,1,1,1,1,registry.windbridge-partners.local/notifications:1.0.6,RollingUpdate,2025-03-15T10:00:00Z
analytics,platform,2,2,2,2,registry.windbridge-partners.local/analytics:1.0.7,RollingUpdate,2025-03-15T10:00:00Z
auth,platform,1,1,1,1,registry.windbridge-partners.local/auth:1.0.8,RollingUpdate,2025-03-15T10:00:00Z
ingestor,platform,3,3,3,3,registry.windbridge-partners.local/ingestor:1.0.9,RollingUpdate,2025-03-15T10:00:00Z
queue-deploy-1,biostat,2,2,2,2,prom/prometheus:v2.48,RollingUpdate,2026-02-17T00:00:00Z
worker-deploy-2,kube-system,2,2,2,2,postgres:16,RollingUpdate,2026-05-20T00:00:00Z
report-deploy-3,clinical,2,2,2,2,prom/prometheus:v2.48,RollingUpdate,2026-06-20T00:00:00Z
metrics-deploy-4,ml,4,4,4,4,postgres:16,RollingUpdate,2026-06-01T00:00:00Z
worker-deploy-5,prod,1,1,1,1,grafana/grafana:10.2,RollingUpdate,2026-05-09T00:00:00Z
auth-deploy-6,nejm,4,4,4,4,prom/prometheus:v2.48,RollingUpdate,2026-03-12T00:00:00Z
scheduler-deploy-7,dataviz,4,4,4,4,python:3.12-slim,RollingUpdate,2026-05-21T00:00:00Z
auth-deploy-8,argocd,2,2,2,2,alpine:3.19,RollingUpdate,2026-05-17T00:00:00Z
api-deploy-9,reporting,3,3,3,3,envoyproxy/envoy:v1.28,RollingUpdate,2026-01-07T00:00:00Z
cache-deploy-10,ivft,3,3,3,3,busybox:1.36,RollingUpdate,2026-03-01T00:00:00Z
api-deploy-11,kube-system,5,5,5,5,envoyproxy/envoy:v1.28,RollingUpdate,2026-06-20T00:00:00Z
api-deploy-12,platform,2,2,2,2,envoyproxy/envoy:v1.28,RollingUpdate,2026-01-22T00:00:00Z
auth-deploy-13,mrna,1,1,1,1,python:3.12-slim,RollingUpdate,2026-04-05T00:00:00Z
worker-deploy-14,argocd,2,2,2,2,prom/prometheus:v2.48,RollingUpdate,2026-03-25T00:00:00Z
db-deploy-15,biostat,4,4,4,4,prom/prometheus:v2.48,RollingUpdate,2026-03-19T00:00:00Z
ingest-deploy-16,monitoring,1,1,1,1,grafana/grafana:10.2,RollingUpdate,2026-04-16T00:00:00Z
report-deploy-17,monitoring,3,3,3,3,busybox:1.36,RollingUpdate,2026-10-03T00:00:00Z
scheduler-deploy-18,platform,5,5,5,5,redis:7,RollingUpdate,2026-04-27T00:00:00Z
web-deploy-19,ivft,4,4,4,4,node:20-alpine,RollingUpdate,2026-05-01T00:00:00Z
gateway-deploy-20,default,1,1,1,1,prom/prometheus:v2.48,RollingUpdate,2026-08-24T00:00:00Z
api-deploy-21,staging,4,4,4,4,python:3.12-slim,RollingUpdate,2026-05-01T00:00:00Z
db-deploy-22,bpan,2,2,2,2,busybox:1.36,RollingUpdate,2026-07-24T00:00:00Z
queue-deploy-23,mrna,1,1,1,1,postgres:16,RollingUpdate,2026-04-10T00:00:00Z
gateway-deploy-24,clinical,1,1,1,1,postgres:16,RollingUpdate,2026-03-15T00:00:00Z
gateway-deploy-25,mrna,1,1,1,1,prom/prometheus:v2.48,RollingUpdate,2026-08-07T00:00:00Z
etl-deploy-26,argocd,5,5,5,5,busybox:1.36,RollingUpdate,2026-02-08T00:00:00Z
etl-deploy-27,dataviz,2,2,2,2,postgres:16,RollingUpdate,2026-10-26T00:00:00Z
cache-deploy-28,qa,3,3,3,3,nginx:1.25,RollingUpdate,2026-03-12T00:00:00Z
ingest-deploy-29,prod,5,5,5,5,busybox:1.36,RollingUpdate,2026-06-16T00:00:00Z
auth-deploy-30,ivft,2,2,2,2,postgres:16,RollingUpdate,2026-09-12T00:00:00Z
gateway-deploy-31,nejm,4,4,4,4,prom/prometheus:v2.48,RollingUpdate,2026-06-23T00:00:00Z
worker-deploy-32,kube-system,3,3,3,3,envoyproxy/envoy:v1.28,RollingUpdate,2026-06-26T00:00:00Z
etl-deploy-33,biostat,5,5,5,5,node:20-alpine,RollingUpdate,2026-05-20T00:00:00Z
auth-deploy-34,platform,1,1,1,1,alpine:3.19,RollingUpdate,2026-09-23T00:00:00Z
auth-deploy-35,monitoring,4,4,4,4,node:20-alpine,RollingUpdate,2026-05-22T00:00:00Z
etl-deploy-36,vault,2,2,2,2,grafana/grafana:10.2,RollingUpdate,2026-01-06T00:00:00Z
