name,namespace,type,cluster_ip,external_ip,port,target_port,protocol,selector,created_time
web,default,LoadBalancer,10.20.1.1,203.0.113.10,80,8080,TCP,app=web,2024-02-01T09:00:00Z
api,default,ClusterIP,10.20.2.1,,81,8081,TCP,app=api,2024-02-01T09:00:00Z
worker,platform,ClusterIP,10.20.3.1,,82,8082,TCP,app=worker,2024-02-01T09:00:00Z
scheduler,platform,ClusterIP,10.20.4.1,,83,8083,TCP,app=scheduler,2024-02-01T09:00:00Z
billing,platform,ClusterIP,10.20.5.1,,84,8084,TCP,app=billing,2024-02-01T09:00:00Z
search,platform,ClusterIP,10.20.6.1,,85,8085,TCP,app=search,2024-02-01T09:00:00Z
notifications,platform,ClusterIP,10.20.7.1,,86,8086,TCP,app=notifications,2024-02-01T09:00:00Z
analytics,platform,ClusterIP,10.20.8.1,,87,8087,TCP,app=analytics,2024-02-01T09:00:00Z
auth,platform,ClusterIP,10.20.9.1,,88,8088,TCP,app=auth,2024-02-01T09:00:00Z
ingestor,platform,ClusterIP,10.20.10.1,,89,8089,TCP,app=ingestor,2024-02-01T09:00:00Z
auth-svc-1,ivft,ClusterIP,10.96.89.71,,8080,8080,TCP,app=auth-svc-1,2026-01-26T00:00:00Z
ingest-svc-2,prod,ClusterIP,10.96.239.212,,443,443,TCP,app=ingest-svc-2,2026-10-11T00:00:00Z
auth-svc-3,ingress-nginx,ClusterIP,10.96.130.5,,5432,5432,TCP,app=auth-svc-3,2026-08-19T00:00:00Z
metrics-svc-4,nejm,ClusterIP,10.96.137.67,,5432,5432,TCP,app=metrics-svc-4,2026-09-13T00:00:00Z
api-svc-5,biostat,ClusterIP,10.96.146.102,,3000,3000,TCP,app=api-svc-5,2026-09-13T00:00:00Z
report-svc-6,staging,ClusterIP,10.96.112.201,,80,80,TCP,app=report-svc-6,2026-06-24T00:00:00Z
scheduler-svc-7,data,ClusterIP,10.96.241.162,,5432,5432,TCP,app=scheduler-svc-7,2026-02-24T00:00:00Z
scheduler-svc-8,prod,ClusterIP,10.96.146.37,,9090,9090,TCP,app=scheduler-svc-8,2026-08-26T00:00:00Z
web-svc-9,ml,ClusterIP,10.96.4.54,,9090,9090,TCP,app=web-svc-9,2026-05-20T00:00:00Z
viz-svc-10,staging,ClusterIP,10.96.110.37,,8080,8080,TCP,app=viz-svc-10,2026-10-19T00:00:00Z
report-svc-11,dataviz,ClusterIP,10.96.58.51,,80,80,TCP,app=report-svc-11,2026-09-26T00:00:00Z
db-svc-12,default,ClusterIP,10.96.159.168,,6379,6379,TCP,app=db-svc-12,2026-06-11T00:00:00Z
web-svc-13,monitoring,ClusterIP,10.96.64.35,,3000,3000,TCP,app=web-svc-13,2026-06-19T00:00:00Z
gateway-svc-14,prod,ClusterIP,10.96.147.29,,8080,8080,TCP,app=gateway-svc-14,2026-02-20T00:00:00Z
etl-svc-15,ingress-nginx,ClusterIP,10.96.124.72,,5432,5432,TCP,app=etl-svc-15,2026-02-22T00:00:00Z
report-svc-16,analytics,ClusterIP,10.96.240.226,,8080,8080,TCP,app=report-svc-16,2026-10-23T00:00:00Z
export-svc-17,data,ClusterIP,10.96.140.227,,8080,8080,TCP,app=export-svc-17,2026-04-22T00:00:00Z
web-svc-18,qa,ClusterIP,10.96.2.97,,443,443,TCP,app=web-svc-18,2026-01-10T00:00:00Z
worker-svc-19,ph206,ClusterIP,10.96.22.166,,6379,6379,TCP,app=worker-svc-19,2026-03-09T00:00:00Z
viz-svc-20,ingress-nginx,ClusterIP,10.96.96.102,,80,80,TCP,app=viz-svc-20,2026-06-08T00:00:00Z
queue-svc-21,ph206,ClusterIP,10.96.62.141,,8080,8080,TCP,app=queue-svc-21,2026-09-19T00:00:00Z
api-svc-22,default,ClusterIP,10.96.55.212,,80,80,TCP,app=api-svc-22,2026-10-23T00:00:00Z
export-svc-23,dev,ClusterIP,10.96.229.48,,5432,5432,TCP,app=export-svc-23,2026-05-18T00:00:00Z
web-svc-24,clinical,ClusterIP,10.96.60.192,,9090,9090,TCP,app=web-svc-24,2026-06-24T00:00:00Z
worker-svc-25,staging,ClusterIP,10.96.126.191,,443,443,TCP,app=worker-svc-25,2026-06-20T00:00:00Z
ingest-svc-26,logging,ClusterIP,10.96.210.41,,9090,9090,TCP,app=ingest-svc-26,2026-07-03T00:00:00Z
scheduler-svc-27,ph206,ClusterIP,10.96.209.67,,3000,3000,TCP,app=scheduler-svc-27,2026-05-05T00:00:00Z
export-svc-28,grants,ClusterIP,10.96.54.39,,5432,5432,TCP,app=export-svc-28,2026-07-08T00:00:00Z
etl-svc-29,dataviz,ClusterIP,10.96.203.82,,80,80,TCP,app=etl-svc-29,2026-08-26T00:00:00Z
export-svc-30,logging,ClusterIP,10.96.21.116,,9090,9090,TCP,app=export-svc-30,2026-02-01T00:00:00Z
