partner_name,neighborhood_code,last_contact,status
Harbor Health Partners,NB-013,2026-07-10,active
Eastside Community Coalition,NB-006,2026-09-21,active
Baltimore Faith Network,NB-008,2026-07-13,lapsed
Druid Hill Wellness,NB-028,2026-06-13,lapsed
Patterson Park Clinic,NB-005,2026-07-20,active
Westside Mutual Aid,NB-012,2026-07-25,active
Cherry Hill Together,NB-039,2026-08-12,active
Pimlico Health Collective,NB-012,2026-09-06,active
Canton Neighbors United,NB-032,2026-06-03,active
Waverly Care Circle,NB-038,2026-07-07,active
