date,requests,delivered,opens,unique_opens,clicks,unique_clicks,bounces,spam_reports,unsubscribes
2024-03-01,401,390,243,222,46,39,5,0,1
2024-04-01,408,396,254,231,50,42,6,0,2
2024-05-01,415,402,265,240,34,45,2,0,3
2024-06-01,382,408,216,249,38,30,3,0,1
2024-07-01,389,376,227,203,42,33,4,0,2
2024-08-01,396,382,238,212,46,36,5,0,3
2024-09-01,403,388,249,221,50,39,6,0,1
2024-10-01,410,394,260,230,34,42,2,0,2
2024-11-01,417,400,211,239,38,45,3,0,3
2024-12-01,384,406,222,248,42,30,4,0,1
2025-01-01,387,378,221,204,38,33,3,0,2
2025-02-01,394,384,232,213,42,36,4,0,3
2025-03-01,401,390,243,222,46,39,5,0,1
2025-04-01,408,396,254,231,50,42,6,0,2
2025-05-01,415,402,265,240,34,45,2,0,3
2025-06-01,382,408,216,249,38,30,3,0,1
2025-07-01,389,376,227,203,42,33,4,0,2
2025-08-01,396,382,238,212,46,36,5,0,3
2025-09-01,403,388,249,221,50,39,6,0,1
2025-10-01,410,394,260,230,34,42,2,0,2
2025-11-01,417,400,211,239,38,45,3,0,3
2025-12-01,384,406,222,248,42,30,4,0,1
2026-01-01,387,378,221,204,38,33,3,0,2
2026-02-01,394,384,232,213,42,36,4,0,3
2026-03-01,401,390,243,222,46,39,5,0,1
2026-04-01,408,396,254,231,50,42,6,0,2
2026-05-01,415,402,265,240,34,45,2,0,3
2026-06-01,382,408,216,249,38,30,3,0,1
2026-07-01,389,376,227,203,42,33,4,0,2
2026-08-01,396,382,238,212,46,36,5,0,3
2026-09-01,403,388,249,221,50,39,6,0,1
2026-10-01,410,394,260,230,34,42,2,0,2
2026-11-01,417,400,211,239,38,45,3,0,3
2026-12-01,384,406,222,248,42,30,4,0,1
2027-01-01,387,378,221,204,38,33,3,0,2
2027-02-01,394,384,232,213,42,36,4,0,3
2027-03-01,401,390,243,222,46,39,5,0,1
