Title	Author	Genre	Date_Started	Date_Finished	Rating	Personal_Notes
The Poisonwood Bible	Barbara Kingsolver	Fiction	Nov 3 2024	Nov 28 2024	5/5	Reread. Congo missions and faith unraveling. Hit differently this time after ICU work.
Prodigal Summer	Barbara Kingsolver	Fiction	Dec 2 2024	Dec 24 2024	4/5	Beautiful and grounding. Read it slowly through December.
The Gift of Being Yourself	David Benner	Theology	Dec 26 2024	Jan 5 2025	5/5	Gave me language for a struggle I'd been carrying. Dog-eared half the pages.
Braving the Wilderness	Brene Brown	Self-Help / Memoir	Jan 6 2025	Jan 19 2025	4/5	Solid. Not her strongest but the chapter on collective pain was worth the book.
The Interior Castle	Teresa of Avila	Spirituality / Classic	Jan 20 2025	Feb 10 2025	5/5	Slow and rich. Read alongside morning pages. Transformative.
A Gentleman in Moscow	Amor Towles	Historical Fiction	Feb 11 2025	Mar 2 2025	5/5	Pure joy to read. Borrowed from Midtown Pages.
The Return of the Prodigal Son	Henri Nouwen	Theology	Mar 3 2025	Mar 16 2025	5/5	Third read. The father figure. Always find something new.
Abide with Me	Elizabeth Strout	Fiction	Mar 17 2025	Apr 1 2025	4/5	A pastor's grief. Read slowly. Some pages I had to set down.
Just Mercy	Bryan Stevenson	Memoir / Social Justice	Apr 2 2025	Apr 20 2025	5/5	Wept twice. Shared chapter four with Naomi.
A Ladder to the Sky	John Boyne	Literary Fiction	Apr 21 2025	May 4 2025	3/5	Compelling but deeply uncomfortable protagonist. Talked it through with Sandra.
Searching for Sunday	Rachel Held Evans	Memoir / Faith	May 5 2025	May 18 2025	5/5	This woman. Read it in three days. Ordered two copies as gifts.
Their Eyes Were Watching God	Zora Neale Hurston	Classic Fiction	May 19 2025	Jun 1 2025	5/5	For the third time. Never gets old. Janie's voice stays with you.
The Road Back to You	Ian Morgan Cron	Spirituality	Jun 2 2025	Jun 14 2025	4/5	Enneagram for church folks. I am a 2 with a very loud 1 wing.
Educated	Tara Westover	Memoir	Jun 15 2025	Jun 28 2025	5/5	Couldn't stop. The education and family dynamics. Thought of Marcus reading it.
Midnight in the Garden of Good and Evil	John Berendt	True Crime / Southern	Jun 29 2025	Jul 13 2025	4/5	Sandra's recommendation. Savannah Gothic. Enjoyed it more than expected.
Jesus and the Disinherited	Howard Thurman	Theology	Jul 14 2025	Jul 27 2025	5/5	Essential. This book should be required reading everywhere.
I Know Why the Caged Bird Sings	Maya Angelou	Memoir	Jul 28 2025	Aug 10 2025	5/5	Another annual reread. Angelou never fails.
The Unsettled	Ayana Mathis	Fiction	Aug 11 2025	Aug 25 2025	4/5	Memphis setting made it personal. The migration narrative hit home.
Walking with God through Pain and Suffering	Timothy Keller	Theology	Aug 26 2025	Sep 14 2025	4/5	Read in parallel with a difficult stretch on the palliative floor.
Homegoing	Yaa Gyasi	Historical Fiction	Sep 15 2025	Oct 1 2025	5/5	One of the best novels I've read. Shared it with Naomi.
Becoming	Michelle Obama	Memoir	Oct 2 2025	Oct 19 2025	5/5	Picked it back up. Obama's arc of identity feels relevant every reading.
Listening Below the Noise	Anne LeClaire	Spirituality	Oct 20 2025	Nov 2 2025	4/5	Short. About silence. Good for this season.
Anne of Green Gables	L.M. Montgomery	Classic Fiction	Nov 3 2025	Nov 16 2025	5/5	Read this with Naomi over her birthday visit. Pure comfort.
The Book of Ruth	Jane Hamilton	Literary Fiction	Nov 17 2025	Dec 1 2025	4/5	Rural Midwest darkness. Stayed with me.
The Healing	Jonathan Odell	Historical Fiction	Dec 2 2025	Dec 18 2025	5/5	Memphis historical novel, slavery and faith. Devastating and necessary.
The Night Gospel	Mark Scandrette	Spirituality	Dec 19 2025	Jan 3 2026	4/5	Holiday reading. Quiet and good.
Demon Copperhead	Barbara Kingsolver	Fiction	Jan 4 2026	Feb 1 2026	5/5	Her Pulitzer. Dickens retelling in Appalachia. Magnificent.
The Art of Losing	Kevin Young	Poetry	Feb 2 2026	Feb 28 2026	5/5	Grief poetry. Read alongside a difficult chaplaincy week.
