id,author_id,text,created_at,lang,reply_to_tweet_id,like_count,retweet_count,reply_count,quote_count
3001,2001,Shipped a 40% latency cut on our session store today. Turns out the bottleneck was a missing index. Classic.,2026-05-20T15:04:00.000Z,en,,412,88,23,5
3002,2002,Orbit CLI 2.0 is out. Faster cold starts and a brand new plugin system. Changelog in the thread.,2026-05-21T17:30:00.000Z,en,,1820,640,140,72
3003,2003,Replaced our cron-based reaper with an event-driven cleanup. Memory graphs are finally flat.,2026-05-22T09:12:00.000Z,en,,96,14,8,1
3004,2004,Reminder that color contrast is not optional. WCAG AA is the floor not the ceiling.,2026-05-22T13:40:00.000Z,en,,540,210,44,12
3005,2001,Hot take: most observability dashboards measure activity not health. Track SLOs instead.,2026-05-23T08:00:00.000Z,en,,734,182,67,19
3006,2006,New guide up: migrating to the Orbit plugin API without downtime. Link below.,2026-05-23T11:25:00.000Z,en,,388,121,15,9
3007,2003,@maya_dev totally agree on the SLO point. We gated our last rollout on p95 and it caught a regression.,2026-05-23T08:45:00.000Z,en,3005,52,3,2,0
3008,2005,On-call week starting. Pray for my pager.,2026-05-24T07:00:00.000Z,en,,143,6,31,0
3009,2002,We are hiring two senior backend engineers. Remote friendly. Apply via the careers page.,2026-05-24T16:10:00.000Z,en,,210,95,18,4
3010,2004,Finally migrated our design tokens to a single source of truth. No more drift between Figma and code.,2026-05-25T10:05:00.000Z,en,,302,58,22,7
