Date	Description	Category	Withdrawal	Deposit	Balance
2026-10-01	Opening balance	Opening	0.00	0.00	5842.16
2026-10-01	Payroll deposit, Community Care Health Center	Income	0.00	3100.00	8942.16
2026-10-01	Tithe, New Covenant Methodist Church	Giving	975.00	0.00	7967.16
2026-10-01	Support transfer to D Mitchell	Family	300.00	0.00	7667.16
2026-10-02	Pinnacle Home Lending loan 8840023117	Housing	2180.00	0.00	5487.16
2026-10-03	Woodlawn Market	Groceries	214.83	0.00	5272.33
2026-10-05	Utility autopay, Regional Energy	Utilities	318.44	0.00	4953.89
2026-10-06	Westbrook Academy tuition	Education	800.00	0.00	4153.89
2026-10-07	Fuel station, Liberty Heights	Transport	52.10	0.00	4101.79
2026-10-09	Harbour Dental Group copay	Health	45.00	0.00	4056.79
2026-10-10	Payroll deposit, Crestfield Power Systems	Income	0.00	2750.00	6806.79
2026-10-10	Marcus college contribution, Ridgewater	Education	500.00	0.00	6306.79
2026-10-12	Online course, chronic disease management	Career	149.00	0.00	6157.79
2026-10-13	Woodlawn Market	Groceries	186.27	0.00	5971.52
2026-10-15	Auto insurance, two vehicles	Insurance	240.00	0.00	5731.52
2026-10-15	Transfer to emergency fund, Meridian HYSA	Savings	800.00	0.00	4931.52
2026-10-17	Westbrook Academy debate booster donation	Family	60.00	0.00	4871.52
2026-10-18	Sunday lunch, Carver's Table Catonsville	Dining	78.40	0.00	4793.12
2026-10-20	Streaming service monthly	Streaming	15.49	0.00	4777.63
2026-10-20	Streaming add on monthly	Streaming	9.99	0.00	4767.64
2026-10-22	Lauren support fund transfer	Family	300.00	0.00	4467.64
2026-10-24	Hospitality committee supplies	Church	142.65	0.00	4324.99
2026-10-25	Payroll deposit, Community Care Health Center	Income	0.00	3100.00	7424.99
2026-10-26	Woodlawn Market	Groceries	203.91	0.00	7221.08
2026-10-27	Pharmacy, multivitamin and ibuprofen	Health	34.22	0.00	7186.86
2026-10-28	Brianna 529 plan contribution	Savings	400.00	0.00	6786.86
2026-10-29	Home maintenance fund transfer	Savings	300.00	0.00	6486.86
2026-10-30	Vacation fund transfer	Savings	200.00	0.00	6286.86
2026-10-31	Closing balance	Closing	0.00	0.00	6286.86
