Item	Aisle	Quantity	Have	Need	Note
Whole chicken	Meat	2	0	2	Lemon herb chicken Sunday
Beef chuck roast	Meat	1	0	1	Pot roast for family dinner
Catfish fillets	Seafood	4	0	4	Grilled Friday
Sharp cheddar	Dairy	2	1	1	Mac and cheese
Evaporated milk	Baking	6	2	4	Tea and mac and cheese
Elbow macaroni	Pasta	2	0	2	Mac and cheese
Cornmeal	Baking	1	0	1	Cornbread
Collard greens	Produce	3	0	3	Wash twice
Yellow onions	Produce	5	1	4	
Garlic	Produce	2	0	2	
Russet potatoes	Produce	1	0	1	Five pound bag
Carrots	Produce	1	0	1	Two pound bag
Long grain rice	Pantry	1	1	0	Fried rice gatherings
Black tea loose leaf	Beverage	1	0	1	Strong, mornings
Butter	Dairy	2	0	2	
Eggs	Dairy	2	1	1	Dozen each
All purpose flour	Baking	1	1	0	
Brown sugar	Baking	1	0	1	
Multivitamin	Pharmacy	1	0	1	Refill
Ibuprofen	Pharmacy	1	0	1	Knees
Dish soap	Household	2	0	2	
Paper towels	Household	1	0	1	Eight roll
