Title	Author	Category	Status	Priority
The Longevity Blueprint	Marcus Vellum	Longevity	Reading	High
The Generalist's Edge	Daniel Kirkwood	Business	Re-reading	Medium
The Bogleheads Guide to Investing	Taylor Larimore	Finance	Reference	High
Built to Move	Kelly Starrett	Mobility	Queued	High
Supertraining	Mel Siff	Performance	Queued	Medium
Range	David Epstein	Performance	Queued	Medium
The Psychology of Money	Morgan Housel	Finance	Queued	Medium
Endure	Alex Hutchinson	Performance	Queued	Low
Atomic Habits	James Clear	Habits	Finished	Low
Can't Hurt Me	David Goggins	Mindset	Finished	Low
