date	item	category	qty	unit_price	line_total	running_total	source
2025-09-08	Pixel brush asset pack	Game Dev	1	12.00	12.00	12.00	online store
2025-09-19	Cardstock for prints	Art Supplies	2	6.50	13.00	25.00	campus shop
2025-09-30	Archival ink set	Art Supplies	1	18.75	18.75	43.75	campus shop
2025-10-07	Tilemap reference pack	Game Dev	1	9.00	9.00	52.75	online store
2025-10-15	Sketchbook A5	Art Supplies	1	11.20	11.20	63.95	campus shop
2025-10-23	Sticker vinyl roll	Art Supplies	1	14.40	14.40	78.35	online store
2025-11-02	Ambient loop sample pack	Game Dev	1	15.00	15.00	93.35	online store
2025-11-12	Fineliner set	Art Supplies	1	8.90	8.90	102.25	campus shop
2025-11-21	Print mailers box of 25	Shipping	1	16.25	16.25	118.50	online store
2025-12-03	Font license personal	Game Dev	1	20.00	20.00	138.50	online store
2025-12-14	Watercolor pad	Art Supplies	1	12.60	12.60	151.10	campus shop
2025-12-22	Matte photo paper	Art Supplies	1	13.50	13.50	164.60	online store
2026-01-09	Pixel font bundle	Game Dev	1	10.00	10.00	174.60	online store
2026-01-18	Replacement pen nibs	Art Supplies	2	5.25	10.50	185.10	campus shop
2026-01-27	Foley sound pack	Game Dev	1	17.00	17.00	202.10	online store
2026-02-05	Print frames 8 by 10	Art Supplies	3	7.80	23.40	225.50	online store
2026-02-13	Washi tape set	Art Supplies	1	6.40	6.40	231.90	campus shop
2026-02-20	Lighting reference pack	Game Dev	1	9.50	9.50	241.40	online store
