session_id	played_at	build_version	chapter	furthest_scene	minutes_played	quit_reason	device
LT-0412	2026-01-04T23:40	0.6.2-vslice	1	ch1_festival_intro	18	completed chapter	itch.io web
LT-0413	2026-01-05T19:12	0.6.2-vslice	2	ch2_general_store	34	completed chapter	Windows
LT-0414	2026-01-06T21:03	0.6.2-vslice	3	ch3_river_road	27	took a break	macOS
LT-0415	2026-01-07T22:48	0.6.2-vslice	3	ch3_river_road_bridge	31	softlock at lantern puzzle	itch.io web
LT-0416	2026-01-09T20:25	0.6.2-vslice	4	ch4_night_sky_wip	12	hit unfinished area	Windows
LT-0417	2026-01-10T18:50	0.6.3-vslice	1	ch1_festival_intro	16	completed chapter	itch.io web
LT-0418	2026-01-11T23:14	0.6.3-vslice	2	ch2_general_store	29	completed chapter	macOS
LT-0419	2026-01-12T22:31	0.6.3-vslice	3	ch3_river_road	33	completed chapter	Windows
LT-0420	2026-01-13T21:40	0.6.3-vslice	4	ch4_night_sky_wip	9	hit unfinished area	itch.io web
LT-0421	2026-01-15T20:05	0.6.3-vslice	4	ch4_night_sky_wip	14	crash reported to Sentry	Windows
LT-0422	2026-01-17T16:22	0.6.3-vslice	2	ch2_general_store	22	took a break	itch.io web
LT-0423	2026-01-19T22:55	0.6.4-vslice	3	ch3_river_road_bridge	30	completed chapter	macOS
LT-0424	2026-01-21T19:18	0.6.4-vslice	4	ch4_night_sky_wip	11	hit unfinished area	Windows
LT-0425	2026-01-23T23:02	0.6.4-vslice	1	ch1_festival_intro	17	completed chapter	itch.io web
LT-0426	2026-01-26T21:33	0.6.4-vslice	4	ch4_night_sky_wip	13	hit unfinished area	itch.io web
LT-0427	2026-01-28T20:47	0.6.4-vslice	3	ch3_river_road	28	took a break	macOS
LT-0428	2026-02-02T22:10	0.6.5-vslice	4	ch4_night_sky_wip	19	crash reported to Sentry	Windows
LT-0429	2026-02-05T19:55	0.6.5-vslice	2	ch2_general_store	26	completed chapter	itch.io web
LT-0430	2026-02-08T21:27	0.6.5-vslice	4	ch4_night_sky_wip	15	hit unfinished area	macOS
LT-0431	2026-02-10T23:19	0.6.5-vslice	3	ch3_river_road_bridge	32	completed chapter	Windows
