session_no	date	campaign	location	character	level	xp_gained	total_xp	loot	notes
41	2025-09-11	Embers of the Hollow Coast	Olivers Apartment	Wren Ashdown	5	900	7400	Cloak of Billowing	scouted the harbor town, stayed quiet until the reveal
42	2025-09-18	Embers of the Hollow Coast	Olivers Apartment	Wren Ashdown	5	1100	8500	2 healing potions	picked the warehouse lock, Oliver let the heist run long
43	2025-09-25	Embers of the Hollow Coast	Olivers Apartment	Wren Ashdown	5	1300	9800	Silvered dagger	sneak attack crit on the smuggler captain
44	2025-10-02	Embers of the Hollow Coast	Olivers Apartment	Wren Ashdown	5	1200	11000	48 gp	the underplayed graveyard monologue, group went quiet
45	2025-10-09	Embers of the Hollow Coast	Olivers Apartment	Wren Ashdown	5	1500	12500	Boots of Elvenkind	chased the courier across the rooftops
46	2025-10-16	Embers of the Hollow Coast	Olivers Apartment	Wren Ashdown	6	1500	14000	Map fragment	leveled to 6, took Uncanny Dodge
47	2025-10-30	Embers of the Hollow Coast	Olivers Apartment	Wren Ashdown	6	1400	15400	Halloween one shot loot	costume session, Wren in a borrowed lighthouse keeper coat
48	2025-11-13	Embers of the Hollow Coast	Olivers Apartment	Wren Ashdown	6	1800	17200	Ring of Mind Shielding	talked the watch down without a fight
49	2025-12-04	Embers of the Hollow Coast	Olivers Apartment	Wren Ashdown	6	2100	19300	120 gp and a deed	uncovered the harbor master ledger
50	2026-01-15	Embers of the Hollow Coast	Olivers Apartment	Wren Ashdown	6	1900	21200	Potion of Invisibility	first session back after winter break
51	2026-01-29	Embers of the Hollow Coast	Olivers Apartment	Wren Ashdown	6	1800	23000	Wand of Secrets	leveled to 7 at end, took Evasion
52	2026-02-12	Embers of the Hollow Coast	Olivers Apartment	Wren Ashdown	7	1600	24600	Cloak of Protection	the lantern in the crypt scene, everyone remembered it
