token	role	hex	chapter	note
ink_deep	outline base	#1b1a23	all	near black, never pure black
dusk_plum	night shadow	#3a2f4d	4	ch4 night sky shadow tone
lantern_core	key light	#f2b65a	1	the warm lantern glow, hero color
lantern_rim	light rim	#ffd789	1	one step up from core for bloom
ember_low	secondary glow	#c8742e	1	under porch lanterns at dusk
river_slate	cool mid	#42606b	3	river road water at night
river_foam	cool light	#8fb6bd	3	reflected light on the current
mill_brick	wall warm	#7a4a3a	2	general store and mill walls
wheat_dry	ground warm	#b79b6a	2	autumn grass and gravel
pine_deep	foliage dark	#23402f	5	tree line behind the bakery
pine_soft	foliage light	#5b7d54	5	leaf highlight at golden hour
paper_warm	ui surface	#efe4cf	all	dialogue box paper texture
paper_line	ui rule	#cdbfa3	all	one value down from surface
sky_predawn	backdrop top	#2b3a5a	6	the letter chapter, cold morning
sky_horizon	backdrop low	#a98b6e	6	horizon band under predawn
star_dim	accent dot	#9fb8d6	4	faint stars, low contrast
star_bright	accent dot	#eef3ff	4	the three named stars only
rust_signpost	prop accent	#9d5b32	3	weathered metal on the road
teal_door	prop accent	#2f6f6a	2	the general store door, single use
ash_smoke	fx mid	#6b6660	7	chimney smoke on the long way home
rose_quiet	skin warm	#caa089	all	opal hands and face tone, muted
rose_shade	skin shadow	#8f6a5b	all	one step down for form
gold_letter	ui highlight	#e8c06b	6	the kept letters, glint only
void_edge	vignette	#0f0e14	all	screen edge falloff, low alpha
