date	activity_type	title	distance_mi	moving_time_min	avg_pace_min_per_mi	route	elevation_ft	notes
2026-01-03	Walk	Saturday reset loop	2.6	47	18.1	Burke Gilman Trail	38	post deadline reset, Mitski on repeat
2026-01-07	Walk	Ravenna afternoon	2.1	41	19.5	Ravenna Park Loop	120	needed air after thesis studio
2026-01-10	Walk	Gas Works and back	3.4	62	18.2	U District to Gas Works Park	44	long one, the noodles would not reach it
2026-01-14	Walk	Quick campus loop	1.8	33	18.3	CID Campus Loop	22	between Makerspace and dinner
2026-01-17	Walk	Sunday before the call	2.4	44	18.3	Ravenna Park Loop	118	cleared my head before Grandma call
2026-01-21	Walk	Night air	2.2	42	19.1	Burke Gilman Trail	36	lo fi in the ears, palette stuck in my head
2026-01-24	Walk	Gas Works long	3.6	66	18.3	U District to Gas Works Park	48	furthest this month
2026-01-28	Walk	Reset after crit	2.5	46	18.4	Ravenna Park Loop	121	rough crit, walked it off
2026-02-01	Walk	First of the month	2.3	43	18.7	Burke Gilman Trail	34	budget review done, treat walk
2026-02-04	Walk	Cold clear loop	2.0	38	19.0	CID Campus Loop	24	clear sky, thought about chapter 4
2026-02-08	Walk	Sunday slow	2.7	50	18.5	Ravenna Park Loop	119	photos gathered for the call
2026-02-11	Walk	Gas Works again	3.3	60	18.2	U District to Gas Works Park	45	demo build on my mind
2026-02-15	Walk	Valentines solo loop	2.4	45	18.8	Burke Gilman Trail	37	Suki out, quiet walk, beabadoobee
2026-02-19	Walk	Quick one	1.9	35	18.4	CID Campus Loop	21	short, between classes
2026-02-22	Walk	Long Sunday	3.5	64	18.3	U District to Gas Works Park	47	good thinking walk
