number,repo,head_branch,base_branch,merged,mergeable,draft,review_state,additions,deletions,changed_files,checks_status
34,tidepool-viz,fix/site-filter-reactivity,main,false,true,false,APPROVED,64,19,3,success
33,tidepool-viz,feature/temperature-overlay,main,true,true,false,APPROVED,210,12,6,success
31,tidepool-viz,fix/na-handling-in-plot,main,true,true,false,APPROVED,48,7,2,success
29,tidepool-viz,feature/download-csv-button,main,true,true,false,APPROVED,96,4,4,success
28,tidepool-viz,fix/shiny-reactive-timeout,main,false,true,false,CHANGES_REQUESTED,33,21,2,failure
24,intertidal-thesis-pipeline,feature/targets-dag,main,false,true,true,REVIEW_REQUIRED,318,92,11,pending
22,intertidal-thesis-pipeline,fix/duplicate-site-rows,main,true,true,false,APPROVED,41,16,3,success
20,intertidal-thesis-pipeline,feature/diversity-indices,main,true,true,false,APPROVED,156,8,5,success
18,intertidal-thesis-pipeline,fix/date-parsing-locale,main,true,true,false,APPROVED,27,9,2,success
16,intertidal-thesis-pipeline,feature/site7-integration,main,false,true,false,REVIEW_REQUIRED,204,12,7,success
11,r-spatial-utils,docs/roxygen-pkgdown,main,true,true,false,APPROVED,247,8,14,success
9,r-spatial-utils,feature/tide-height-align,main,true,true,false,APPROVED,132,4,3,success
8,r-spatial-utils,fix/crs-mismatch,main,true,true,false,APPROVED,56,18,4,success
6,r-spatial-utils,feature/sf-wrappers,main,true,true,false,APPROVED,189,6,9,success
7,survey-qaqc,feature/duplicate-and-range-checks,main,false,true,false,REVIEW_REQUIRED,131,4,5,success
5,survey-qaqc,feature/validation-report-rmd,main,true,true,false,APPROVED,210,11,6,success
4,survey-qaqc,fix/missing-tide-flag,main,true,true,false,APPROVED,38,6,2,success
12,psis-r-workshop,feature/ggplot2-module,main,true,true,false,APPROVED,320,14,10,success
10,psis-r-workshop,fix/typo-in-tidyverse-notes,main,true,true,false,APPROVED,9,9,2,success
